actor_id,canonical_name,mitre_group_id,is_profiled,catalog_slugs,mention_source_count,mention_count,aliases
actor-census--mitre:G1030,Agrius,G1030,true,"[""agrius""]",24,75,"[""Agonizing Serpens"", ""Agrius"", ""AMERICIUM"", ""BlackShadow"", ""Deadwood"", ""DEV-0227 (AMERICIUM)"", ""Pink Sandstorm"", ""SharpBoys""]"
actor-census--sha256:2f183a4e64493af3f377f745eda502363cd3e7ef6e4d266d444758de0a85fcc8,Anonymous,,true,"[""anonymous""]",49,131,"[""Anonymous""]"
actor-census--mitre:G1028,APT-C-23,G1028,true,"[""arid-viper""]",32,96,"[""APT-C-23"", ""APT_C_23"", ""Arid Viper"", ""AridViper"", ""Big Bang APT"", ""Desert Falcon"", ""Grey Karkadann"", ""Mantis"", ""TAG-63"", ""Two-tailed Scorpion""]"
actor-census--mitre:G0099,APT-C-36,G0099,true,"[""blind-eagle""]",23,60,"[""AguilaCiega"", ""APT-C-36"", ""APT-Q-98"", ""Blind Eagle"", ""TAG-144""]"
actor-census--mitre:G0007,APT28,G0007,true,"[""apt28""]",142,528,"[""APT28"", ""Fancy Bear"", ""Forest Blizzard"", ""FROZENLAKE"", ""Grizzly Steppe"", ""Group 74"", ""GruesomeLarch"", ""IRON TWILIGHT"", ""Pawn Storm"", ""Sednit"", ""SIG40"", ""SNAKEMACKEREL"", ""Sofacy"", ""STRONTIUM"", ""Strontium"", ""Swallowtail"", ""TG-4127"", ""Threat Group-4127"", ""Tsar Team""]"
actor-census--mitre:G0016,APT29,G0016,true,"[""apt29""]",120,449,"[""APT29"", ""Blue Kitsune"", ""Cozer"", ""Cozy Bear"", ""Cozy Duke"", ""CozyCar"", ""CozyDuke"", ""Dark Halo"", ""Dukes"", ""EuroAPT"", ""Fritillary"", ""Group 100"", ""Hammer Toss"", ""IRON HEMLOCK"", ""IRON RITUAL"", ""Midnight Blizzard"", ""Minidionis"", ""NOBELIUM"", ""NobleBaron"", ""Office Monkeys / TEMP.Monkeys"", ""SeaDuke"", ""Silver Fish"", ""SolarStorm"", ""StellarParticle"", ""The Dukes"", ""UNC2452"", ""UNC3524"", ""YTTRIUM"", ""Yttrium / StellarParticle / UNC3524 / Cranefly""]"
actor-census--mitre:G0022,APT3,G0022,true,"[""apt3""]",12,40,"[""APT3"", ""Boyusec – the Guangzhou Boyu Information Technology Company"", ""Buckeye"", ""Gothic Panda"", ""Group 6"", ""Pirpi"", ""TG-0110"", ""Threat Group-0110"", ""UPS Team""]"
actor-census--mitre:G0050,APT32,G0050,true,"[""oceanlotus""]",46,157,"[""APT-C-00"", ""APT32"", ""BISMUTH"", ""Canvas Cyclone"", ""CyberOne Security, CyberOne Technologies, Hành Tinh Company Limited, Planet and Diacauso"", ""Ocean Lotus"", ""OceanLotus"", ""SeaLotus"", ""SectorF01""]"
actor-census--mitre:G0067,APT37,G0067,true,"[""apt37""]",71,257,"[""APT37"", ""Group123"", ""InkySquid"", ""Reaper"", ""Ricochet Chollima"", ""ScarCruft"", ""TEMP.Reaper""]"
actor-census--sha256:4c8e2dafe7fb4371851ff5e97f95bd09007c9e3eaa219045189d6aa53780b42c,APT37,,true,"[""apt37""]",81,273,"[""APT37"", ""Group 123"", ""Reaper"", ""Red Eyes"", ""Ricochet Chollima"", ""ScarCruft"", ""THALLIUM"", ""Venus 121 (금성121)""]"
