original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 72, ""sheet"": ""China""}",Admin338,"Temper Panda Temper Panda Admin338 Team338 admin@338 338 Team admin@338 Poison Ivy, jRat, LOWBALL, BUBBLEWRAP Target Gov + Military, DIB, Finiancial/Think Tanks, Telco, Academia, Religious organisations “PdPD” (50 64 50 44) marker for encrypted binaries"
APT Groups and Operations.xlsx,"{""row"": 72, ""sheet"": ""China""}",Team338,"Temper Panda Temper Panda Admin338 Team338 admin@338 338 Team admin@338 Poison Ivy, jRat, LOWBALL, BUBBLEWRAP Target Gov + Military, DIB, Finiancial/Think Tanks, Telco, Academia, Religious organisations “PdPD” (50 64 50 44) marker for encrypted binaries https://"
APT Groups and Operations.xlsx,"{""row"": 72, ""sheet"": ""China""}",Temper Panda,"Temper Panda Temper Panda Admin338 Team338 admin@338 338 Team admin@338 Poison Ivy, jRat, LOWBALL, BUBBLEWRAP Target Gov + Military, DIB, Finiancial/Think Tanks, Telco, Academia, Religious organisations “PdPD” (50 64 50 44) marker f"
APT Groups and Operations.xlsx,"{""row"": 72, ""sheet"": ""China""}",Temper Panda,"Temper Panda Temper Panda Admin338 Team338 admin@338 338 Team admin@338 Poison Ivy, jRat, LOWBALL, BUBBLEWRAP Target Gov + Military, DIB, Finiancial/Think Tanks, Telco, Academia, Religious organisations “PdPD” (50 64 50 44) marker for encrypted"
APT Groups and Operations.xlsx,"{""row"": 72, ""sheet"": ""China""}",admin@338,"Temper Panda Temper Panda Admin338 Team338 admin@338 338 Team admin@338 Poison Ivy, jRat, LOWBALL, BUBBLEWRAP Target Gov + Military, DIB, Finiancial/Think Tanks, Telco, Academia, Religious organisations “PdPD” (50 64 50 44) marker for encrypted binaries https://www.fireey"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 232}",Temper Panda,"Threat Group Cards: A Threat Actor Encyclopedia 232 Temper Panda, admin@338 Names Temper Panda (Crowdstrike) admin@338 (FireEye) Team338 (Kaspersky) Magnesium (Microsoft) Country China Motivation Information theft and espionage Description (FireEye) The threat group has previo"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 232}",Temper Panda,"Threat Group Cards: A Threat Actor Encyclopedia 232 Temper Panda, admin@338 Names Temper Panda (Crowdstrike) admin@338 (FireEye) Team338 (Kaspersky) Magnesium (Microsoft) Country China Motivation Information theft and espionage Description (FireEye) The threat group has previously used newsworthy events as"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 232}",admin@338,"Threat Group Cards: A Threat Actor Encyclopedia 232 Temper Panda, admin@338 Names Temper Panda (Crowdstrike) admin@338 (FireEye) Team338 (Kaspersky) Magnesium (Microsoft) Country China Motivation Information theft and espionage Description (FireEye) The threat group has previously used n"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 6}",Temper Panda,".............................. 229 TeleBots ......................................................................................................................................................................... 230 Temper Panda, admin@338 ...................................................................................................................................... 232 TEMP.Veles ........................................................."
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 6}",admin@338,"................ 229 TeleBots ......................................................................................................................................................................... 230 Temper Panda, admin@338 ...................................................................................................................................... 232 TEMP.Veles ...................................................................."
Threat Group Cards.pdf,"{""page"": 231}",Temper Panda,"Threat Group Cards: A Threat Actor Encyclopedia 231 Temper Panda, admin@338 Names Temper Panda (Crowdstrike) admin@338 (FireEye) Team338 (Kaspersky) Magnesium (Microsoft) Country China Motivation Information theft and espionage Description (FireEye) The threat group has previo"
Threat Group Cards.pdf,"{""page"": 231}",Temper Panda,"Threat Group Cards: A Threat Actor Encyclopedia 231 Temper Panda, admin@338 Names Temper Panda (Crowdstrike) admin@338 (FireEye) Team338 (Kaspersky) Magnesium (Microsoft) Country China Motivation Information theft and espionage Description (FireEye) The threat group has previously used newsworthy events as"
Threat Group Cards.pdf,"{""page"": 231}",admin@338,"Threat Group Cards: A Threat Actor Encyclopedia 231 Temper Panda, admin@338 Names Temper Panda (Crowdstrike) admin@338 (FireEye) Team338 (Kaspersky) Magnesium (Microsoft) Country China Motivation Information theft and espionage Description (FireEye) The threat group has previously used n"
Threat Group Cards.pdf,"{""page"": 6}",Temper Panda,"........................................................ 228 TeleBots ............................................................................................................................................... 229 Temper Panda, admin@338 ............................................................................................................ 231 TEMP.Veles ..................................................................................."
Threat Group Cards.pdf,"{""page"": 6}",admin@338,".......................................... 228 TeleBots ............................................................................................................................................... 229 Temper Panda, admin@338 ............................................................................................................ 231 TEMP.Veles .............................................................................................."
Threat_Group_Cards_v2.0.pdf,"{""page"": 338}",Temper Panda,"Threat Group Cards: A Threat Actor Encyclopedia 338 Temper Panda, admin@338 Names Temper Panda (Crowdstrike) admin@338 (FireEye) Team338 (Kaspersky) Magnesium (Microsoft) Country China Motivation Information theft and espionage First seen 2014 Description (FireEye) The threat"
Threat_Group_Cards_v2.0.pdf,"{""page"": 338}",Temper Panda,"Threat Group Cards: A Threat Actor Encyclopedia 338 Temper Panda, admin@338 Names Temper Panda (Crowdstrike) admin@338 (FireEye) Team338 (Kaspersky) Magnesium (Microsoft) Country China Motivation Information theft and espionage First seen 2014 Description (FireEye) The threat group has previously used news"
Threat_Group_Cards_v2.0.pdf,"{""page"": 338}",admin@338,"Threat Group Cards: A Threat Actor Encyclopedia 338 Temper Panda, admin@338 Names Temper Panda (Crowdstrike) admin@338 (FireEye) Team338 (Kaspersky) Magnesium (Microsoft) Country China Motivation Information theft and espionage First seen 2014 Description (FireEye) The threat group has"
Threat_Group_Cards_v2.0.pdf,"{""page"": 8}",Temper Panda,".............................. 335 TeleBots ......................................................................................................................................................................... 336 Temper Panda, admin@338 ...................................................................................................................................... 338 Tempting Cedar Spyware ............................................."
Threat_Group_Cards_v2.0.pdf,"{""page"": 8}",admin@338,"................ 335 TeleBots ......................................................................................................................................................................... 336 Temper Panda, admin@338 ...................................................................................................................................... 338 Tempting Cedar Spyware ........................................................"
