original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 16, ""sheet"": ""Iran""}",Ajax Security Team,"Rocket Kitten Flying Kitten TEMP.Beanie Saffron Rose Ajax Security Team Rocket Kitten Group 26 G0059 Woolen Goldfish Thamar Reservoir GHOLE / Core Impact, CWoolger, FireMalv, .NETWoolger, MPK, Open source tools, Puppy RAT, MagicHound.Leash (IRC Bot), PowGoop (Downloader.Covic) Saudi Arabia,"
APT28/history-report-pdf/apt28.pdf,"{""page"": 11}",Operation Saffron Rose,"aratists. In 200410 and 2013,11 Russia’s Foreign Minister voiced his displeasure that a Swedish company continues to host the Kavkaz Center website. 7 Moran, Ned, Villeneuve, Nart, Haq, Thofique, and Scott, Mike. “Operation Saffron Rose” . FireEye. 13 May 2014. Web. http://www.fireeye.com/blog/technical/ malware-research/2014/05/operation-saffron-rose.html 8 The New York Times publicly disclosed their breach by APT12, which they assess was motivated b"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 104}",Ajax Security Team,"Threat Group Cards: A Threat Actor Encyclopedia 104 Flying Kitten, Ajax Security Team Names Flying Kitten (CrowdStrike) Ajax Security Team (FireEye) Group 26 (Talos) Country Iran Sponsor State-sponsored Motivation Information theft and espionage Description (FireEye) Members of this group have acc"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 104}",Ajax Security Team,"Threat Group Cards: A Threat Actor Encyclopedia 104 Flying Kitten, Ajax Security Team Names Flying Kitten (CrowdStrike) Ajax Security Team (FireEye) Group 26 (Talos) Country Iran Sponsor State-sponsored Motivation Information theft and espionage Description (FireEye) Members of this group have accounts on popular Iranian hacker forums such as ashiyan"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 104}",AjaxTM,"t and espionage Description (FireEye) Members of this group have accounts on popular Iranian hacker forums such as ashiyane[.]org and shabgard[.]org, and they have engaged in website defacements under the group name “AjaxTM” since 2010. By 2014, the Ajax Security Team had transitioned from performing defacements (their last defacement was in December 2013) to malware-based espionage, using a methodology consistent with other advanced pe"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 4}",Ajax Security Team,"............. 102 FIN10 .............................................................................................................................................................................. 103 Flying Kitten, Ajax Security Team .............................................................................................................................. 104 Gallmaker ............................................................................."
Threat Group Cards.pdf,"{""page"": 104}",Ajax Security Team,"Threat Group Cards: A Threat Actor Encyclopedia 104 Flying Kitten, Ajax Security Team Names Flying Kitten (CrowdStrike) Ajax Security Team (FireEye) Group 26 (Talos) Country Iran Sponsor State-sponsored Motivation Information theft and espionage Description (FireEye) Members of this group have acc"
Threat Group Cards.pdf,"{""page"": 104}",Ajax Security Team,"Threat Group Cards: A Threat Actor Encyclopedia 104 Flying Kitten, Ajax Security Team Names Flying Kitten (CrowdStrike) Ajax Security Team (FireEye) Group 26 (Talos) Country Iran Sponsor State-sponsored Motivation Information theft and espionage Description (FireEye) Members of this group have accounts on popular Iranian hacker forums such as ashiyan"
Threat Group Cards.pdf,"{""page"": 104}",AjaxTM,"t and espionage Description (FireEye) Members of this group have accounts on popular Iranian hacker forums such as ashiyane[.]org and shabgard[.]org, and they have engaged in website defacements under the group name “AjaxTM” since 2010. By 2014, the Ajax Security Team had transitioned from performing defacements (their last defacement was in December 2013) to malware-based espionage, using a methodology consistent with other advanced pe"
Threat Group Cards.pdf,"{""page"": 4}",Ajax Security Team,"....................................... 102 FIN10 .................................................................................................................................................... 103 Flying Kitten, Ajax Security Team .................................................................................................... 104 Gallmaker ......................................................................................................."
Threat_Group_Cards_v2.0.pdf,"{""page"": 138}",Ajax Security Team,"Threat Group Cards: A Threat Actor Encyclopedia 138 Flying Kitten, Ajax Security Team Names Flying Kitten (CrowdStrike) Ajax Security Team (FireEye) Group 26 (Talos) Country Iran Sponsor State-sponsored Motivation Information theft and espionage First seen 2010 Description (FireEye) Members of th"
Threat_Group_Cards_v2.0.pdf,"{""page"": 138}",Ajax Security Team,"Threat Group Cards: A Threat Actor Encyclopedia 138 Flying Kitten, Ajax Security Team Names Flying Kitten (CrowdStrike) Ajax Security Team (FireEye) Group 26 (Talos) Country Iran Sponsor State-sponsored Motivation Information theft and espionage First seen 2010 Description (FireEye) Members of this group have accounts on popular Iranian hacker forums"
Threat_Group_Cards_v2.0.pdf,"{""page"": 138}",AjaxTM,"First seen 2010 Description (FireEye) Members of this group have accounts on popular Iranian hacker forums such as ashiyane[.]org and shabgard[.]org, and they have engaged in website defacements under the group name “AjaxTM” since 2010. By 2014, the Ajax Security Team had transitioned from performing defacements (their last defacement was in December 2013) to malware-based espionage, using a methodology consistent with other advanced pe"
Threat_Group_Cards_v2.0.pdf,"{""page"": 4}",Ajax Security Team,"..................... 136 Fishing Elephant ........................................................................................................................................................... 137 Flying Kitten, Ajax Security Team .............................................................................................................................. 138 FunnyDream ............................................................................"
