original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 6, ""sheet"": ""Russia""}",ALLANITE,"Energetic Bear Dragonfly Crouching Yeti Group 24 Koala Team Berserk Bear Anger Bear Dymalloy Havex PEACEPIPE Fertger TEMP.Isotope ALLANITE IRON LIBERTY Havex RAT, Oldrea, LightsOut ExploitKit, Inveigh, PsExec, Persistence through .LNK file manipulations, Nmap, Dirsearch, Sqlmap, Sublist3r, Wpscan, Impacket, SMBTrap, Commix, Subbrute, PHPMailer, Web Shells"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 12}",Allanite,"Threat Group Cards: A Threat Actor Encyclopedia 12 Allanite Names Allanite (Dragos) Palmetto Fusion (DHS) Country [Unknown] Motivation Information theft and espionage Description (Dragos) Allanite accesses business and industrial control (ICS) networks, conducts reconnaiss"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 12}",Allanite,"Threat Group Cards: A Threat Actor Encyclopedia 12 Allanite Names Allanite (Dragos) Palmetto Fusion (DHS) Country [Unknown] Motivation Information theft and espionage Description (Dragos) Allanite accesses business and industrial control (ICS) networks, conducts reconnaissance, and gather"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 12}",Allanite,"Threat Group Cards: A Threat Actor Encyclopedia 12 Allanite Names Allanite (Dragos) Palmetto Fusion (DHS) Country [Unknown] Motivation Information theft and espionage Description (Dragos) Allanite accesses business and industrial control (ICS) networks, conducts reconnaissance, and gathers intelligence in United States and United Kingdom electric utility sectors. Dragos assesses with moderate confidence that Al"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 12}",Palmetto Fusion,"Threat Group Cards: A Threat Actor Encyclopedia 12 Allanite Names Allanite (Dragos) Palmetto Fusion (DHS) Country [Unknown] Motivation Information theft and espionage Description (Dragos) Allanite accesses business and industrial control (ICS) networks, conducts reconnaissance, and gathers intelligence in United S"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 2}",Allanite,"........................................... 10 Anchor Panda, APT 14 .................................................................................................................................................. 11 Allanite ............................................................................................................................................................................. 12 APT 3, Gothic Panda, Buckeye ............"
Threat Group Cards.pdf,"{""page"": 12}",Allanite,"Threat Group Cards: A Threat Actor Encyclopedia 12 Allanite Names Allanite (Dragos) Palmetto Fusion (DHS) Country [Unknown] Motivation Information theft and espionage Description (Dragos) Allanite accesses business and industrial control (ICS) networks, conducts reconnaiss"
Threat Group Cards.pdf,"{""page"": 12}",Allanite,"Threat Group Cards: A Threat Actor Encyclopedia 12 Allanite Names Allanite (Dragos) Palmetto Fusion (DHS) Country [Unknown] Motivation Information theft and espionage Description (Dragos) Allanite accesses business and industrial control (ICS) networks, conducts reconnaissance, and gather"
Threat Group Cards.pdf,"{""page"": 12}",Allanite,"Threat Group Cards: A Threat Actor Encyclopedia 12 Allanite Names Allanite (Dragos) Palmetto Fusion (DHS) Country [Unknown] Motivation Information theft and espionage Description (Dragos) Allanite accesses business and industrial control (ICS) networks, conducts reconnaissance, and gathers intelligence in United States and United Kingdom electric utility sectors. Dragos assesses with moderate confidence that Al"
Threat Group Cards.pdf,"{""page"": 12}",Palmetto Fusion,"Threat Group Cards: A Threat Actor Encyclopedia 12 Allanite Names Allanite (Dragos) Palmetto Fusion (DHS) Country [Unknown] Motivation Information theft and espionage Description (Dragos) Allanite accesses business and industrial control (ICS) networks, conducts reconnaissance, and gathers intelligence in United S"
