original_source_path,original_source_location,matched_name,context_excerpt
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 11}",APT 14,"Threat Group Cards: A Threat Actor Encyclopedia 11 Anchor Panda, APT 14 Names Anchor Panda (CrowdStrike) APT 14 (Mandiant) Aluminium (Microsoft) QAZTeam Country China Sponsor State-sponsored, PLA Navy Motivation Information theft and espionage Description (CrowdStrike) Anchor Panda"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 11}",APT 14,"Threat Group Cards: A Threat Actor Encyclopedia 11 Anchor Panda, APT 14 Names Anchor Panda (CrowdStrike) APT 14 (Mandiant) Aluminium (Microsoft) QAZTeam Country China Sponsor State-sponsored, PLA Navy Motivation Information theft and espionage Description (CrowdStrike) Anchor Panda is an adversary that CrowdStrike has track"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 2}",APT 14,"......................................... 9 Advanced Persistent Threat (APT) Groups .................................................................................................................... 10 Anchor Panda, APT 14 .................................................................................................................................................. 11 Allanite ..........................................................."
Threat Group Cards.pdf,"{""page"": 11}",APT 14,"Threat Group Cards: A Threat Actor Encyclopedia 11 Anchor Panda, APT 14 Names Anchor Panda (CrowdStrike) APT 14 (Mandiant) Aluminium (Microsoft) QAZTeam Country China Sponsor State-sponsored, PLA Navy Motivation Information theft and espionage Description (CrowdStrike) Anchor Panda"
Threat Group Cards.pdf,"{""page"": 11}",APT 14,"Threat Group Cards: A Threat Actor Encyclopedia 11 Anchor Panda, APT 14 Names Anchor Panda (CrowdStrike) APT 14 (Mandiant) Aluminium (Microsoft) QAZTeam Country China Sponsor State-sponsored, PLA Navy Motivation Information theft and espionage Description (CrowdStrike) Anchor Panda is an adversary that CrowdStrike has track"
Threat Group Cards.pdf,"{""page"": 2}",APT 14,"................................................................... 9 Advanced Persistent Threat (APT) Groups .......................................................................................... 10 Anchor Panda, APT 14 ........................................................................................................................ 11 Allanite ....................................................................................."
Threat_Group_Cards_v2.0.pdf,"{""page"": 17}",APT 14,"Threat Group Cards: A Threat Actor Encyclopedia 17 Anchor Panda, APT 14 Names Anchor Panda (CrowdStrike) APT 14 (Mandiant) Aluminum (Microsoft) QAZTeam Country China Sponsor State-sponsored, PLA Navy Motivation Information theft and espionage First seen 2012 Description (CrowdStrik"
Threat_Group_Cards_v2.0.pdf,"{""page"": 17}",APT 14,"Threat Group Cards: A Threat Actor Encyclopedia 17 Anchor Panda, APT 14 Names Anchor Panda (CrowdStrike) APT 14 (Mandiant) Aluminum (Microsoft) QAZTeam Country China Sponsor State-sponsored, PLA Navy Motivation Information theft and espionage First seen 2012 Description (CrowdStrike) Anchor Panda is an adversary that Crowd"
Threat_Group_Cards_v2.0.pdf,"{""page"": 2}",APT 14,".............. 14 Allanite ............................................................................................................................................................................. 16 Anchor Panda, APT 14 .................................................................................................................................................. 17 APT 3, Gothic Panda, Buckeye ......................................."
summary/2024/threat actor list from cs.csv,"{""row"": 240}",APT14,"APT14, QAZ Team, ALUMINUM Jul 2013 Inactive China 5 11 Targeted State-Sponsored"
ui/api/v1/search.json,"{""json_path"": ""$.entities[15].attrs.概要""}",APT 14,APT 14の標準化プロファイル。リポジトリ内の専用資料1件とMITRE ATT&CK、アクターマッピング表を基礎情報としている。
ui/api/v1/search.json,"{""json_path"": ""$.entities[15].detail""}",apt-14,apt-14
ui/api/v1/search.json,"{""json_path"": ""$.entities[15].id""}",apt-14,actor:apt-14
ui/api/v1/search.json,"{""json_path"": ""$.entities[15].label""}",APT 14,APT 14
