original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 7, ""sheet"": ""China""}",APT16,"APT16 APT16 G0023 ELMER backdoor, Gh0st, HTRAN, UNICAT,Poison Ivy, Pandora This threat actor targets and compromises Japanese and Taiwanese entities in the finance, tech, media, and government sectors. Spear phishing email de"
APT Groups and Operations.xlsx,"{""row"": 7, ""sheet"": ""China""}",APT16,"APT16 APT16 G0023 ELMER backdoor, Gh0st, HTRAN, UNICAT,Poison Ivy, Pandora This threat actor targets and compromises Japanese and Taiwanese entities in the finance, tech, media, and government sectors. Spear phishing email deliveri"
APT Groups and Operations.xlsx,"{""row"": 7, ""sheet"": ""China""}",apt16,g/threat-research/2015/12/the-eps-awakens-part-two.html https://securelist.com/analysis/publications/74828/cve-2015-2545-overview-of-current-threats/ https://cybergeeks.tech/a-detailed-analysis-of-elmer-backdoor-used-by-apt16/
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 19}",APT 16,"Threat Group Cards: A Threat Actor Encyclopedia 19 APT 16, SVCMONDR Names APT 16 (Mandiant) SVCMONDR (Kaspersky) Country China Motivation Information theft and espionage Description (FireEye) Between November 26, 2015, and December 1, 2015, known and suspected China-base"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 19}",APT 16,"Threat Group Cards: A Threat Actor Encyclopedia 19 APT 16, SVCMONDR Names APT 16 (Mandiant) SVCMONDR (Kaspersky) Country China Motivation Information theft and espionage Description (FireEye) Between November 26, 2015, and December 1, 2015, known and suspected China-based APT groups launched se"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 2}",APT 16,"............................................... 16 APT 12, Numbered Panda ............................................................................................................................................ 17 APT 16, SVCMONDR .................................................................................................................................................... 19 APT 17, Deputy Dog ....................................."
Threat Group Cards.pdf,"{""page"": 19}",APT 16,"Threat Group Cards: A Threat Actor Encyclopedia 19 APT 16, SVCMONDR Names APT 16 (Mandiant) SVCMONDR (Kaspersky) Country China Motivation Information theft and espionage Description (FireEye) Between November 26, 2015, and December 1, 2015, known and suspected China-base"
Threat Group Cards.pdf,"{""page"": 19}",APT 16,"Threat Group Cards: A Threat Actor Encyclopedia 19 APT 16, SVCMONDR Names APT 16 (Mandiant) SVCMONDR (Kaspersky) Country China Motivation Information theft and espionage Description (FireEye) Between November 26, 2015, and December 1, 2015, known and suspected China-based APT groups launched se"
Threat Group Cards.pdf,"{""page"": 2}",APT 16,"......................................................................... 16 APT 12, Numbered Panda .................................................................................................................. 17 APT 16, SVCMONDR .......................................................................................................................... 19 APT 17, Deputy Dog ..............................................................."
Threat_Group_Cards_v2.0.pdf,"{""page"": 26}",APT 16,"Threat Group Cards: A Threat Actor Encyclopedia 26 APT 16, SVCMONDR Names APT 16 (Mandiant) SVCMONDR (Kaspersky) Country China Motivation Information theft and espionage First seen 2015 Description (FireEye) Between November 26, 2015, and December 1, 2015, known and sus"
Threat_Group_Cards_v2.0.pdf,"{""page"": 26}",APT 16,"Threat Group Cards: A Threat Actor Encyclopedia 26 APT 16, SVCMONDR Names APT 16 (Mandiant) SVCMONDR (Kaspersky) Country China Motivation Information theft and espionage First seen 2015 Description (FireEye) Between November 26, 2015, and December 1, 2015, known and suspected China-based APT g"
Threat_Group_Cards_v2.0.pdf,"{""page"": 2}",APT 16,"............................................... 23 APT 12, Numbered Panda ............................................................................................................................................ 24 APT 16, SVCMONDR .................................................................................................................................................... 26 APT 17, Deputy Dog, Elderwood, Sneaky Panda ............"
