original_source_path,original_source_location,matched_name,context_excerpt
AISecurity/2026/2026-state-of-ai-security-report.pdf,"{""page"": 10}",quantum,"of artificial intelligence technologies to assist in offensive capabilities. Meanwhile, Chinese military and security publications continue to discuss “intelligentized warfare” wherein emerging technologies such as AI, quantum, and autonomous systems serve both as tools and targets in conflict. Russian FederationRussian state-sponsored use of AI for offensive operations has been highly visible in the information warfare domain (e.g., deepfak"
AISecurity/2026/Unlawful by design-Exposing the human rights costs of generative AI.pdf,"{""page"": 29}",Royal,"UK, following the government’s call to increase investment in AI systems,154 the fresh water demands of AI infrastructure has led to growing concern of forthcoming water shortages.155 A February 2025 report by the UK’s Royal Academy of Engineering, for example, calls for an “extension of mandatory reporting on AI’s energy and water use, carbon emissions and e-waste recycling of data centres [and minimizing] risks to the environment, people,"
AISecurity/2026/Unlawful by design-Exposing the human rights costs of generative AI.pdf,"{""page"": 29}",Royal,"ter-sets-out-blueprint-to-turbocharge-ai 155 Zoe Kleinman and Brian Wheeler, “Concern the UK’s AI ambitions could lead to water shortages”, 7 February 2025, BBC News, https://www.bbc.com/news/articles/ce85wx9jjndo 156 Royal Academy of Engineering, “UK Government urged to promote, prioritise and invest in sustainable AI to become global leader in AI frugality and efficiency”, 7 February 2025, https://raeng.org.uk/news/uk-government-urged-to"
AISecurity/CTI/Searching_for_Diamonds_Cross-Domain_Opportunities_in_Cyber_Threat_Intelligence.pdf,"{""page"": 29}",Conti,"ornia, USA, February 24-27, 2019. The Internet Society, 2019. [Online]. Available: https://www.ndss-symposium.org/ndss-paper/textb ugger-generating-adversarial-text-against-real-world-applications/ [33] L. Pajola and M. Conti, ‘‘Fall of giants: How popular text-based mlaas fall against a simple evasion attack,’’ inIEEE European Symposium on Security and Privacy, EuroS&P 2021, Vienna, Austria, September 6-10, 2021. IEEE, 2021, pp. 198–211. [O"
APT Groups and Operations.xlsx,"{""row"": 17, ""sheet"": ""China""}",Royal,tion-ke3chang-resurfaces-with-new-tidepool-malware/ https://www.nccgroup.trust/uk/about-us/newsroom-and-events/blogs/2018/march/apt15-is-alive-and-strong-an-analysis-of-royalcli-and-royaldns/ https://github.com/nccgroup/Royal_APT https://www.intezer.com/miragefox-apt15-resurfaces-with-new-tools-based-on-old-ones/ https://401trg.com/burning-umbrella/ https://www.crowdstrike.com/resources/reports/2019-crowdstrike-global-threat-report/ https://
APT Groups and Operations.xlsx,"{""row"": 32, ""sheet"": ""Russia""}",Conti,"Royal DEV-0569 Conti Quantum Black Byte Diavol Black Basta Ryuk (as FIN12) Wizard Spider (DEV-0193) BazarCall Campaign BATLOADER, Royal Ransomware, Ursnif, Gozi, Vidar Stealer & Cobals Strike as well as legitimate synchro remote monitoring"
APT Groups and Operations.xlsx,"{""row"": 32, ""sheet"": ""Russia""}",DEV-0569,"Royal DEV-0569 Conti Quantum Black Byte Diavol Black Basta Ryuk (as FIN12) Wizard Spider (DEV-0193) BazarCall Campaign BATLOADER, Royal Ransomware, Ursnif, Gozi, Vidar Stealer & Cobals Strike as well as legitimate synchro remote monit"
APT Groups and Operations.xlsx,"{""row"": 32, ""sheet"": ""Russia""}",Royal,"Royal DEV-0569 Conti Quantum Black Byte Diavol Black Basta Ryuk (as FIN12) Wizard Spider (DEV-0193) BazarCall Campaign BATLOADER, Royal Ransomware, Ursnif, Gozi, Vidar Stealer & Cobals Strike as well as legitimate synchro rem"
APT Groups and Operations.xlsx,"{""row"": 33, ""sheet"": ""China""}",quantum,er-used-install-dragonok%E2%80%99s-new-custom-backdoor http://www.morphick.com/resources/news/deep-dive-dragonok-rambo-backdoor https://www.fireeye.com/content/dam/fireeye-www/global/en/current-threats/pdfs/wp-operation-quantum-entanglement.pdf https://decoded.avast.io/luigicamastra/operation-dragon-castling-apt-group-targeting-betting-companies/ https://www.sentinelone.com/labs/aoqin-dragon-newly-discovered-chinese-linked-apt-has-been-quietly
APT-hunting/Threat Hunting with VirusTotal.pdf,"{""page"": 7}",Conti,eport on BlueNoroff ● Network activity ● Filesystem operations ● Processes execution ● Combination of other side behaviours not directly related to the malicious activity ● Explore hidden cases - Google TAG report on Conti
