original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 17, ""sheet"": ""China""}",MIRAGE,"mbrella, NICKEL, Playful Taurus, BackdoorDiplomacy G0004 Mirage, (Nvidia program side-loading) PlugX, XSLCmd, TidePool, BS2005, RoyalCli, iWebRat, Russian-language decoy document, ENFAL, ENDCMD, QUICKHEAL, SOGU, CYFREE, MIRAGE, NOISEMAKER, QUICKHEAL, SWALLOWFLY, Turian Backdoor PH, VN, TW, US, UK, IT, PL, UN, SG, NATO - Gov, Political party Winnti Some vendors track this group in up to 3 separate groups http://arstechnica.com/security/2015/04"
APT Groups and Operations.xlsx,"{""row"": 17, ""sheet"": ""China""}",Mirage,"Mirage Vixen Panda Ke3Chang Playful Dragon GREF APT15 Social Network Team Mirage Team, Lurid, Social Network Team, Royal APT, Metushy, Winnti Umbrella, NICKEL, Playful Taurus, BackdoorDiplomacy G0004 Mirage, (Nvidia program si"
APT Groups and Operations.xlsx,"{""row"": 17, ""sheet"": ""China""}",Mirage,"Mirage Vixen Panda Ke3Chang Playful Dragon GREF APT15 Social Network Team Mirage Team, Lurid, Social Network Team, Royal APT, Metushy, Winnti Umbrella, NICKEL, Playful Taurus, BackdoorDiplomacy G0004 Mirage, (Nvidia program side-loading) PlugX, XSLCmd, TidePool, BS2005, RoyalCli, iWebRat, Russian-language decoy document, ENFAL, ENDCMD, QUICKHEAL, SOGU, CYFREE, MIRAGE, NOISEMAKER, QUICKHEAL, SWALLOWFLY, Turian Backdoor PH,"
APT Groups and Operations.xlsx,"{""row"": 24, ""sheet"": ""China""}",Pitty Tiger,"Pitty Tiger Pitty Panda Pitty Tiger G0011 PittyTiger, Paladin RAT ""Pitty Tiger"" was originally the name of a malware payload by the malware tracker blog. Airbus and FireEye identified the actor as Chinese. CrowdStrike uses ""tiger"""
APT Groups and Operations.xlsx,"{""row"": 3, ""sheet"": ""China""}",Comment Crew,"Comment Crew Comment Panda PLA Unit 61398 TG-8223 APT1 BrownFox Group 3 GIF89a, ShadyRAT, Shanghai Group, Byzantine Candor G0006 GhostNet WEBC2, BISCUIT and many others U.S. cybersecurity firm Mandiant, later purchased by FireEye, r"
APT-hunting/Automating APT Campaign and Group Attribution.pdf,"{""page"": 4}",Pitty Tiger,"ming convention of APTXX, FINXX, or TAXXX for the groups whenever feasible. For instance, we assign the name APT32 for ‘OceanLotus’ and ‘Sea Lotus, ’ and APT43 for ‘Kimsuky, ’ while APT24 encompasses ‘Pitty Putter’ and ‘Pitty Tiger, ’ following Malpedia’s classification. Consistency of Existing Labels: Non-unique Names. We man- ually review non-unique names like ‘Transparent Tribe, ’ ‘trans- parenttribe, ’ or ‘Transparent Tribe Group, ’ and assign"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 3}",Comment Crew,"............................... 59 Cold River ........................................................................................................................................................................ 62 Comment Crew, APT 1.................................................................................................................................................. 63 Confucius ...................................................."
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 5}",PittyTiger,"................................................. 181 Pirate Panda, APT 23, KeyBoy .................................................................................................................................. 183 PittyTiger, Pitty Panda ................................................................................................................................................. 184 Platinum .............................................."
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 63}",Comment Crew,"Threat Group Cards: A Threat Actor Encyclopedia 63 Comment Crew, APT 1 Names Comment Crew (Symantec) Comment Panda (CrowdStrike) TG-8223 (SecureWorks) APT 1 (Mandiant) BrownFox (Symantec) Group 3 (Talos) Byzantine Hades (US State Department) Byzantine Candor (US State Depart"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 63}",Comment Crew,"Threat Group Cards: A Threat Actor Encyclopedia 63 Comment Crew, APT 1 Names Comment Crew (Symantec) Comment Panda (CrowdStrike) TG-8223 (SecureWorks) APT 1 (Mandiant) BrownFox (Symantec) Group 3 (Talos) Byzantine Hades (US State Department) Byzantine Candor (US State Department) Shanghai Group (Secu"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 63}",Comment Crew,"ation Army (PLA) General Staff Department’s (GSD) 3rd Department, commonly known by its Military Unit Cover Designator (MUCD) as Unit 61398. Motivation Information theft and espionage Description Also known as APT1, Comment Crew is an advanced persistent threat (APT) group with links to the Chinese military. The threat actors, which were active from roughly 2006 to 2010, managed to strike over 140 US companies in the quest for sensitive corp"
