original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 37, ""sheet"": ""Unknown""}",Chimera,"Chimera GELSEMIUM OwlProxy, SessionManager Taiwan semiconductors Likely a Chinese group, inconclusive overlap w/Winnti https://cycraft.com/download/%5BTLP-White%5D20200415%20Chimera_V4.1.pdf https://blog.fox-it.com/2021/01/12/a"
APT Groups and Operations.xlsx,"{""row"": 37, ""sheet"": ""Unknown""}",Chimera,dar-7c4cce390efd https://medium.com/@cycraft_corp/taiwan-government-targeted-by-multiple-cyberattacks-in-april-2020-3b20cea1dc20?source=rss-2eb56b81d7e4------2 https://i.blackhat.com/USA-20/Thursday/us-20-Chen-Operation-Chimera-APT-Operation-Targets-Semiconductor-Vendors.pdf https://lab52.io/blog/chimera-apt-updates-on-its-owlproxy-malware/ https://www.welivesecurity.com/wp-content/uploads/2021/06/eset_gelsemium.pdf https://securelist.com/owow
APT Groups and Operations.xlsx,"{""row"": 37, ""sheet"": ""Unknown""}",chimera,w/Winnti https://cycraft.com/download/%5BTLP-White%5D20200415%20Chimera_V4.1.pdf https://blog.fox-it.com/2021/01/12/abusing-cloud-services-to-fly-under-the-radar/ https://cycrafttechnology.medium.com/threat-attribution-chimera-under-the-radar-7c4cce390efd https://medium.com/@cycraft_corp/taiwan-government-targeted-by-multiple-cyberattacks-in-april-2020-3b20cea1dc20?source=rss-2eb56b81d7e4------2 https://i.blackhat.com/USA-20/Thursday/us-20-Ch
APT Groups and Operations.xlsx,"{""row"": 37, ""sheet"": ""Unknown""}",chimera,y-multiple-cyberattacks-in-april-2020-3b20cea1dc20?source=rss-2eb56b81d7e4------2 https://i.blackhat.com/USA-20/Thursday/us-20-Chen-Operation-Chimera-APT-Operation-Targets-Semiconductor-Vendors.pdf https://lab52.io/blog/chimera-apt-updates-on-its-owlproxy-malware/ https://www.welivesecurity.com/wp-content/uploads/2021/06/eset_gelsemium.pdf https://securelist.com/owowa-credential-stealer-and-remote-access/105219/ https://securelist.com/the-sess
Threat_Group_Cards_v2.0.pdf,"{""page"": 3}",Chimera,".................................... 80 Chafer, APT 39 ............................................................................................................................................................... 81 Chimera ........................................................................................................................................................................... 83 Clever Kitten ............................."
Threat_Group_Cards_v2.0.pdf,"{""page"": 83}",Chimera,"Threat Group Cards: A Threat Actor Encyclopedia 83 Chimera Names Chimera (CyCraft) Country [Unknown] Motivation Information theft and espionage First seen 2018 Description (CyCraft) For nearly two years, our team monitored several attacks that targeted Taiwan’s semiconduc"
Threat_Group_Cards_v2.0.pdf,"{""page"": 83}",Chimera,"Threat Group Cards: A Threat Actor Encyclopedia 83 Chimera Names Chimera (CyCraft) Country [Unknown] Motivation Information theft and espionage First seen 2018 Description (CyCraft) For nearly two years, our team monitored several attacks that targeted Taiwan’s semiconductor vendors. We"
Threat_Group_Cards_v2.0.pdf,"{""page"": 83}",Chimera,"espionage First seen 2018 Description (CyCraft) For nearly two years, our team monitored several attacks that targeted Taiwan’s semiconductor vendors. We believe these attacks originated from the same threat actor – Chimera – as these attacks utilized similar tactics, techniques and even the same customized malware. The actor likely harvested various valid credentials via phishing emails or data breaches as their starting point to condu"
kimsuky/APTDown/article.txt,"{""line"": 26}",Chimera,2.7 - Spawn Chimera and The Hankyoreh Newspaper
kimsuky/APTDown/article.txt,"{""line"": 618}",Chimera,----[ 2.7 Spawn Chimera and The Hankyoreh
summary/2022/2021-NCC-Group-Annual-Research-Report.pdf,"{""page"": 28}",Chimera,"ommunity with information, intelligence, and historic data that can be used to hunt for the threat actor threat in historic data and improve detections for intrusions by this intrusion set. The APT group, known as “Chimera,” has been best known for abusing cloud services from Google and Microsoft to seek everything from intellectual property (IP) from victims in the semiconductor industry, through to data from the airline industry. •"
ui/api/v1/search.json,"{""json_path"": ""$.entities[85].attrs.概要""}",Chimera,Chimeraの標準化プロファイル。リポジトリ内の専用資料1件とMITRE ATT&CK、アクターマッピング表を基礎情報としている。
ui/api/v1/search.json,"{""json_path"": ""$.entities[85].detail""}",chimera,chimera
ui/api/v1/search.json,"{""json_path"": ""$.entities[85].id""}",chimera,actor:chimera
ui/api/v1/search.json,"{""json_path"": ""$.entities[85].label""}",Chimera,Chimera
ui/api/v1/search.json,"{""json_path"": ""$.entities[861].refs[6].target""}",chimera,actor:chimera
