original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 21, ""sheet"": ""Others""}",Cobalt Spider,"Cobalt Spider Magecart Group 4 Point of Sale Criminal, linked to Cobalt https://go.crowdstrike.com/rs/281-OBQ-266/images/Report2018GlobalThreatReport.pdf https://www.crowdstrike.com/blog/meet-crowdstrikes-adversary-of-the-month-for-s"
APT Groups and Operations.xlsx,"{""row"": 21, ""sheet"": ""Others""}",Magecart Group 4,"Cobalt Spider Magecart Group 4 Point of Sale Criminal, linked to Cobalt https://go.crowdstrike.com/rs/281-OBQ-266/images/Report2018GlobalThreatReport.pdf https://www.crowdstrike.com/blog/meet-crowdstrikes-adversary-of-the-month-for-september-cobalt-s"
APT-hunting/hunting-cobaltstrike-beacons-in-the-dark.pdf,"{""page"": 65}",Cobalt Group,"ly spot, then subsequently track and monitor their infrastructure. Overall, 37% of Beacons are supplied with the top five SSL public keys. Several of the most popular keys belong to notorious threat groups. 3 3 Spoofed Cobalt Group 1580103814 5E2E7886 Leaked APT27 Qbot IcedID DarkSide Conti Hancitor WizardSpider 1359593325 5109BF6D Leaked TrickBot/SmokeLoader Nobelium/APT29 1873433027 6FAA51C3 Leaked TA511/Hancitor 849087011 329C0A23 Custom SolarS"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 3}",Cobalt Group,................................ 56 Clever Kitten .................................................................................................................................................................... 58 Cobalt Group ................................................................................................................................................................... 59 Cold River ........................................
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 59}",Cobalt Gang,Threat Group Cards: A Threat Actor Encyclopedia 59 Cobalt Group Names Cobalt Group (Group-IB) Cobalt Gang (Palo Alto) Cobalt Spider (CrowdStrike) Gold Kingswood (SecureWorks) Country Russia Motivation Financial gain Description Cobalt Group is a financially motivated threat group that has primarily targeted financial
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 59}",Cobalt Group,Threat Group Cards: A Threat Actor Encyclopedia 59 Cobalt Group Names Cobalt Group (Group-IB) Cobalt Gang (Palo Alto) Cobalt Spider (CrowdStrike) Gold Kingswood (SecureWorks) Country Russia Motivation Financial gain Description Cobalt Group is a financially motivated threat g
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 59}",Cobalt Group,Threat Group Cards: A Threat Actor Encyclopedia 59 Cobalt Group Names Cobalt Group (Group-IB) Cobalt Gang (Palo Alto) Cobalt Spider (CrowdStrike) Gold Kingswood (SecureWorks) Country Russia Motivation Financial gain Description Cobalt Group is a financially motivated threat group that has primar
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 59}",Cobalt Spider,Threat Group Cards: A Threat Actor Encyclopedia 59 Cobalt Group Names Cobalt Group (Group-IB) Cobalt Gang (Palo Alto) Cobalt Spider (CrowdStrike) Gold Kingswood (SecureWorks) Country Russia Motivation Financial gain Description Cobalt Group is a financially motivated threat group that has primarily targeted financial institutions. The group has
International Strategic/Russia/GoldenChickens/Unmasking_VenomSpider_Report-Final.pdf,"{""page"": 2}",Cobalt Gang,"eing shared between two people. From the posts, we learn the following about badbullzvenom: • They claim to be from Moldova • They speak Romanian, French and English • They claim to work with Russia-based Cobalt Gang (this is also evident in public analysis of Golden Chickens campaign IOCs) Who is “Frapstar” and What is His Connection to badbullzvenom? Numerous other data points in the report connect a second threat actor, who go"
International Strategic/Russia/GoldenChickens/Unmasking_VenomSpider_Report-Final.pdf,"{""page"": 2}",Cobalt Group,"ing one of the most capable and stealthy malware suites—Golden Chickens. Golden Chickens is the “cyber weapon of choice” for three of the top money making, longest-running Internet crime groups: Russia-based FIN6 and Cobalt Group and Belarus-based Evilnum. The three criminal operations are estimated to have collectively caused financial losses over USD $1.5 billion. This report unveils the identity of the threat actor behind Golden Chickens—wh"
International Strategic/Russia/GoldenChickens/Unmasking_VenomSpider_Report-Final.pdf,"{""page"": 3}",Cobalt Group,"nd stealthy malware suites on the Cyber Underground – Golden Chickens. Golden Chickens is the “cyber weapon of choice” for three of the top money making and longest-running Internet crime groups: Russia-based FIN6 and Cobalt Group and Belarus-based Evilnum. The three cybercrime operations are estimated to have collectively caused financial losses over USD $1.5 billion. Since 2018, the Golden Chickens suite has been distributed as a Malware-as-a-"
International Strategic/Russia/GoldenChickens/Unmasking_VenomSpider_Report-Final.pdf,"{""page"": 3}",Cobalt Group,"y might better defend their critical data and applications from threat actors mounting attack campaigns using the Golden Chickens malware suite. The balance of this report includes: • A brief overview of the FIN6, Cobalt Group and Evilnum cybercrime organizations • A detailed account of the investigation and subsequent identification of the Golden Chickens MaaS operator • An analysis of the Golden Chickens malware and the current"
International Strategic/Russia/GoldenChickens/Unmasking_VenomSpider_Report-Final.pdf,"{""page"": 3}",Cobalt Group,"S operator • An analysis of the Golden Chickens malware and the current attack campaign • Insights and security recommendations from TRU Golden Chickens‘ Connection to the Billion Dollar Hackers’ Club—FIN6, Cobalt Group and Evilnum For those not familiar with FIN6, Cobalt Group and Evilnum, they are hands down three of the longest- running and successful financial crime gangs, and it is reported that cumulatively they have caused over"
Threat Group Cards.pdf,"{""page"": 3}",Cobalt Group,.......................................................... 56 Clever Kitten .......................................................................................................................................... 58 Cobalt Group ......................................................................................................................................... 59 Cold River ..................................................................
Threat Group Cards.pdf,"{""page"": 59}",Cobalt Gang,Threat Group Cards: A Threat Actor Encyclopedia 59 Cobalt Group Names Cobalt Group (Group-IB) Cobalt Gang (Palo Alto) Cobalt Spider (CrowdStrike) Gold Kingswood (SecureWorks) Country Russia Motivation Financial gain Description Cobalt Group is a financially motivated threat group that has primarily targeted financial
Threat Group Cards.pdf,"{""page"": 59}",Cobalt Group,Threat Group Cards: A Threat Actor Encyclopedia 59 Cobalt Group Names Cobalt Group (Group-IB) Cobalt Gang (Palo Alto) Cobalt Spider (CrowdStrike) Gold Kingswood (SecureWorks) Country Russia Motivation Financial gain Description Cobalt Group is a financially motivated threat g
Threat Group Cards.pdf,"{""page"": 59}",Cobalt Group,Threat Group Cards: A Threat Actor Encyclopedia 59 Cobalt Group Names Cobalt Group (Group-IB) Cobalt Gang (Palo Alto) Cobalt Spider (CrowdStrike) Gold Kingswood (SecureWorks) Country Russia Motivation Financial gain Description Cobalt Group is a financially motivated threat group that has primar
Threat Group Cards.pdf,"{""page"": 59}",Cobalt Spider,Threat Group Cards: A Threat Actor Encyclopedia 59 Cobalt Group Names Cobalt Group (Group-IB) Cobalt Gang (Palo Alto) Cobalt Spider (CrowdStrike) Gold Kingswood (SecureWorks) Country Russia Motivation Financial gain Description Cobalt Group is a financially motivated threat group that has primarily targeted financial institutions. The group has
Threat_Group_Cards_v2.0.pdf,"{""page"": 3}",Cobalt Group,................................ 83 Clever Kitten .................................................................................................................................................................... 84 Cobalt Group ................................................................................................................................................................... 85 Cold River ........................................
Threat_Group_Cards_v2.0.pdf,"{""page"": 85}",Cobalt Gang,Threat Group Cards: A Threat Actor Encyclopedia 85 Cobalt Group Names Cobalt Group (Group-IB) Cobalt Gang (Palo Alto) Cobalt Spider (CrowdStrike) Gold Kingswood (SecureWorks) ATK 67 (Thales) TAG-CR3 Country Russia Motivation Financial crime First seen 2016 Description Cobalt Group is a financially motivated threat g
Threat_Group_Cards_v2.0.pdf,"{""page"": 85}",Cobalt Group,Threat Group Cards: A Threat Actor Encyclopedia 85 Cobalt Group Names Cobalt Group (Group-IB) Cobalt Gang (Palo Alto) Cobalt Spider (CrowdStrike) Gold Kingswood (SecureWorks) ATK 67 (Thales) TAG-CR3 Country Russia Motivation Financial crime First seen 2016 Description Coba
