original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 12, ""sheet"": ""Iran""}",CopyKittens,"CopyKittens Slayer Kitten DarkHydrus LazyMeerkat G0052 Wilted Tulip TDTESS backdoor, Vminst, NetSrv, Cobalt Strike, ZPP, Matryoshka v1 and Matryoshka v2 Israel’s Ministry of Foreign Affairs and some well-known Israeli academic rese"
APT Groups and Operations.xlsx,"{""row"": 12, ""sheet"": ""Iran""}",DarkHydrus,"CopyKittens Slayer Kitten DarkHydrus LazyMeerkat G0052 Wilted Tulip TDTESS backdoor, Vminst, NetSrv, Cobalt Strike, ZPP, Matryoshka v1 and Matryoshka v2 Israel’s Ministry of Foreign Affairs and some well-known Israeli academic researchers specializing in M"
APT Groups and Operations.xlsx,"{""row"": 12, ""sheet"": ""Iran""}",DarkHydrus,"trike, ZPP, Matryoshka v1 and Matryoshka v2 Israel’s Ministry of Foreign Affairs and some well-known Israeli academic researchers specializing in Middle East Studies. Israel, Saudi Arabia, United States, Jordan, Germany DarkHydrus C2 Infra Overlap https://s3-eu-west-1.amazonaws.com/minervaresearchpublic/CopyKittens/CopyKittens.pdf https://blog.domaintools.com/2017/03/hunt-case-study-hunting-campaign-indicators-on-privacy-protected-attack-infrastr"
APT Groups and Operations.xlsx,"{""row"": 12, ""sheet"": ""Iran""}",LazyMeerkat,"CopyKittens Slayer Kitten DarkHydrus LazyMeerkat G0052 Wilted Tulip TDTESS backdoor, Vminst, NetSrv, Cobalt Strike, ZPP, Matryoshka v1 and Matryoshka v2 Israel’s Ministry of Foreign Affairs and some well-known Israeli academic researchers specializing in Middle East S"
APT Groups and Operations.xlsx,"{""row"": 12, ""sheet"": ""Iran""}",Slayer Kitten,"CopyKittens Slayer Kitten DarkHydrus LazyMeerkat G0052 Wilted Tulip TDTESS backdoor, Vminst, NetSrv, Cobalt Strike, ZPP, Matryoshka v1 and Matryoshka v2 Israel’s Ministry of Foreign Affairs and some well-known Israeli academic researchers specia"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 22}",DarkHydrus,"ance, energy, pharmaceutical, telecommunications, high tech, education, manufacturing, and legal services. In 2017, a phishing campaign was used to target seven law and investment firms. Some analysts track APT19 and DarkHydrus as the same group, but it is unclear from open source information if the groups are the same. Observed Sectors: Defense, Education, Energy, Financial, Government, High-Tech, Manufacturing, Pharmaceutical, Telecommuni"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 3}",CopyKittens,"............................... 63 Confucius ......................................................................................................................................................................... 65 CopyKittens, Slayer Kitten ............................................................................................................................................ 66 Corkow, Metel ............................................."
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 3}",DarkHydrus,"............................... 71 DarkHotel ......................................................................................................................................................................... 72 DarkHydrus, LazyMeerkat ............................................................................................................................................ 74 Deep Panda, APT 26, Shell Crew, WebMasters, KungFu Kittens .."
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 3}",LazyMeerkat,"................... 71 DarkHotel ......................................................................................................................................................................... 72 DarkHydrus, LazyMeerkat ............................................................................................................................................ 74 Deep Panda, APT 26, Shell Crew, WebMasters, KungFu Kittens ..............."
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 3}",Slayer Kitten,".................. 63 Confucius ......................................................................................................................................................................... 65 CopyKittens, Slayer Kitten ............................................................................................................................................ 66 Corkow, Metel ............................................................"
