original_source_path,original_source_location,matched_name,context_excerpt
Anonymous/the-rise-of-state-sponsored-hacktivism.pdf,"{""page"": 3}",CyberAv3ngers,"eted U.S. operational technology (OT) and industrial control systems (ICS). • Most attacks focused on water utilities, however, healthcare, energy and manufacturing were also targeted. • Key known players include: o CyberAv3ngers, who is believed to be affiliated with the Iranian military o Cyber Army of Russia, who is linked to Sandworm, a unit of the Russian GRU, launched attacks against U.S. water and wastewater facilities. This report analy"
International Strategic/Iran/Iranian-Affiliated Cyber Actors Exploit Programmable Logic Controllers Across US Critical Infrastructure.pdf,"{""page"": 4}",CyberAv3ngers,"including Government Services and Facilities (to include local municipalities), Water and Wastewater Systems (WWS), and Energy Sectors. The authoring agencies previously reported on similar activity targeting PLCs by CyberAv3ngers (aka Shahid Kaveh Group)—a cyber threat actor affiliated with Iran’s Islamic Revolutionary Guard Corps (IRGC) Cyber Electronic Command (CEC). If owners and operators discover an affected internet-accessible device i"
International Strategic/Iran/Iranian-Affiliated Cyber Actors Exploit Programmable Logic Controllers Across US Critical Infrastructure.pdf,"{""page"": 5}",APT Iran,"e IRGC CEC-affiliated cyber threat actors known as ""CyberAv3ngers” targeted U.S.-based PLCs and HMIs, causing disruptive effects. Private industry and open sources also refer to this group as Hydro Kitten, Storm-0784, APT Iran, Bauxite, Mr. Soul, Soldiers of Solomon, UNC5691, and the Shahid Kaveh Group. These attacks compromised at least 75 devices, targeting U.S.-based Unitronics PLC devices with an HMI used across multiple critical infras"
International Strategic/Iran/Iranian-Affiliated Cyber Actors Exploit Programmable Logic Controllers Across US Critical Infrastructure.pdf,"{""page"": 5}",CyberAv3ngers,"097A TLP:CLEAR Background Information Similar Historical Activity Targeting Programmable Logic Controllers During a similar campaign beginning in November 2023, the IRGC CEC-affiliated cyber threat actors known as ""CyberAv3ngers” targeted U.S.-based PLCs and HMIs, causing disruptive effects. Private industry and open sources also refer to this group as Hydro Kitten, Storm-0784, APT Iran, Bauxite, Mr. Soul, Soldiers of Solomon, UNC5691, and th"
International Strategic/Iran/Iranian-Affiliated Cyber Actors Exploit Programmable Logic Controllers Across US Critical Infrastructure.pdf,"{""page"": 5}",Hydro Kitten,"nning in November 2023, the IRGC CEC-affiliated cyber threat actors known as ""CyberAv3ngers” targeted U.S.-based PLCs and HMIs, causing disruptive effects. Private industry and open sources also refer to this group as Hydro Kitten, Storm-0784, APT Iran, Bauxite, Mr. Soul, Soldiers of Solomon, UNC5691, and the Shahid Kaveh Group. These attacks compromised at least 75 devices, targeting U.S.-based Unitronics PLC devices with an HMI used across mu"
International Strategic/Iran/Iranian-Affiliated Cyber Actors Exploit Programmable Logic Controllers Across US Critical Infrastructure.pdf,"{""page"": 5}",Storm-0784,"ber 2023, the IRGC CEC-affiliated cyber threat actors known as ""CyberAv3ngers” targeted U.S.-based PLCs and HMIs, causing disruptive effects. Private industry and open sources also refer to this group as Hydro Kitten, Storm-0784, APT Iran, Bauxite, Mr. Soul, Soldiers of Solomon, UNC5691, and the Shahid Kaveh Group. These attacks compromised at least 75 devices, targeting U.S.-based Unitronics PLC devices with an HMI used across multiple criti"
OT/Dragos-2026-OT-Cybersecurity-Report-A-Year-in-Review.pdf,"{""page"": 32}",BAUXITE,"Ukrainian targets, they expanded operations back into Europe and the United States in 2025. VOLTZITE achieved Stage 2 capability by moving beyond data exfiltration to direct manipulation of engineering workstations. BAUXITE escalated from hacktivist defacements to deploying custom wiper malware during regional conflicts."
OT/Dragos-2026-OT-Cybersecurity-Report-A-Year-in-Review.pdf,"{""page"": 38}",BAUXITE,"ed field assets. The scanning mirrored known real-world disruptions caused by other adversaries abusing exposed devices. The tactic aligns with historical campaigns such as the targeting of exposed of Unitronics PLCs (BAUXITE) and poorly secured HMIs (TAT24-22; shares technical overlaps with CyberArmyofRussia_Reborn), both of which led to tangible operational consequences in some cases, including water-system outages and unauthorized param"
OT/Dragos-2026-OT-Cybersecurity-Report-A-Year-in-Review.pdf,"{""page"": 3}",BAUXITE,", Inc. All Rights Reserved. Proprietary & Confidential. 3 9TH ANNUAL YEAR IN REVIEW | OT/ICS CYBERSECURITY REPORT UPDATED FEBRUARY 2026 Table of Contents (cont.) Threat Group Update: VOLTZITE 4 4 Threat Group Update: BAUXITE 5 1 Sierra Wireless Airlink Targeting 4 6 Threatening Email Campaign 5 4 JDY Botnet Activity 4 6 Wiper Malware 5 4 Exploited Trimble Cityworks GIS Software 4 7 Insights From Dragos Intelligence Fabric 4 8 Insight"
OT/Dragos-2026-OT-Cybersecurity-Report-A-Year-in-Review.pdf,"{""page"": 52}",BAUXITE,"© Dragos, Inc. All Rights Reserved. Proprietary & Confidential. 52 9TH ANNUAL YEAR IN REVIEW | OT/ICS CYBERSECURITY REPORT UPDATED FEBRUARY 2026 About BAUXITE Dragos has tracked BAUXITE campaigns targeting OT entities and devices globally since late 2023. BAUXITE shares significant technical overlap with the CyberAv3ngers hacktivist persona, which first emerged in 2020, and"
