original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 14, ""sheet"": ""Middle East""}",Dark Caracal,Dark Caracal Lebanon Pallas Bandook CrossRAT Infected Documents https://info.lookout.com/rs/051-ESQ-475/images/Lookout_Dark-Caracal_srr_20180118_us_v.1.0.pdf
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 3}",Dark Caracal,"......................................... 68 Cutting Kitten, TG-2889 ................................................................................................................................................. 69 Dark Caracal ................................................................................................................................................................... 71 DarkHotel ........................................."
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 71}",Dark Caracal,"Threat Group Cards: A Threat Actor Encyclopedia 71 Dark Caracal Names Dark Caracal (Lookout) Country Lebanon Sponsor State-sponsored, General Directorate of General Security (GDGS) Motivation Information theft and espionage Description (Lookout) Lookout and Electronic Frontier"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 71}",Dark Caracal,"Threat Group Cards: A Threat Actor Encyclopedia 71 Dark Caracal Names Dark Caracal (Lookout) Country Lebanon Sponsor State-sponsored, General Directorate of General Security (GDGS) Motivation Information theft and espionage Description (Lookout) Lookout and Electronic Frontier Foundation (EFF) hav"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 71}",Dark Caracal,"releasing more than 90 indicators of compromise (IOC) associated with Dark Caracal including 11 different Android malware IOCs; 26 desktop malware IOCs across Windows, Mac, and Linux; and 60 domain/IP based IOCs. Dark Caracal targets include individuals and entities that a nation state might typically attack, including governments, military targets, utilities, financial institutions, manufacturing companies, and defense contractors. We spe"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 71}",Dark Caracal,om/rs/051-ESQ-475/images/Lookout_Dark- Caracal_srr_20180118_us_v.1.0.pdf> MITRE ATT&CK <https://attack.mitre.org/groups/G0070/> 3 See ThaiCERT Whitepaper “Dark Caracal Campaign”
Threat Group Cards.pdf,"{""page"": 3}",Dark Caracal,"................................................................... 68 Cutting Kitten, TG-2889 ....................................................................................................................... 69 Dark Caracal ......................................................................................................................................... 71 DarkHotel ..................................................................."
Threat Group Cards.pdf,"{""page"": 71}",Dark Caracal,"Threat Group Cards: A Threat Actor Encyclopedia 71 Dark Caracal Names Dark Caracal (Lookout) Country Lebanon Sponsor State-sponsored, General Directorate of General Security (GDGS) Motivation Information theft and espionage Description (Lookout) Lookout and Electronic Frontier"
Threat Group Cards.pdf,"{""page"": 71}",Dark Caracal,"Threat Group Cards: A Threat Actor Encyclopedia 71 Dark Caracal Names Dark Caracal (Lookout) Country Lebanon Sponsor State-sponsored, General Directorate of General Security (GDGS) Motivation Information theft and espionage Description (Lookout) Lookout and Electronic Frontier Foundation (EFF) hav"
Threat Group Cards.pdf,"{""page"": 71}",Dark Caracal,"releasing more than 90 indicators of compromise (IOC) associated with Dark Caracal including 11 different Android malware IOCs; 26 desktop malware IOCs across Windows, Mac, and Linux; and 60 domain/IP based IOCs. Dark Caracal targets include individuals and entities that a nation state might typically attack, including governments, military targets, utilities, financial institutions, manufacturing companies, and defense contractors. We spe"
Threat Group Cards.pdf,"{""page"": 71}",Dark Caracal,om/rs/051-ESQ-475/images/Lookout_Dark- Caracal_srr_20180118_us_v.1.0.pdf> MITRE ATT&CK <https://attack.mitre.org/groups/G0070/> 3 See ThaiCERT Whitepaper “Dark Caracal Campaign”
Threat_Group_Cards_v2.0.pdf,"{""page"": 100}",Dark Caracal,"Threat Group Cards: A Threat Actor Encyclopedia 100 Dark Caracal Names Dark Caracal (Lookout) ATK 27 (Thales) TAG-CT3 Country Lebanon Sponsor State-sponsored, General Directorate of General Security (GDGS) Motivation Information theft and espionage First seen 2007 Description"
Threat_Group_Cards_v2.0.pdf,"{""page"": 100}",Dark Caracal,"Threat Group Cards: A Threat Actor Encyclopedia 100 Dark Caracal Names Dark Caracal (Lookout) ATK 27 (Thales) TAG-CT3 Country Lebanon Sponsor State-sponsored, General Directorate of General Security (GDGS) Motivation Information theft and espionage First seen 2007 Description (Lookout) Lookout a"
Threat_Group_Cards_v2.0.pdf,"{""page"": 100}",Dark Caracal,"re releasing more than 90 indicators of compromise (IOC) associated with Dark Caracal including 11 different Android malware IOCs; 26 desktop malware IOCs across Windows, Mac, and Linux; and 60 domain/IP based IOCs. Dark Caracal targets include individuals and entities that a nation state might typically attack, including governments, military targets, utilities, financial institutions, manufacturing companies, and defense contractors. We spe"
Threat_Group_Cards_v2.0.pdf,"{""page"": 100}",Dark Caracal,om/rs/051-ESQ-475/images/Lookout_Dark- Caracal_srr_20180118_us_v.1.0.pdf> MITRE ATT&CK <https://attack.mitre.org/groups/G0070/> 3 See ThaiCERT Whitepaper “Dark Caracal Campaign”
Threat_Group_Cards_v2.0.pdf,"{""page"": 3}",Dark Caracal,".......................................................................... 97 Cyber Caliphate Army (CCA), United Cyber Caliphate (UCC) ............................................................................... 98 Dark Caracal ................................................................................................................................................................. 100 DarkHotel .........................................."
