original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 12, ""sheet"": ""Iran""}",DarkHydrus,"CopyKittens Slayer Kitten DarkHydrus LazyMeerkat G0052 Wilted Tulip TDTESS backdoor, Vminst, NetSrv, Cobalt Strike, ZPP, Matryoshka v1 and Matryoshka v2 Israel’s Ministry of Foreign Affairs and some well-known Israeli academic researchers specializing in M"
APT Groups and Operations.xlsx,"{""row"": 12, ""sheet"": ""Iran""}",DarkHydrus,"trike, ZPP, Matryoshka v1 and Matryoshka v2 Israel’s Ministry of Foreign Affairs and some well-known Israeli academic researchers specializing in Middle East Studies. Israel, Saudi Arabia, United States, Jordan, Germany DarkHydrus C2 Infra Overlap https://s3-eu-west-1.amazonaws.com/minervaresearchpublic/CopyKittens/CopyKittens.pdf https://blog.domaintools.com/2017/03/hunt-case-study-hunting-campaign-indicators-on-privacy-protected-attack-infrastr"
APT Groups and Operations.xlsx,"{""row"": 12, ""sheet"": ""Iran""}",darkhydrus,ign-indicators-on-privacy-protected-attack-infrastructure/ http://www.clearskysec.com/copykitten-jpost/ http://www.clearskysec.com/tulip/ https://researchcenter.paloaltonetworks.com/2018/07/unit42-new-threat-actor-group-darkhydrus-targets-middle-east-government/
APT Groups and Operations.xlsx,"{""row"": 21, ""sheet"": ""Iran""}",DarkHydrus,DarkHydrus G0079 RogueRobin https://researchcenter.paloaltonetworks.com/2018/07/unit42-new-threat-actor-group-darkhydrus-targets-middle-east-government/ https://docs.google.com/document/d/1oYX3uN6KxIX_StzTH0s0yFNNoHDnV8VgmVqU5Woe
APT Groups and Operations.xlsx,"{""row"": 21, ""sheet"": ""Iran""}",darkhydrus,DarkHydrus G0079 RogueRobin https://researchcenter.paloaltonetworks.com/2018/07/unit42-new-threat-actor-group-darkhydrus-targets-middle-east-government/ https://docs.google.com/document/d/1oYX3uN6KxIX_StzTH0s0yFNNoHDnV8VgmVqU5WoeErc/edit#heading=h.ez428aw98bca
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 22}",DarkHydrus,"ance, energy, pharmaceutical, telecommunications, high tech, education, manufacturing, and legal services. In 2017, a phishing campaign was used to target seven law and investment firms. Some analysts track APT19 and DarkHydrus as the same group, but it is unclear from open source information if the groups are the same. Observed Sectors: Defense, Education, Energy, Financial, Government, High-Tech, Manufacturing, Pharmaceutical, Telecommuni"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 3}",DarkHydrus,"............................... 71 DarkHotel ......................................................................................................................................................................... 72 DarkHydrus, LazyMeerkat ............................................................................................................................................ 74 Deep Panda, APT 26, Shell Crew, WebMasters, KungFu Kittens .."
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 74}",DarkHydrus,"Threat Group Cards: A Threat Actor Encyclopedia 74 DarkHydrus, LazyMeerkat Names DarkHydrus (Palo Alto) LazyMeerkat (Kaspersky) Country Iran Motivation Information theft and espionage Description DarkHydrus is a threat group that has targeted government agencies and educatio"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 74}",DarkHydrus,"Threat Group Cards: A Threat Actor Encyclopedia 74 DarkHydrus, LazyMeerkat Names DarkHydrus (Palo Alto) LazyMeerkat (Kaspersky) Country Iran Motivation Information theft and espionage Description DarkHydrus is a threat group that has targeted government agencies and educational institutions in the Middle"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 74}",DarkHydrus,"Threat Group Cards: A Threat Actor Encyclopedia 74 DarkHydrus, LazyMeerkat Names DarkHydrus (Palo Alto) LazyMeerkat (Kaspersky) Country Iran Motivation Information theft and espionage Description DarkHydrus is a threat group that has targeted government agencies and educational institutions in the Middle East since at least 2016. The group heavily leverages open-source tools and custom payloads for carrying out attacks."
