original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 10, ""sheet"": ""China""}",Shell Crew,"Axiom APT17 Tailgater Team Group 72 Dogfish (iDefense), Deputy Dog (iDefense), Winnti Umbrella G0001 Winnti, Gh0st RAT, PoisonIvy, HydraQ, Hikit, ZxShell, Deputy Dog, Derusbi, PlugX, HTRAN, HDRoot, Fscan, Timestomper Shell Crew, Hidden Lynx, Axiom Use ""Skeleton Key"" on DCs http://securelist.com/blog/research/57585/winnti-faq-more-than-just-a-game/ http://www.novetta.com/files/5614/1329/6232/novetta_cybersecurity_exec_summary-3.pdf http://www.n"
APT Groups and Operations.xlsx,"{""row"": 11, ""sheet"": ""China""}",Deep Panda,"innti Umbrella, BARIUM, LEAD, RedEcho, Vanadinite, TAG-22 G0044 Winnti, AceHash, PlugX, Webshells, ZxShell, ShadowPad ThyssenKrupp, Gameforge, Valve, Teamviewer,Siemens, Sumitomo, BASF, Covestro, Shin-Etsu, Bayer, Roche Deep Panda, Wicked Spider http://blog.trendmicro.com/trendlabs-security-intelligence/winnti-abuses-github/ https://www.protectwise.com/blog/winnti-evolution-going-open-source.html https://www.nccgroup.trust/uk/about-us/newsroom-an"
APT Groups and Operations.xlsx,"{""row"": 12, ""sheet"": ""China""}",Deep Panda,"Shell Crew Deep Panda WebMasters APT19 KungFu Kittens Group 13 Sh3llCr3w, PinkPanther, Winnti Group G0009 OPM Anthem Hack Sakula/Sakurel, Derusbi, Scanbox Framework, many Webshells including China Chopper, WCE Axiom, Winnti http://cybercampa"
APT Groups and Operations.xlsx,"{""row"": 12, ""sheet"": ""China""}",Shell Crew,"Shell Crew Deep Panda WebMasters APT19 KungFu Kittens Group 13 Sh3llCr3w, PinkPanther, Winnti Group G0009 OPM Anthem Hack Sakula/Sakurel, Derusbi, Scanbox Framework, many Webshells including China Chopper, WCE Axiom, Winnti http:/"
APT Groups and Operations.xlsx,"{""row"": 12, ""sheet"": ""China""}",WebMasters,"Shell Crew Deep Panda WebMasters APT19 KungFu Kittens Group 13 Sh3llCr3w, PinkPanther, Winnti Group G0009 OPM Anthem Hack Sakula/Sakurel, Derusbi, Scanbox Framework, many Webshells including China Chopper, WCE Axiom, Winnti http://cybercampaigns.net/wp"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 3}",Deep Panda,".............................................. 72 DarkHydrus, LazyMeerkat ............................................................................................................................................ 74 Deep Panda, APT 26, Shell Crew, WebMasters, KungFu Kittens ......................................................................... 75 Desert Falcons .............................................................................."
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 3}",KungFu Kittens,".. 72 DarkHydrus, LazyMeerkat ............................................................................................................................................ 74 Deep Panda, APT 26, Shell Crew, WebMasters, KungFu Kittens ......................................................................... 75 Desert Falcons .............................................................................................................................."
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 3}",Shell Crew,".......................... 72 DarkHydrus, LazyMeerkat ............................................................................................................................................ 74 Deep Panda, APT 26, Shell Crew, WebMasters, KungFu Kittens ......................................................................... 75 Desert Falcons .................................................................................................."
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 3}",WebMasters,".............. 72 DarkHydrus, LazyMeerkat ............................................................................................................................................ 74 Deep Panda, APT 26, Shell Crew, WebMasters, KungFu Kittens ......................................................................... 75 Desert Falcons .............................................................................................................."
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 75}",Deep Panda,"Threat Group Cards: A Threat Actor Encyclopedia 75 Deep Panda, APT 26, Shell Crew, WebMasters, KungFu Kittens Names Deep Panda (CrowdStrike) APT 26 (Mandiant) Shell Crew (RSA) WebMasters (Kaspersky) KungFu Kittens (FireEye) Group 13 (Talos) PinkPanther (RSA) Black Vine (Sy"
International Strategic/China/china-cyber-report.pdf,"{""page"": 42}",Deep Panda,"LUSTERS ASSOCIATED WITH THE ANTHEM BREACH ACTIVITY GROUP OR CLUSTER CITED ALIGNMENT DESCRIPTION Ironman campaign CrowdStrike 493 CrowdStrike initially assessed that the actor responsible for the Anthem breach was Deep Panda, 494 but later revised this assessment to track the activity as a separate Ironman campaign . This campaign name refers to a command-and-control domain, xha-mster[.]com, which was registered with the alias “tonyy sta"
International Strategic/China/china-cyber-report.pdf,"{""page"": 42}",Deep Panda,"scheme reappeared in the China-attributed breach of the U.S. Office of Personnel Management (OPM). Despite CrowdStrike’s reassessment, many other threat research organizations track the actor responsible for Anthem as Deep Panda. Of relevance to Hurricane Panda’s DDoS activity in Hong Kong, CrowdStrike attributed targeted surveillance of prominent pro-democracy activists and supporters of the 2014 protests to Deep Panda.496 Also similar to th"
International Strategic/China/china-cyber-report.pdf,"{""page"": 69}",DEEP PANDA,"o-china. 492 “The Anthem Hack: All Roads Lead to China,” ThreatConnect, February 27, 2015, accessed March 28, 2022, https://threatconnect. com/blog/the-anthem-hack-all-roads-lead-to-china. 493 Matt Dahl, “I am Ironman: DEEP PANDA Uses Sakula Malware to Target Organizations in Multiple Sectors,” CrowdStrike, November 24, 2014, accessed March 28, 2022, https://www.crowdstrike.com/ blog/ironman-deep-panda-uses-sakula-malware-target-organiza - tio"
International Strategic/China/china-cyber-report.pdf,"{""page"": 69}",DEEP PANDA,"ltiple Sectors,” CrowdStrike, November 24, 2014, accessed March 28, 2022, https://www.crowdstrike.com/ blog/ironman-deep-panda-uses-sakula-malware-target-organiza - tions-multiple-sectors. 494 Matt Dahl, “I am Ironman: DEEP PANDA Uses Sakula Malware to Target Organizations in Multiple Sectors,” CrowdStrike, November 24, 2014, accessed March 28, 2022, https://www.crowdstrike.com/ blog/ironman-deep-panda-uses-sakula-malware-target-organiza - tio"
