original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 33, ""sheet"": ""China""}",Dragon Castling,"DragonOK DragonOK DragonOK Dragon Castling G0017 CVE-2015-1641, Sysget, IsSpace, Rambo Backdoor Japan, SE Asia casino & gaming KHRAT links to Rancor http://researchcenter.paloaltonetworks.com/2015/04/unit-42-identifies-new-dragonok-backdoor-malware-deployed-agai"
APT Groups and Operations.xlsx,"{""row"": 33, ""sheet"": ""China""}",DragonOK,"DragonOK DragonOK DragonOK Dragon Castling G0017 CVE-2015-1641, Sysget, IsSpace, Rambo Backdoor Japan, SE Asia casino & gaming KHRAT links to Rancor http://researchcenter.paloaltonetworks.com/2015/04/unit-42-identifies-new-drago"
APT Groups and Operations.xlsx,"{""row"": 33, ""sheet"": ""China""}",DragonOK,"DragonOK DragonOK DragonOK Dragon Castling G0017 CVE-2015-1641, Sysget, IsSpace, Rambo Backdoor Japan, SE Asia casino & gaming KHRAT links to Rancor http://researchcenter.paloaltonetworks.com/2015/04/unit-42-identifies-new-dragonok-backd"
APT Groups and Operations.xlsx,"{""row"": 33, ""sheet"": ""China""}",DragonOK,"DragonOK DragonOK DragonOK Dragon Castling G0017 CVE-2015-1641, Sysget, IsSpace, Rambo Backdoor Japan, SE Asia casino & gaming KHRAT links to Rancor http://researchcenter.paloaltonetworks.com/2015/04/unit-42-identifies-new-dragonok-backdoor-malwa"
APT Groups and Operations.xlsx,"{""row"": 33, ""sheet"": ""China""}",dragonok,"gonOK DragonOK DragonOK Dragon Castling G0017 CVE-2015-1641, Sysget, IsSpace, Rambo Backdoor Japan, SE Asia casino & gaming KHRAT links to Rancor http://researchcenter.paloaltonetworks.com/2015/04/unit-42-identifies-new-dragonok-backdoor-malware-deployed-against-japanese-targets/ http://researchcenter.paloaltonetworks.com/2017/01/unit42-dragonok-updates-toolset-targets-multiple-geographic-regions/ https://blogs.forcepoint.com/security-labs/troj"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 3}",DragonOK,.................................. 81 Donot Team ..................................................................................................................................................................... 82 DragonOK ........................................................................................................................................................................ 83 DustSquad ....................................
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 83}",DragonOK,"Threat Group Cards: A Threat Actor Encyclopedia 83 DragonOK Names DragonOK (FireEye) Country China Motivation Information theft and espionage Description DragonOK is a threat group that has targeted Japanese organizations with phishing emails. Due to overlapping TTPs, inclu"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 83}",DragonOK,"Threat Group Cards: A Threat Actor Encyclopedia 83 DragonOK Names DragonOK (FireEye) Country China Motivation Information theft and espionage Description DragonOK is a threat group that has targeted Japanese organizations with phishing emails. Due to overlapping TTPs, including similar cus"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 83}",DragonOK,"Threat Group Cards: A Threat Actor Encyclopedia 83 DragonOK Names DragonOK (FireEye) Country China Motivation Information theft and espionage Description DragonOK is a threat group that has targeted Japanese organizations with phishing emails. Due to overlapping TTPs, including similar custom tools, DragonOK is thought to have a direct or indirect relationship with the threat g"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 83}",DragonOK,"Country China Motivation Information theft and espionage Description DragonOK is a threat group that has targeted Japanese organizations with phishing emails. Due to overlapping TTPs, including similar custom tools, DragonOK is thought to have a direct or indirect relationship with the threat group Moafee. It is known to use a variety of malware, including Sysget/HelloBridge, PlugX, Poison Ivy, FormerFirstRat, NFlog, and NewCT. Observe"
Threat Group Cards.pdf,"{""page"": 3}",DragonOK,............................................................. 81 Donot Team........................................................................................................................................... 82 DragonOK .............................................................................................................................................. 83 DustSquad ..............................................................
Threat Group Cards.pdf,"{""page"": 83}",DragonOK,"Threat Group Cards: A Threat Actor Encyclopedia 83 DragonOK Names DragonOK (FireEye) Country China Motivation Information theft and espionage Description DragonOK is a threat group that has targeted Japanese organizations with phishing emails. Due to overlapping TTPs, inclu"
Threat Group Cards.pdf,"{""page"": 83}",DragonOK,"Threat Group Cards: A Threat Actor Encyclopedia 83 DragonOK Names DragonOK (FireEye) Country China Motivation Information theft and espionage Description DragonOK is a threat group that has targeted Japanese organizations with phishing emails. Due to overlapping TTPs, including similar cus"
Threat Group Cards.pdf,"{""page"": 83}",DragonOK,"Threat Group Cards: A Threat Actor Encyclopedia 83 DragonOK Names DragonOK (FireEye) Country China Motivation Information theft and espionage Description DragonOK is a threat group that has targeted Japanese organizations with phishing emails. Due to overlapping TTPs, including similar custom tools, DragonOK is thought to have a direct or indirect relationship with the threat g"
Threat Group Cards.pdf,"{""page"": 83}",DragonOK,"Country China Motivation Information theft and espionage Description DragonOK is a threat group that has targeted Japanese organizations with phishing emails. Due to overlapping TTPs, including similar custom tools, DragonOK is thought to have a direct or indirect relationship with the threat group Moafee. It is known to use a variety of malware, including Sysget/HelloBridge, PlugX, Poison Ivy, FormerFirstRat, NFlog, and NewCT. Observe"
Threat_Group_Cards_v2.0.pdf,"{""page"": 112}",DragonOK,Threat Group Cards: A Threat Actor Encyclopedia 112 DragonOK Names DragonOK (FireEye) Country China Motivation Information theft and espionage First seen 2015 Description DragonOK is a threat group that has targeted Japanese organizations with phishing emails. Due to overla
Threat_Group_Cards_v2.0.pdf,"{""page"": 112}",DragonOK,"Threat Group Cards: A Threat Actor Encyclopedia 112 DragonOK Names DragonOK (FireEye) Country China Motivation Information theft and espionage First seen 2015 Description DragonOK is a threat group that has targeted Japanese organizations with phishing emails. Due to overlapping TTPs, incl"
Threat_Group_Cards_v2.0.pdf,"{""page"": 112}",DragonOK,"Threat Group Cards: A Threat Actor Encyclopedia 112 DragonOK Names DragonOK (FireEye) Country China Motivation Information theft and espionage First seen 2015 Description DragonOK is a threat group that has targeted Japanese organizations with phishing emails. Due to overlapping TTPs, including similar custom tools, DragonOK is thought to have a direct or indirect relationship with the threat g"
Threat_Group_Cards_v2.0.pdf,"{""page"": 112}",DragonOK,"otivation Information theft and espionage First seen 2015 Description DragonOK is a threat group that has targeted Japanese organizations with phishing emails. Due to overlapping TTPs, including similar custom tools, DragonOK is thought to have a direct or indirect relationship with the threat group Moafee. It is known to use a variety of malware, including Sysget/HelloBridge, PlugX, Poison Ivy, FormerFirstRat, Nflog, and NewCT. Kaspersk"
Threat_Group_Cards_v2.0.pdf,"{""page"": 4}",DragonOK,"A Threat Actor Encyclopedia 4 Donot Team ................................................................................................................................................................... 110 DragonOK ...................................................................................................................................................................... 112 DustSquad, Golden Falcon ......................"
summary/2022/APT group Intelligence Research handbook-2022.pdf,"{""page"": 173}",DragonOK,165 2021 年 APT 组织情报图鉴 6.2.31 DragonOK 组织名 DragonOK 中文名 无 组织地理 大中华地区 别名 Moafee，BRONZE OVERBROOK 历史目标 美国，日本 目标行业 食品，金融，医疗保健，酒店，制造业，电信，政府 发现时间 2017-01-05 最近活跃 2017-12-18 动机 间谍活动 描述 DragonOK 是一个主要针对日本并以钓鱼邮件为主要攻击手法的 APT 组织。其工具集包括 Sysget/ HelloBridge、 PlugX、Poiso
summary/2022/APT group Intelligence Research handbook-2022.pdf,"{""page"": 173}",DragonOK,165 2021 年 APT 组织情报图鉴 6.2.31 DragonOK 组织名 DragonOK 中文名 无 组织地理 大中华地区 别名 Moafee，BRONZE OVERBROOK 历史目标 美国，日本 目标行业 食品，金融，医疗保健，酒店，制造业，电信，政府 发现时间 2017-01-05 最近活跃 2017-12-18 动机 间谍活动 描述 DragonOK 是一个主要针对日本并以钓鱼邮件为主要攻击手法的 APT 组织。其工具集包括 Sysget/ HelloBridge、 PlugX、PoisonIvy、FormerFi
summary/2022/APT group Intelligence Research handbook-2022.pdf,"{""page"": 173}",DragonOK,165 2021 年 APT 组织情报图鉴 6.2.31 DragonOK 组织名 DragonOK 中文名 无 组织地理 大中华地区 别名 Moafee，BRONZE OVERBROOK 历史目标 美国，日本 目标行业 食品，金融，医疗保健，酒店，制造业，电信，政府 发现时间 2017-01-05 最近活跃 2017-12-18 动机 间谍活动 描述 DragonOK 是一个主要针对日本并以钓鱼邮件为主要攻击手法的 APT 组织。其工具集包括 Sysget/ HelloBridge、 PlugX、PoisonIvy、FormerFirstRat、Nflog、和 NewCT。 知识关联 报告数量 威胁指示器数量 网络基础设施数量 恶意样本数量 利用漏洞数量 5 116 19 96 1 最近发布报告 2017-12-18 The relationship between PlugX and the at
summary/2022/APT group Intelligence Research handbook-2022.pdf,"{""page"": 173}",DragonOK,邮件为主要攻击手法的 APT 组织。其工具集包括 Sysget/ HelloBridge、 PlugX、PoisonIvy、FormerFirstRat、Nflog、和 NewCT。 知识关联 报告数量 威胁指示器数量 网络基础设施数量 恶意样本数量 利用漏洞数量 5 116 19 96 1 最近发布报告 2017-12-18 The relationship between PlugX and the attacker group “DragonOK” alienvault 2017-02-15 Deep Dive On The DragonOK Rambo Backdoor alienvault 2017-01-05 DragonOK Updates Toolset and Targets Multiple Geographic Regions alienvault APT 组织画像
summary/2022/APT group Intelligence Research handbook-2022.pdf,"{""page"": 173}",DragonOK,gX、PoisonIvy、FormerFirstRat、Nflog、和 NewCT。 知识关联 报告数量 威胁指示器数量 网络基础设施数量 恶意样本数量 利用漏洞数量 5 116 19 96 1 最近发布报告 2017-12-18 The relationship between PlugX and the attacker group “DragonOK” alienvault 2017-02-15 Deep Dive On The DragonOK Rambo Backdoor alienvault 2017-01-05 DragonOK Updates Toolset and Targets Multiple Geographic Regions alienvault APT 组织画像
summary/2024/threat actor list from cs.csv,"{""row"": 217}",DragonOK,DragonOK Jul 2015 Inactive China 3 1 Targeted State-Sponsored
