original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 23, ""sheet"": ""Others""}",Dungeon Spider,Dungeon Spider Criminal https://go.crowdstrike.com/rs/281-OBQ-266/images/Report2018GlobalThreatReport.pdf https://www.crowdstrike.com/blog/meet-crowdstrikes-adversary-of-the-month-for-october-dungeon-spider/
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 254}",Dungeon Spider,"Threat Group Cards: A Threat Actor Encyclopedia 254 Dungeon Spider Names Dungeon Spider (CrowdStrike) Country [Unknown] Motivation Financial gain Description (CrowdStrike) Dungeon Spider is a criminal group operating the ransomware most commonly known as Locky, which has been acti"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 254}",Dungeon Spider,"Threat Group Cards: A Threat Actor Encyclopedia 254 Dungeon Spider Names Dungeon Spider (CrowdStrike) Country [Unknown] Motivation Financial gain Description (CrowdStrike) Dungeon Spider is a criminal group operating the ransomware most commonly known as Locky, which has been active since February 2016"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 254}",Dungeon Spider,"Threat Group Cards: A Threat Actor Encyclopedia 254 Dungeon Spider Names Dungeon Spider (CrowdStrike) Country [Unknown] Motivation Financial gain Description (CrowdStrike) Dungeon Spider is a criminal group operating the ransomware most commonly known as Locky, which has been active since February 2016 and was last observed in late 2017. Locky is a ransomware tool that encrypts files using a combinat"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 254}",Dungeon Spider,"large number of file extensions and is able to encrypt data on shared network drives. In an attempt to further impact victims and prevent file recovery, Locky deletes all of the Shadow Volume Copies on the machine. Dungeon Spider primarily relies on broad spam campaigns with malicious attachments for distribution. Locky is the community/industry name associated with this actor. Observed Tools used Locky. Information <https://www.crowdstrik"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 7}",Dungeon Spider,............................ 253 Achilles ........................................................................................................................................................................... 253 Dungeon Spider ............................................................................................................................................................ 254 Fxmsp....................................................
Threat Group Cards.pdf,"{""page"": 253}",Dungeon Spider,"Threat Group Cards: A Threat Actor Encyclopedia 253 Dungeon Spider Names Dungeon Spider (CrowdStrike) Country [Unknown] Motivation Financial gain Description (CrowdStrike) Dungeon Spider is a criminal group operating the ransomware most commonly known as Locky, which has been acti"
Threat Group Cards.pdf,"{""page"": 253}",Dungeon Spider,"Threat Group Cards: A Threat Actor Encyclopedia 253 Dungeon Spider Names Dungeon Spider (CrowdStrike) Country [Unknown] Motivation Financial gain Description (CrowdStrike) Dungeon Spider is a criminal group operating the ransomware most commonly known as Locky, which has been active since February 2016"
Threat Group Cards.pdf,"{""page"": 253}",Dungeon Spider,"Threat Group Cards: A Threat Actor Encyclopedia 253 Dungeon Spider Names Dungeon Spider (CrowdStrike) Country [Unknown] Motivation Financial gain Description (CrowdStrike) Dungeon Spider is a criminal group operating the ransomware most commonly known as Locky, which has been active since February 2016 and was last observed in late 2017. Locky is a ransomware tool that encrypts files using a combinat"
Threat Group Cards.pdf,"{""page"": 253}",Dungeon Spider,"large number of file extensions and is able to encrypt data on shared network drives. In an attempt to further impact victims and prevent file recovery, Locky deletes all of the Shadow Volume Copies on the machine. Dungeon Spider primarily relies on broad spam campaigns with malicious attachments for distribution. Locky is the community/industry name associated with this actor. Observed Tools used Locky. Information <https://www.crowdstrik"
Threat Group Cards.pdf,"{""page"": 7}",Dungeon Spider,...................................................... 252 Achilles ................................................................................................................................................. 252 Dungeon Spider .................................................................................................................................. 253 Fxmsp .............................................................................
Threat_Group_Cards_v2.0.pdf,"{""page"": 326}",Dungeon Spider,"k Spider and Group-IB found several relationships with Silence, Contract Crew. Some of the development of TA505 appears to have been done by a subgroup named Indrik Spider and, by extension, Doppel Spider. See also: Dungeon Spider. Observed Sectors: Education, Financial, Healthcare, Hospitality and Retail. Countries: Worldwide. Tools used Amadey, AndroMut, Bart, Clop, CryptoLocker, CryptoMix, Dridex, Dudear, EmailStealer, FlawedAmmyy, FlawedG"
Threat_Group_Cards_v2.0.pdf,"{""page"": 386}",Dungeon Spider,"Threat Group Cards: A Threat Actor Encyclopedia 386 Dungeon Spider Names Dungeon Spider (CrowdStrike) Country Russia Motivation Financial gain First seen 2016 Description (CrowdStrike) Dungeon Spider is a criminal group operating the ransomware most commonly known as Locky, which"
Threat_Group_Cards_v2.0.pdf,"{""page"": 386}",Dungeon Spider,"Threat Group Cards: A Threat Actor Encyclopedia 386 Dungeon Spider Names Dungeon Spider (CrowdStrike) Country Russia Motivation Financial gain First seen 2016 Description (CrowdStrike) Dungeon Spider is a criminal group operating the ransomware most commonly known as Locky, which has been active since"
Threat_Group_Cards_v2.0.pdf,"{""page"": 386}",Dungeon Spider,"Threat Group Cards: A Threat Actor Encyclopedia 386 Dungeon Spider Names Dungeon Spider (CrowdStrike) Country Russia Motivation Financial gain First seen 2016 Description (CrowdStrike) Dungeon Spider is a criminal group operating the ransomware most commonly known as Locky, which has been active since February 2016 and was last observed in late 2017. Locky is a ransomware tool that encrypts files using a combinat"
Threat_Group_Cards_v2.0.pdf,"{""page"": 9}",Dungeon Spider,................................... 383 Doppel Spider ............................................................................................................................................................... 385 Dungeon Spider ............................................................................................................................................................ 386 Fxmsp....................................................
