original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 10, ""sheet"": ""China""}",HydraQ,"Axiom APT17 Tailgater Team Group 72 Dogfish (iDefense), Deputy Dog (iDefense), Winnti Umbrella G0001 Winnti, Gh0st RAT, PoisonIvy, HydraQ, Hikit, ZxShell, Deputy Dog, Derusbi, PlugX, HTRAN, HDRoot, Fscan, Timestomper Shell Crew, Hidden Lynx, Axiom Use ""Skeleton Key"" on DCs http://securelist.com/blog/research/57585/winnti-faq-more-than-just-a-game/ http://"
APT Groups and Operations.xlsx,"{""row"": 20, ""sheet"": ""China""}",Beijing Group,"Beijing Group Sneaky Panda Hydraq, SIG22, Elderwood, Elderwood Gang G0066 Hydraq, Elderwood Project This threat actor targets private sector companies in the defense, shipping, aeronautics, arms, and energy sectors, as well as nonpro"
APT Groups and Operations.xlsx,"{""row"": 20, ""sheet"": ""China""}",Hydraq,"Beijing Group Sneaky Panda Hydraq, SIG22, Elderwood, Elderwood Gang G0066 Hydraq, Elderwood Project This threat actor targets private sector companies in the defense, shipping, aeronautics, arms, and energy sectors, as well as nonprofits and financial f"
APT Groups and Operations.xlsx,"{""row"": 20, ""sheet"": ""China""}",Sneaky Panda,"Beijing Group Sneaky Panda Hydraq, SIG22, Elderwood, Elderwood Gang G0066 Hydraq, Elderwood Project This threat actor targets private sector companies in the defense, shipping, aeronautics, arms, and energy sectors, as well as nonprofits and fina"
APT Groups and Operations.xlsx,"{""row"": 8, ""sheet"": ""China""}",Hydraq,"Hidden Lynx Aurora Panda APT17 Deputy Dog Hidden Lynx Tailgater Team Group 8 Burning Umbrella G0025 BLACKCOFFEE, WEBCnC, Joy RAT, PlugX, Trojan.Naid, Backdoor.Moudoor, Backdoor.Vasport, Backdoor.Boda, Trojan.Hydraq, ZxShell, Sakula, China Chopper, DestroyRAT Government, defense & aerospace, industrial engineering, NGOs http://www.fireeye.com/blog/technical/cyber-exploits/2013/09/operation-deputydog-zero-day-cve-2013-3893-attack-ag"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 34}",HydraQ,"zations with high value intellectual property in Aerospace, Defense, Industrial, Manufacturing and Media. Countries: Japan, South Korea, Taiwan and USA. Tools used Cobalt Strike, DeputyDog, Derusbi, Gh0st RAT, Hikit, HydraQ, PlugX, Poison Ivy, ShadowPad Winnti and ZXShell. Operations performed 2008- 2014 Operation “SMN” Axiom is responsible for directing highly sophisticated cyberespionage against numerous Fortune 500 companies, jou"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 3}",Elderwood,"................................ 84 Dust Storm ....................................................................................................................................................................... 85 Elderwood, Sneaky Panda............................................................................................................................................ 86 El Machete..................................................."
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 3}",Sneaky Panda,"..................... 84 Dust Storm ....................................................................................................................................................................... 85 Elderwood, Sneaky Panda............................................................................................................................................ 86 El Machete................................................................."
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 86}",Elderwood,"Threat Group Cards: A Threat Actor Encyclopedia 86 Elderwood, Sneaky Panda Names Elderwood (Symantec) Elderwood Gang (Symantec) Sneaky Panda (CrowdStrike) SIG22 (NSA) Beijing Group (SecureWorks) Country China Motivation Information theft and espionage Description (Symante"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 86}",Sneaky Panda,"Threat Group Cards: A Threat Actor Encyclopedia 86 Elderwood, Sneaky Panda Names Elderwood (Symantec) Elderwood Gang (Symantec) Sneaky Panda (CrowdStrike) SIG22 (NSA) Beijing Group (SecureWorks) Country China Motivation Information theft and espionage Description (Symantec) In 2009, Go"
