original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 76, ""sheet"": ""Others""}",Decepticons,Evilnum Decepticons Criminal https://unit42.paloaltonetworks.com/cardinal-rat-sins-again-targets-israeli-fin-tech-firms/ https://blog.prevailion.com/2020/05/phantom-in-command-shell5.html https://www.welivesecurity.com/2020/07/09/more-evil
APT Groups and Operations.xlsx,"{""row"": 76, ""sheet"": ""Others""}",Evilnum,Evilnum Decepticons Criminal https://unit42.paloaltonetworks.com/cardinal-rat-sins-again-targets-israeli-fin-tech-firms/ https://blog.prevailion.com/2020/05/phantom-in-command-shell5.html https://www.welivesecurity.com/2020/07/
APT Groups and Operations.xlsx,"{""row"": 76, ""sheet"": ""Others""}",evilnum,ttps://unit42.paloaltonetworks.com/cardinal-rat-sins-again-targets-israeli-fin-tech-firms/ https://blog.prevailion.com/2020/05/phantom-in-command-shell5.html https://www.welivesecurity.com/2020/07/09/more-evil-deep-look-evilnum-toolset/ https://www.brighttalk.com/webcast/15591/424426/new-threats-in-a-changing-world-apt-trends-in-q2-2020 https://www.rewterz.com/rewterz-news/rewterz-threat-alert-evilnum-apt-group-targeting-financial-sector-2 htt
APT Groups and Operations.xlsx,"{""row"": 76, ""sheet"": ""Others""}",evilnum,ecurity.com/2020/07/09/more-evil-deep-look-evilnum-toolset/ https://www.brighttalk.com/webcast/15591/424426/new-threats-in-a-changing-world-apt-trends-in-q2-2020 https://www.rewterz.com/rewterz-news/rewterz-threat-alert-evilnum-apt-group-targeting-financial-sector-2 https://www.zscaler.com/blogs/security-research/return-evilnum-apt-updated-ttps-and-new-targets
APT Groups and Operations.xlsx,"{""row"": 76, ""sheet"": ""Others""}",evilnum,24426/new-threats-in-a-changing-world-apt-trends-in-q2-2020 https://www.rewterz.com/rewterz-news/rewterz-threat-alert-evilnum-apt-group-targeting-financial-sector-2 https://www.zscaler.com/blogs/security-research/return-evilnum-apt-updated-ttps-and-new-targets
International Strategic/Iran/Raport-analize-Teknikat-Taktikat-Procedurat-per-sulmuesit-Iraniane.pdf,"{""page"": 17}",Evilnum,"TLP: AMBER Adresa: Rruga “Papa Gjon Pali II” nr 3 Tiranë; Tel./Fax: 04 2221 039 17 Grupi Evilnum Evilnum është i njohur dhe me emrat Jointworm, Knockout Spider, TA4563 dhe DeathStalker. Ai synon bursën dhe forumet e kriptomonedhave. Në fushatat e fundit, grupi i aktorëve Evilnum ka synuar sektorin e Financës"
International Strategic/Iran/Raport-analize-Teknikat-Taktikat-Procedurat-per-sulmuesit-Iraniane.pdf,"{""page"": 17}",Evilnum,"TLP: AMBER Adresa: Rruga “Papa Gjon Pali II” nr 3 Tiranë; Tel./Fax: 04 2221 039 17 Grupi Evilnum Evilnum është i njohur dhe me emrat Jointworm, Knockout Spider, TA4563 dhe DeathStalker. Ai synon bursën dhe forumet e kriptomonedhave. Në fushatat e fundit, grupi i aktorëve Evilnum ka synuar sektorin e Financës duke përdoru"
International Strategic/Iran/Raport-analize-Teknikat-Taktikat-Procedurat-per-sulmuesit-Iraniane.pdf,"{""page"": 17}",Evilnum,"./Fax: 04 2221 039 17 Grupi Evilnum Evilnum është i njohur dhe me emrat Jointworm, Knockout Spider, TA4563 dhe DeathStalker. Ai synon bursën dhe forumet e kriptomonedhave. Në fushatat e fundit, grupi i aktorëve Evilnum ka synuar sektorin e Financës duke përdorur malware-in Evilnum. Një nga taktikat e backdoor të Evilnum, përdor një varg të ndryshëm skedarësh ISO, Microsoft Word, dhe Shortcut ( .LNK). Po ashtu, malware -i përdoret pë"
International Strategic/Iran/Raport-analize-Teknikat-Taktikat-Procedurat-per-sulmuesit-Iraniane.pdf,"{""page"": 17}",Evilnum,"ur dhe me emrat Jointworm, Knockout Spider, TA4563 dhe DeathStalker. Ai synon bursën dhe forumet e kriptomonedhave. Në fushatat e fundit, grupi i aktorëve Evilnum ka synuar sektorin e Financës duke përdorur malware-in Evilnum. Një nga taktikat e backdoor të Evilnum, përdor një varg të ndryshëm skedarësh ISO, Microsoft Word, dhe Shortcut ( .LNK). Po ashtu, malware -i përdoret për spiunazh, vjedhje të të dhënave dhe vendosjen e skedarëve të"
International Strategic/Iran/Raport-analize-Teknikat-Taktikat-Procedurat-per-sulmuesit-Iraniane.pdf,"{""page"": 2}",Evilnum,"..................................................................................... 12 Grupi BackDoor Diplomacy (BackDip)..................................................................................... 13 Grupi Evilnum ............................................................................................................................. 17 Grupi Ke3Chang,Vixen Panda, Gref, Playful, Dragon ......................................."
