original_source_path,original_source_location,matched_name,context_excerpt
0day _In the Wild_.xlsx,"{""row"": 66, ""sheet"": ""All""}",FIN8,yHandler 2016-03-08 00:00:00 2016-04-12 00:00:00 https://docs.microsoft.com/en-us/security-updates/securitybulletins/2016/ms16-039 https://www.fireeye.com/blog/threat-research/2016/05/windows-zero-day-payment-cards.html FIN8 https://www.fireeye.com/blog/threat-research/2016/05/windows-zero-day-payment-cards.html
0day _In the Wild_.xlsx,"{""row"": 8, ""sheet"": ""2016""}",FIN8,yHandler 2016-03-08 00:00:00 2016-04-12 00:00:00 https://docs.microsoft.com/en-us/security-updates/securitybulletins/2016/ms16-039 https://www.fireeye.com/blog/threat-research/2016/05/windows-zero-day-payment-cards.html FIN8 https://www.fireeye.com/blog/threat-research/2016/05/windows-zero-day-payment-cards.html
APT Groups and Operations.xlsx,"{""row"": 9, ""sheet"": ""Russia""}",FIN8,"FIN8 PowerSniff, PUNCHBUGGY, PUNCHTRACK, ShellTea, BADHATCH, PoSlurp Hotel-Entertainment Industry, POS malware attack https://unit42.paloaltonetworks.com/powersniff-malware-used-in-macro-based-attacks/ https://www.fireeye.co"
APT Groups and Operations.xlsx,"{""row"": 9, ""sheet"": ""Russia""}",fin8,tps://www.root9b.com/sites/default/files/whitepapers/PoS%20Malware%20ShellTea%20PoSlurp_YARA.pdf https://www.fireeye.com/blog/threat-research/2017/06/obfuscation-in-the-wild.html http://blog.morphisec.com/security-alert-fin8-is-back https://atr-blog.gigamon.com/2019/07/23/abadbabe-8badf00d-discovering-badhatch-and-a-detailed-look-at-fin8s-tooling/ https://www.bitdefender.com/files/News/CaseStudies/study/394/Bitdefender-PR-Whitepaper-BADHATC
APT Groups and Operations.xlsx,"{""row"": 9, ""sheet"": ""Russia""}",fin8,adhatch-and-a-detailed-look-at-fin8s-tooling/ https://www.bitdefender.com/files/News/CaseStudies/study/394/Bitdefender-PR-Whitepaper-BADHATCH-creat5237-en-EN.pdf https://businessinsights.bitdefender.com/deep-dive-into-a-fin8-attack-a-forensic-investigation
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 102}",FIN8,"Threat Group Cards: A Threat Actor Encyclopedia 102 FIN8 Names FIN8 (FireEye) Country [Unknown] Motivation Financial gain Description (FireEye) We attribute the use of this EoP to a financially motivated threat actor. In the past year, not only have we observed this grou"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 102}",FIN8,"Threat Group Cards: A Threat Actor Encyclopedia 102 FIN8 Names FIN8 (FireEye) Country [Unknown] Motivation Financial gain Description (FireEye) We attribute the use of this EoP to a financially motivated threat actor. In the past year, not only have we observed this group using simi"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 102}",FIN8,"cros that, when enabled, downloaded and executed a malicious downloader that we refer to as PUNCHBUGGY. <https://www.fireeye.com/blog/threat-research/2016/05/windows-zero- day-payment-cards.html> 2018 In early 2017, FIN8 began using environment variables paired with PowerShell’s ability to receive commands via stdin (standard input) to evade detection based on process command line arguments. In the February 2017 phishing document “CO"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 102}",fin8,mber of machines within the network of a customer in the hotel-entertainment industry. It is believed that the malware was deployed as a result of several phishing attempts. <http://blog.morphisec.com/security-alert-fin8-is-back> MITRE ATT&CK <https://attack.mitre.org/groups/G0061/>
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 4}",FIN8,Threat Group Cards: A Threat Actor Encyclopedia 4 FIN8 ................................................................................................................................................................................ 102 FIN10 ...............................
Threat Group Cards.pdf,"{""page"": 102}",FIN8,"Threat Group Cards: A Threat Actor Encyclopedia 102 FIN8 Names FIN8 (FireEye) Country [Unknown] Motivation Financial gain Description (FireEye) We attribute the use of this EoP to a financially motivated threat actor. In the past year, not only have we observed this grou"
Threat Group Cards.pdf,"{""page"": 102}",FIN8,"Threat Group Cards: A Threat Actor Encyclopedia 102 FIN8 Names FIN8 (FireEye) Country [Unknown] Motivation Financial gain Description (FireEye) We attribute the use of this EoP to a financially motivated threat actor. In the past year, not only have we observed this group using simi"
Threat Group Cards.pdf,"{""page"": 102}",FIN8,"cros that, when enabled, downloaded and executed a malicious downloader that we refer to as PUNCHBUGGY. <https://www.fireeye.com/blog/threat-research/2016/05/windows-zero- day-payment-cards.html> 2018 In early 2017, FIN8 began using environment variables paired with PowerShell’s ability to receive commands via stdin (standard input) to evade detection based on process command line arguments. In the February 2017 phishing document “CO"
Threat Group Cards.pdf,"{""page"": 102}",fin8,mber of machines within the network of a customer in the hotel-entertainment industry. It is believed that the malware was deployed as a result of several phishing attempts. <http://blog.morphisec.com/security-alert-fin8-is-back> MITRE ATT&CK <https://attack.mitre.org/groups/G0061/>
Threat Group Cards.pdf,"{""page"": 4}",FIN8,..................................................... 98 FIN7 ........................................................................................................................................................ 99 FIN8 ...................................................................................................................................................... 102 FIN10 .........................................................
Threat_Group_Cards_v2.0.pdf,"{""page"": 134}",FIN8,"Threat Group Cards: A Threat Actor Encyclopedia 134 FIN8 Names FIN8 (FireEye) ATK 113 (Thales) Country [Unknown] Motivation Financial crime First seen 2016 Description (FireEye) We attribute the use of this EoP to a financially motivated threat actor. In the past year,"
Threat_Group_Cards_v2.0.pdf,"{""page"": 134}",FIN8,"Threat Group Cards: A Threat Actor Encyclopedia 134 FIN8 Names FIN8 (FireEye) ATK 113 (Thales) Country [Unknown] Motivation Financial crime First seen 2016 Description (FireEye) We attribute the use of this EoP to a financially motivated threat actor. In the past year, not only ha"
Threat_Group_Cards_v2.0.pdf,"{""page"": 134}",FIN8,"cros that, when enabled, downloaded and executed a malicious downloader that we refer to as PUNCHBUGGY. <https://www.fireeye.com/blog/threat-research/2016/05/windows-zero- day-payment-cards.html> 2017 In early 2017, FIN8 began using environment variables paired with PowerShell’s ability to receive commands via stdin (standard input) to evade detection based on process command line arguments. In the February 2017 phishing document “CO"
Threat_Group_Cards_v2.0.pdf,"{""page"": 134}",fin8,mber of machines within the network of a customer in the hotel-entertainment industry. It is believed that the malware was deployed as a result of several phishing attempts. <http://blog.morphisec.com/security-alert-fin8-is-back>
Threat_Group_Cards_v2.0.pdf,"{""page"": 4}",FIN8,........................... 128 FIN7 ................................................................................................................................................................................ 130 FIN8 ................................................................................................................................................................................ 134 FIN10 ...............................
summary/2020/PWC-cyber-threats-2019-retrospect.pdf,"{""page"": 18}",FIN8,"art Group 6 is likely linked to White Giant (a.k.a. FIN6), also responsible for an attack on an ecommerce platform provider that put over 3,000 online retailers at risk. 48 FINs can only get better? FIN6, FIN7, and FIN8 are threat actors that specialise in targeting the retail and hospitality sectors, with the primary objective of harvesting payment card information from compromised networks. Their attacks involve either the depl"
summary/2020/PWC-cyber-threats-2019-retrospect.pdf,"{""page"": 18}",FIN8,"g the victim’s payment processing systems. While all the threat actors share similar TTPs (spear-phishing attacks, living off the land, and penetration testing tools) they all have unique characteristics: FIN6 and FIN8 have their own bespoke POS malware (FrameworkPOS and ShellTea respectively) while FIN7 has developed and deployed a new range of tools in 2019. In most of their attacks, the threat actors attempt to maintain persis"
summary/2022/APT group Intelligence Research handbook-2022.pdf,"{""page"": 23}",FIN8,APT 组织可能会使用相同的技术，甚至会存在一些技术被多个组织所使用，因此 MITRE 公司通过 加入技术的不同使用方式进行补充说明，达到建立特征区分不同组织的效果，技术相同，不 同 APT 组织的具体的使用方式不同。以“Access Token Manipulation: Token Impersonation/ Theft”（令牌操纵 : 令牌假冒 / 窃取）为例，APT28 组织使用了 CVE-2015-1701 漏洞进行实 现，FIN8 则是使用恶意框架进行实现。
