original_source_path,original_source_location,matched_name,context_excerpt
0day _In the Wild_.xlsx,"{""row"": 13, ""sheet"": ""All""}",FruityArmor,"manager 2018-10-29 00:00:00 2018-12-11 00:00:00 https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2018-8611 https://securelist.com/zero-day-in-windows-kernel-transaction-manager-cve-2018-8611/89253/ FruityArmor/Stealth Falcon, and Sandcat https://securelist.com/zero-day-in-windows-kernel-transaction-manager-cve-2018-8611/89253/"
0day _In the Wild_.xlsx,"{""row"": 15, ""sheet"": ""All""}",FruityArmor,"xxxMoveWindow 2018-10-17 00:00:00 2018-11-13 00:00:00 https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2018-8589 https://securelist.com/a-new-exploit-for-zero-day-vulnerability-cve-2018-8589/88845/ FruityArmor/Stealth Falcon, and Sandcat https://securelist.com/zero-day-in-windows-kernel-transaction-manager-cve-2018-8611/89253/"
0day _In the Wild_.xlsx,"{""row"": 16, ""sheet"": ""All""}",FruityArmor,n win32kfull!xxxDestroyWindow 2018-08-17 00:00:00 2018-10-09 00:00:00 https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2018-8453 https://securelist.com/cve-2018-8453-used-in-targeted-attacks/88151/ FruityArmor/Stealth Falcon https://securelist.com/cve-2018-8453-used-in-targeted-attacks/88151/
0day _In the Wild_.xlsx,"{""row"": 18, ""sheet"": ""All""}",FruityArmor,-5002 Adobe Flash Memory Corruption Out-of-bounds read/write in AVM li8 opcode ??? 2018-06-07 00:00:00 https://helpx.adobe.com/security/products/flash-player/apsb18-19.html https://s.tencent.com/research/report/489.html FruityArmor/Stealth Falcon https://twitter.com/craiu/status/1038046509793722368
0day _In the Wild_.xlsx,"{""row"": 7, ""sheet"": ""All""}",FruityArmor,"NtDCompositionDestroyConnection 2019-02-22 00:00:00 2019-03-12 00:00:00 https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2019-0797 https://securelist.com/cve-2019-0797-zero-day-vulnerability/89885/ FruityArmor/Stealth Falcon, and Sandcat https://securelist.com/cve-2019-0797-zero-day-vulnerability/89885/"
APT Groups and Operations.xlsx,"{""row"": 19, ""sheet"": ""Unknown""}",FruityArmor,"FruityArmor MS16-120 / CVE-2016-3393 0day exploits, 0day CVE-2018-8453, PowerShell backdoor, CVE-2018-8611 Middle Eastern region https://securelist.com/blog/research/76396/windows-zero-day-exploit-used-in-targeted-attacks-by-fruity"
APT Groups and Operations.xlsx,"{""row"": 19, ""sheet"": ""Unknown""}",fruityarmor,"yArmor MS16-120 / CVE-2016-3393 0day exploits, 0day CVE-2018-8453, PowerShell backdoor, CVE-2018-8611 Middle Eastern region https://securelist.com/blog/research/76396/windows-zero-day-exploit-used-in-targeted-attacks-by-fruityarmor-apt/ https://securelist.com/cve-2018-8453-used-in-targeted-attacks/88151/ https://securelist.com/zero-day-in-windows-kernel-transaction-manager-cve-2018-8611/89253/"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 218}",FruityArmor,"Threat Group Cards: A Threat Actor Encyclopedia 218 Stealth Falcon, FruityArmor Names Stealth Falcon (Citizen Lab) FruityArmor (Kaspersky) Country UAE Motivation Information theft and espionage Description (Citizen Lab) This report describes a campaign of targeted spyware attacks carried out"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 218}",FruityArmor,"Threat Group Cards: A Threat Actor Encyclopedia 218 Stealth Falcon, FruityArmor Names Stealth Falcon (Citizen Lab) FruityArmor (Kaspersky) Country UAE Motivation Information theft and espionage Description (Citizen Lab) This report describes a campaign of targeted spyware attacks carried out by a sophisticated operator, which we call Stealt"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 218}",FruityArmor,"Sectors: Civil society groups and Emirati journalists, activists and dissidents. Countries: UAE and UK. Tools used 0-day exploits. Operations performed Oct 2016 Windows zero-day exploit used in targeted attacks by FruityArmor APT <https://securelist.com/windows-zero-day-exploit-used-in-targeted- attacks-by-fruityarmor-apt/76396/> Oct 2018 Zero-day exploit (CVE-2018-8453) used in targeted attacks <https://securelist.com/cve-2018-8453-used"
