original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 93, ""sheet"": ""China""}",GALLIUM,"GALLIUM Soft Cell, UNSC 2814 BlackMould, China Chopper, PoisonIvy, QuarkBandit, Htran, NBTScan, PsExec, Winrar, Netcat Telecom https://www.microsoft.com/security/blog/2019/12/12/gallium-targeting-global-telecom/ https://www.cyb"
APT Groups and Operations.xlsx,"{""row"": 93, ""sheet"": ""China""}",Soft Cell,"GALLIUM Soft Cell, UNSC 2814 BlackMould, China Chopper, PoisonIvy, QuarkBandit, Htran, NBTScan, PsExec, Winrar, Netcat Telecom https://www.microsoft.com/security/blog/2019/12/12/gallium-targeting-global-telecom/ https://www.cybereason.co"
APT Groups and Operations.xlsx,"{""row"": 93, ""sheet"": ""China""}",UNSC 2814,"GALLIUM Soft Cell, UNSC 2814 BlackMould, China Chopper, PoisonIvy, QuarkBandit, Htran, NBTScan, PsExec, Winrar, Netcat Telecom https://www.microsoft.com/security/blog/2019/12/12/gallium-targeting-global-telecom/ https://www.cybereason.com/blog/oper"
APT Groups and Operations.xlsx,"{""row"": 93, ""sheet"": ""China""}",gallium,"GALLIUM Soft Cell, UNSC 2814 BlackMould, China Chopper, PoisonIvy, QuarkBandit, Htran, NBTScan, PsExec, Winrar, Netcat Telecom https://www.microsoft.com/security/blog/2019/12/12/gallium-targeting-global-telecom/ https://www.cybereason.com/blog/operation-soft-cell-a-worldwide-campaign-against-telecommunications-providers https://www.cybereason.com/blog/deadringer-exposing-chinese-threat-actors-targeting"
APT Groups and Operations.xlsx,"{""row"": 93, ""sheet"": ""China""}",gallium,operation-soft-cell-a-worldwide-campaign-against-telecommunications-providers https://www.cybereason.com/blog/deadringer-exposing-chinese-threat-actors-targeting-major-telcos https://unit42.paloaltonetworks.com/pingpull-gallium/
Threat_Group_Cards_v2.0.pdf,"{""page"": 140}",GALLIUM,"up Cards: A Threat Actor Encyclopedia 140 Gallium Names Gallium (Microsoft) Country China Motivation Information theft and espionage First seen 2018 Description (Microsoft) To compromise targeted networks, GALLIUM target unpatched internet- facing services using publicly available exploits and have been known to target vulnerabilities in WildFly/Jboss. Once persistence is established in a network, GALLIUM uses common techniques"
Threat_Group_Cards_v2.0.pdf,"{""page"": 140}",GALLIUM,"ise targeted networks, GALLIUM target unpatched internet- facing services using publicly available exploits and have been known to target vulnerabilities in WildFly/Jboss. Once persistence is established in a network, GALLIUM uses common techniques and tools like Mimikatz to obtain credentials that allows for lateral movement across the target network. Within compromised networks, GALLIUM makes no attempt to obfuscate their intent and are"
Threat_Group_Cards_v2.0.pdf,"{""page"": 140}",Gallium,"Threat Group Cards: A Threat Actor Encyclopedia 140 Gallium Names Gallium (Microsoft) Country China Motivation Information theft and espionage First seen 2018 Description (Microsoft) To compromise targeted networks, GALLIUM target unpatched internet- facing services using p"
Threat_Group_Cards_v2.0.pdf,"{""page"": 140}",Gallium,"Threat Group Cards: A Threat Actor Encyclopedia 140 Gallium Names Gallium (Microsoft) Country China Motivation Information theft and espionage First seen 2018 Description (Microsoft) To compromise targeted networks, GALLIUM target unpatched internet- facing services using publicly availab"
Threat_Group_Cards_v2.0.pdf,"{""page"": 4}",Gallium,.................................... 138 FunnyDream ................................................................................................................................................................. 139 Gallium ........................................................................................................................................................................... 140 Gallmaker ................................
microsoft-threat-actor-list.xlsx,"{""row"": 19, ""sheet"": ""alphabetical""}",GALLIUM,GALLIUM Granite Typhoon China DEV-0504 Velvet Tempest Financially motivated
microsoft-threat-actor-list.xlsx,"{""row"": 19, ""sheet"": ""alphabetical""}",Granite Typhoon,GALLIUM Granite Typhoon China DEV-0504 Velvet Tempest Financially motivated
summary/2022/APT group Intelligence Research handbook-2022.pdf,"{""page"": 187}",GALLIUM,179 2021 年 APT 组织情报图鉴 6.2.45 GALLIUM 组织名 GALLIUM 中文名 无 组织地理 未知 别名 无 历史目标 东南亚，欧洲，非洲 目标行业 电信 发现时间 2019-12-13 最近活跃 2019-12-13 动机 数据窃取 描述 GALLIUM 主要目标是东南亚，欧洲和非洲的电信提供商。为了破坏目标网络，GALLIUM 使用公开可 用的漏洞来针对未打补丁的 Web 网站。 知识关联 报告数量 威胁指示器数量 网络基础设施数量 恶意样本数量 利用漏洞数量 2 87 24
