original_source_path,original_source_location,matched_name,context_excerpt
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 105}",Gallmaker,Threat Group Cards: A Threat Actor Encyclopedia 105 Gallmaker Names Gallmaker (Symantec) Country [Unknown] Motivation Information theft and espionage Description (Symantec) Symantec researchers have uncovered a previously unknown attack group that is targeting government and
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 105}",Gallmaker,"Threat Group Cards: A Threat Actor Encyclopedia 105 Gallmaker Names Gallmaker (Symantec) Country [Unknown] Motivation Information theft and espionage Description (Symantec) Symantec researchers have uncovered a previously unknown attack group that is targeting government and military targets,"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 105}",Gallmaker,"ustom malware and uses living off the land (LotL) tactics and publicly available hack tools to carry out activities that bear all the hallmarks of a cyber espionage campaign. The group, which we have given the name Gallmaker, has been operating since at least December 2017, with its most recent activity observed in June 2018. Observed Sectors: Defense, Embassies and Government. Countries: Eastern Europe and Middle East. Tools used In"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 105}",gallmaker,"ost recent activity observed in June 2018. Observed Sectors: Defense, Embassies and Government. Countries: Eastern Europe and Middle East. Tools used Information <https://www.symantec.com/blogs/threat-intelligence/gallmaker-attack-group> MITRE ATT&CK <https://attack.mitre.org/groups/G0084/>"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 4}",Gallmaker,"................................................ 103 Flying Kitten, Ajax Security Team .............................................................................................................................. 104 Gallmaker ...................................................................................................................................................................... 105 Gamaredon Group ..............................."
Threat Group Cards.pdf,"{""page"": 105}",Gallmaker,Threat Group Cards: A Threat Actor Encyclopedia 105 Gallmaker Names Gallmaker (Symantec) Country [Unknown] Motivation Information theft and espionage Description (Symantec) Symantec researchers have uncovered a previously unknown attack group that is targeting government and
Threat Group Cards.pdf,"{""page"": 105}",Gallmaker,"Threat Group Cards: A Threat Actor Encyclopedia 105 Gallmaker Names Gallmaker (Symantec) Country [Unknown] Motivation Information theft and espionage Description (Symantec) Symantec researchers have uncovered a previously unknown attack group that is targeting government and military targets,"
Threat Group Cards.pdf,"{""page"": 105}",Gallmaker,"ustom malware and uses living off the land (LotL) tactics and publicly available hack tools to carry out activities that bear all the hallmarks of a cyber espionage campaign. The group, which we have given the name Gallmaker, has been operating since at least December 2017, with its most recent activity observed in June 2018. Observed Sectors: Defense, Embassies and Government. Countries: Eastern Europe and Middle East. Tools used Inf"
Threat Group Cards.pdf,"{""page"": 105}",gallmaker,"most recent activity observed in June 2018. Observed Sectors: Defense, Embassies and Government. Countries: Eastern Europe and Middle East. Tools used Information <https://www.symantec.com/blogs/threat-intelligence/gallmaker-attack-group> MITRE ATT&CK <https://attack.mitre.org/groups/G0084/>"
Threat Group Cards.pdf,"{""page"": 4}",Gallmaker,".......................................................................... 103 Flying Kitten, Ajax Security Team .................................................................................................... 104 Gallmaker ............................................................................................................................................ 105 Gamaredon Group ........................................................."
Threat_Group_Cards_v2.0.pdf,"{""page"": 141}",Gallmaker,Threat Group Cards: A Threat Actor Encyclopedia 141 Gallmaker Names Gallmaker (Symantec) Country [Unknown] Motivation Information theft and espionage First seen 2017 Description (Symantec) Symantec researchers have uncovered a previously unknown attack group that is targetin
Threat_Group_Cards_v2.0.pdf,"{""page"": 141}",Gallmaker,Threat Group Cards: A Threat Actor Encyclopedia 141 Gallmaker Names Gallmaker (Symantec) Country [Unknown] Motivation Information theft and espionage First seen 2017 Description (Symantec) Symantec researchers have uncovered a previously unknown attack group that is targeting government and
Threat_Group_Cards_v2.0.pdf,"{""page"": 141}",Gallmaker,"custom malware and uses living off the land (LotL) tactics and publicly available hack tools to carry out activities that bear all the hallmarks of a cyber espionage campaign. The group, which we have given the name Gallmaker, has been operating since at least December 2017, with its most recent activity observed in June 2018. Observed Sectors: Defense, Embassies and Government. Countries: Eastern Europe and Middle East. Tools used Livi"
Threat_Group_Cards_v2.0.pdf,"{""page"": 141}",gallmaker,"observed in June 2018. Observed Sectors: Defense, Embassies and Government. Countries: Eastern Europe and Middle East. Tools used Living off the Land. Information <https://www.symantec.com/blogs/threat-intelligence/gallmaker-attack-group> MITRE ATT&CK <https://attack.mitre.org/groups/G0084/>"
Threat_Group_Cards_v2.0.pdf,"{""page"": 4}",Gallmaker,............................. 139 Gallium ........................................................................................................................................................................... 140 Gallmaker ...................................................................................................................................................................... 141 Gamaredon Group ...............................
