original_source_path,original_source_location,matched_name,context_excerpt
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 107}",GCMAN,"Threat Group Cards: A Threat Actor Encyclopedia 107 GCMAN Names GCMAN (Kaspersky) Country [Unknown] Motivation Financial gain Description (Kaspersky) A second group, which we call GCMAN because the malware is based on code compiled on the GCC compiler, emerged recently us"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 107}",GCMAN,"Threat Group Cards: A Threat Actor Encyclopedia 107 GCMAN Names GCMAN (Kaspersky) Country [Unknown] Motivation Financial gain Description (Kaspersky) A second group, which we call GCMAN because the malware is based on code compiled on the GCC compiler, emerged recently using similar t"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 107}",GCMAN,"Threat Group Cards: A Threat Actor Encyclopedia 107 GCMAN Names GCMAN (Kaspersky) Country [Unknown] Motivation Financial gain Description (Kaspersky) A second group, which we call GCMAN because the malware is based on code compiled on the GCC compiler, emerged recently using similar techniques to the Corkow, Metel Group to infect banking institutions and attempt to transfer money to e-currency servi"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 107}",GCMAN,"stitution targets with e-mails carrying a malicious RAR archive to. Upon opening the RAR archive, an executable is started instead of a Microsoft Word document, resulting in infection. Once inside the network, the GCMAN group uses legitimate and penetration testing tools such as Putty, VNC, and Meterpreter for lateral movement. Our investigation revealed an attack where the group then planted a cron script into bank’s server, sendin"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 4}",GCMAN,"......................................... 105 Gamaredon Group ....................................................................................................................................................... 106 GCMAN .......................................................................................................................................................................... 107 GhostNet, Snooping Dragon ................."
Threat Group Cards.pdf,"{""page"": 107}",GCMAN,"Threat Group Cards: A Threat Actor Encyclopedia 107 GCMAN Names GCMAN (Kaspersky) Country [Unknown] Motivation Financial gain Description (Kaspersky) A second group, which we call GCMAN because the malware is based on code compiled on the GCC compiler, emerged recently us"
Threat Group Cards.pdf,"{""page"": 107}",GCMAN,"Threat Group Cards: A Threat Actor Encyclopedia 107 GCMAN Names GCMAN (Kaspersky) Country [Unknown] Motivation Financial gain Description (Kaspersky) A second group, which we call GCMAN because the malware is based on code compiled on the GCC compiler, emerged recently using similar t"
Threat Group Cards.pdf,"{""page"": 107}",GCMAN,"Threat Group Cards: A Threat Actor Encyclopedia 107 GCMAN Names GCMAN (Kaspersky) Country [Unknown] Motivation Financial gain Description (Kaspersky) A second group, which we call GCMAN because the malware is based on code compiled on the GCC compiler, emerged recently using similar techniques to the Corkow, Metel Group to infect banking institutions and attempt to transfer money to e-currency servi"
Threat Group Cards.pdf,"{""page"": 107}",GCMAN,"stitution targets with e-mails carrying a malicious RAR archive to. Upon opening the RAR archive, an executable is started instead of a Microsoft Word document, resulting in infection. Once inside the network, the GCMAN group uses legitimate and penetration testing tools such as Putty, VNC, and Meterpreter for lateral movement. Our investigation revealed an attack where the group then planted a cron script into bank’s server, sendi"
Threat Group Cards.pdf,"{""page"": 4}",GCMAN,"................................................................... 105 Gamaredon Group ............................................................................................................................. 106 GCMAN ................................................................................................................................................ 107 GhostNet, Snooping Dragon ..........................................."
Threat_Group_Cards_v2.0.pdf,"{""page"": 146}",GCMAN,"Threat Group Cards: A Threat Actor Encyclopedia 146 GCMAN Names GCMAN (Kaspersky) Country Russia Motivation Financial crime First seen 2016 Description (Kaspersky) A second group, which we call GCMAN because the malware is based on code compiled on the GCC compiler, emer"
Threat_Group_Cards_v2.0.pdf,"{""page"": 146}",GCMAN,"Threat Group Cards: A Threat Actor Encyclopedia 146 GCMAN Names GCMAN (Kaspersky) Country Russia Motivation Financial crime First seen 2016 Description (Kaspersky) A second group, which we call GCMAN because the malware is based on code compiled on the GCC compiler, emerged recently"
Threat_Group_Cards_v2.0.pdf,"{""page"": 146}",GCMAN,"Threat Group Cards: A Threat Actor Encyclopedia 146 GCMAN Names GCMAN (Kaspersky) Country Russia Motivation Financial crime First seen 2016 Description (Kaspersky) A second group, which we call GCMAN because the malware is based on code compiled on the GCC compiler, emerged recently using similar techniques to the Corkow, Metel Group to infect banking institutions and attempt to transfer money to e-currency servi"
Threat_Group_Cards_v2.0.pdf,"{""page"": 146}",GCMAN,"institution targets with e-mails carrying a malicious RAR archive to. Upon opening the RAR archive, an executable is started instead of a Microsoft Word document, resulting in infection. Once inside the network, the GCMAN group uses legitimate and penetration testing tools such as Putty, VNC, and Meterpreter for lateral movement. Our investigation revealed an attack where the group then planted a cron script into bank’s server, sendin"
Threat_Group_Cards_v2.0.pdf,"{""page"": 4}",GCMAN,"............................... 144 GCHQ............................................................................................................................................................................. 145 GCMAN .......................................................................................................................................................................... 146 GhostNet, Snooping Dragon ................."
