original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 18, ""sheet"": ""Unknown""}",Ghoul,"Ghoul Operation Ghoul mainly industrial, engineering and manufacturing organizations in more than 30 countries Financial interests https://securelist.com/blog/research/75718/operation-ghoul-targeted-attacks-on-industrial-and-"
APT Groups and Operations.xlsx,"{""row"": 18, ""sheet"": ""Unknown""}",Ghoul,"Ghoul Operation Ghoul mainly industrial, engineering and manufacturing organizations in more than 30 countries Financial interests https://securelist.com/blog/research/75718/operation-ghoul-targeted-attacks-on-industrial-and-engineering-orga"
APT Groups and Operations.xlsx,"{""row"": 18, ""sheet"": ""Unknown""}",ghoul,"Ghoul Operation Ghoul mainly industrial, engineering and manufacturing organizations in more than 30 countries Financial interests https://securelist.com/blog/research/75718/operation-ghoul-targeted-attacks-on-industrial-and-engineering-organizations/"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 175}",Ghoul,Threat Group Cards: A Threat Actor Encyclopedia 175 Operation Ghoul Names Operation Ghoul (Kaspersky) Country [Unknown] Motivation Information theft and espionage Description (Kaspersky) Kaspersky Lab has observed new waves of attacks that started on the 8th and the 27th of June 20
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 175}",Ghoul,Threat Group Cards: A Threat Actor Encyclopedia 175 Operation Ghoul Names Operation Ghoul (Kaspersky) Country [Unknown] Motivation Information theft and espionage Description (Kaspersky) Kaspersky Lab has observed new waves of attacks that started on the 8th and the 27th of June 2016. These have been hig
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 175}",ghoul,", Gilbraltar, India, Iran, Iraq, Italy, Pakistan, Portugal, Romania, Qatar, Saudi Arabia, Spain, Sweden, Switzerland, Taiwan, Turkey, UAE, UK and USA. Tool used ShopBot. Information <https://securelist.com/operation-ghoul-targeted-attacks-on-industrial-and- engineering-organizations/75718/>"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 5}",Ghoul,.............................. 173 Operation BugDrop ...................................................................................................................................................... 174 Operation Ghoul ........................................................................................................................................................... 175 Operation Groundbait .....................................
Anonymous/RussiaUkrainewar/Report_Notes_of_Cyber_inspector_.pdf,"{""page"": 22}",Ghoul,н активности. Таймлайн появления хакерских группировок Рис. 1 2 0 14 2 0 15 2 0 16 2 0 17 2 0 18 2 0 19 2 0 2 0 2 0 2 1 2 0 2 2 2 0 2 3 2 0 2 4 2 0 2 52 0 132 0 122 0 11 B l a c k J ac k B O T ea m C . A .S . C r ypt Ghoul s C y be r p a /r_t isan s He ad Mar e T WELVE A ngr y Lik ho A wak e n Lik ho C l oud A t l as G O FFEE Libr a r ian Lik ho My t hi c Lik ho xdS p y APT /uni0425/uni0430/uni043A/uni0442/uni0438/uni0432/uni0438/uni0
Threat Group Cards.pdf,"{""page"": 175}",Ghoul,Threat Group Cards: A Threat Actor Encyclopedia 175 Operation Ghoul Names Operation Ghoul (Kaspersky) Country [Unknown] Motivation Information theft and espionage Description (Kaspersky) Kaspersky Lab has observed new waves of attacks that started on the 8th and the 27th of June 20
Threat Group Cards.pdf,"{""page"": 175}",Ghoul,Threat Group Cards: A Threat Actor Encyclopedia 175 Operation Ghoul Names Operation Ghoul (Kaspersky) Country [Unknown] Motivation Information theft and espionage Description (Kaspersky) Kaspersky Lab has observed new waves of attacks that started on the 8th and the 27th of June 2016. These have been hig
Threat Group Cards.pdf,"{""page"": 175}",ghoul,", Gilbraltar, India, Iran, Iraq, Italy, Pakistan, Portugal, Romania, Qatar, Saudi Arabia, Spain, Sweden, Switzerland, Taiwan, Turkey, UAE, UK and USA. Tool used ShopBot. Information <https://securelist.com/operation-ghoul-targeted-attacks-on-industrial-and- engineering-organizations/75718/>"
Threat Group Cards.pdf,"{""page"": 5}",Ghoul,........................................................ 173 Operation BugDrop ............................................................................................................................ 174 Operation Ghoul ................................................................................................................................. 175 Operation Groundbait ...............................................................
Threat_Group_Cards_v2.0.pdf,"{""page"": 233}",Ghoul,Threat Group Cards: A Threat Actor Encyclopedia 233 Operation Ghoul Names Operation Ghoul (Kaspersky) Country [Unknown] Motivation Information theft and espionage First seen 2016 Description (Kaspersky) Kaspersky Lab has observed new waves of attacks that started on the 8th and th
Threat_Group_Cards_v2.0.pdf,"{""page"": 233}",Ghoul,Threat Group Cards: A Threat Actor Encyclopedia 233 Operation Ghoul Names Operation Ghoul (Kaspersky) Country [Unknown] Motivation Information theft and espionage First seen 2016 Description (Kaspersky) Kaspersky Lab has observed new waves of attacks that started on the 8th and the 27th of June 2016. Th
Threat_Group_Cards_v2.0.pdf,"{""page"": 233}",ghoul,"y, Gibraltar, India, Iran, Iraq, Italy, Pakistan, Portugal, Romania, Qatar, Saudi Arabia, Spain, Sweden, Switzerland, Taiwan, Turkey, UAE, UK and USA. Tool used OpGhoul. Information <https://securelist.com/operation-ghoul-targeted-attacks-on-industrial-and- engineering-organizations/75718/>"
Threat_Group_Cards_v2.0.pdf,"{""page"": 6}",Ghoul,............................... 231 Operation Comando ..................................................................................................................................................... 232 Operation Ghoul ........................................................................................................................................................... 233 Operation Groundbait .....................................
