value,type,observed_at,campaign_refs,malware_refs,roles,context_excerpt
unbobor.com,domain,,activity--goffee-q2-container-campaign-2026,,c2,Securelist Q2 2026 IOC domain
ubuntu-mirror.ru,domain,,activity--goffee-q2-container-campaign-2026,,c2,Securelist Q2 2026 IOC domain
sonatype.ubuntu-mirror.ru,domain,,activity--goffee-q2-container-campaign-2026,,c2,Securelist Q2 2026 IOC domain
popzone.info,domain,,activity--goffee-q2-container-campaign-2026,,c2,Securelist Q2 2026 IOC domain
codeappmarketing.com,domain,,activity--goffee-q2-container-campaign-2026,,c2,Securelist Q2 2026 IOC domain
terinvest.org,domain,,activity--goffee-q2-container-campaign-2026,,c2,Securelist Q2 2026 IOC domain
paneweb.com,domain,,activity--goffee-q2-container-campaign-2026,,c2,Securelist Q2 2026 IOC domain
b.86945f8b.c.pinehurstele.net,domain,,activity--goffee-q2-container-campaign-2026,,c2,Securelist Q2 2026 IOC domain
drosus.com,domain,,activity--goffee-q2-container-campaign-2026,,c2,Securelist Q2 2026 IOC domain
cosinvest.net,domain,,activity--goffee-q2-container-campaign-2026,,c2,Securelist Q2 2026 IOC domain
qevusa.com,domain,,activity--goffee-q2-container-campaign-2026,,c2,Securelist Q2 2026 IOC domain
buttro.com,domain,,activity--goffee-q2-container-campaign-2026,,c2,Securelist Q2 2026 IOC domain
euroagroexpress.com,domain,,activity--goffee-q2-container-campaign-2026,,c2,Securelist Q2 2026 IOC domain
zukus.org,domain,,activity--goffee-q2-container-campaign-2026,,c2,Securelist Q2 2026 IOC domain
moussoft.org,domain,,activity--goffee-q2-container-campaign-2026,,c2,Securelist Q2 2026 IOC domain
hepog.org,domain,2026-06-02,activity--goffee-q2-container-campaign-2026,,c2,Source-stated first malware contact date
hepog.org,domain,2026-07-17,activity--goffee-q2-container-campaign-2026,,c2,Source-stated last malware contact date
zynlimor.ru,domain,,activity--goffee-q2-container-campaign-2026,,c2,Securelist Q2 2026 IOC domain
pillowy.org,domain,,activity--goffee-q2-container-campaign-2026,,c2,Securelist Q2 2026 IOC domain
combogenius.org,domain,,activity--goffee-q2-container-campaign-2026,,c2,Securelist Q2 2026 IOC domain
gisep.ru,domain,,activity--goffee-q2-container-campaign-2026,,c2,Securelist Q2 2026 IOC domain
woburnboc.com,domain,,activity--goffee-q2-container-campaign-2026,,c2,Securelist Q2 2026 IOC domain
beenges.com,domain,,activity--goffee-q2-container-campaign-2026,,c2,Securelist Q2 2026 IOC domain
mevapplab.com,domain,,activity--goffee-q2-container-campaign-2026,,c2,Securelist Q2 2026 IOC domain
accountlamb.org,domain,,activity--goffee-q2-container-campaign-2026,,c2,Securelist Q2 2026 IOC domain
