original_source_path,original_source_location,matched_name,context_excerpt
APT28/BlueDelta Exploits Ukrainian Government Roundcube Mail Servers to Support Espionage Activities.pdf,"{""page"": 5}",Group5,"whichisincontrasttoall but1IPaddressobservedwithinthepreviousBlueDeltaactivityregardingCVE 2023 23397wherecompromisedUbiquiti deviceswereused. RecordedFuture ® | www.recordedfuture.com| Distribution: Public, fromInsikt Group5"
APT29/APT29 Adapts to Target Diplomatic Entities with GraphicalProton Malware.pdf,"{""page"": 5}",Group5,": RecordedFuture) Thisreport detailsRecordedFuture’strackingof BlueBravo’suseof compromisedinfrastructuretodeliver these3custommalwarefamilies. RecordedFuture ® | www.recordedfuture.com| Distribution: Public, fromInsikt Group5"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 114}",Group5,"Threat Group Cards: A Threat Actor Encyclopedia 114 Group5 Names Group5 (Citizen Lab) Country Iran Sponsor State-sponsored Motivation Information theft and espionage Description (SecurityWeek) A threat actor using Iranian-language tools, Iranian hosting companies, operati"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 114}",Group5,"Threat Group Cards: A Threat Actor Encyclopedia 114 Group5 Names Group5 (Citizen Lab) Country Iran Sponsor State-sponsored Motivation Information theft and espionage Description (SecurityWeek) A threat actor using Iranian-language tools, Iranian hosting companies, operating from the Ir"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 114}",Group5,"ms, malicious PowerPoint files, and Android malware. The threat actor was targeting Windows and Android devices of well-connected individuals in the Syrian opposition, researchers discovered. They called the actor Group5, because it targets Syrian opposition after regime-linked malware groups, the Syrian Electronic Army, ISIS (also known as the Islamic State or ISIL), and a group linked to Lebanon did the same in the past. Observed C"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 4}",Group5,"................................ 111 GozNym ......................................................................................................................................................................... 113 Group5 ........................................................................................................................................................................... 114 Hidden Lynx, Aurora Panda................."
Calisto/BlueCharlie_Continues_to_Deploy_New_Infrastructure_in_2023.pdf,"{""page"": 5}",Group5,"tivity: ● check/checker● dns● cloud● control/controls● docs● document● network● of● protect/protected/protector● safety● storage● transfer● web RecordedFuture ® | www.recordedfuture.com| Distribution: Public, fromInsikt Group5"
Charming Kitten/The-Kittens-Are-Back-in-Town-Charming-Kitten-2019.pdf,"{""page"": 12}",group5,.oii.ox.ac.uk/wp-content/uploads/sites/93/2019/04/Iran-Memo.pdf https://www.clearskysec.com/wp-content/uploads/2018/11/Global-Iranian-Disinformation-Operation-Clearsky- Cyber-Security.pdf https://citizenlab.ca/2016/08/group5-syria/
International Strategic/China/TAG-74.pdf,"{""page"": 5}",Group5,"idnot linkthisactivitytothewider multi-year campaigndescribed.Notably, multipledecoydocumentsandspoofeddomainsobservedbyRecordedFuturerelatedto RecordedFuture ® | www.recordedfuture.com| Distribution: Public, fromInsikt Group5"
International Strategic/China/chinese_darkweb_analysis.pdf,"{""page"": 13}",group5,"and chatting 茶马古道【账号交流】(Tea Horse Road [Account Exchange]) @Tea_group4 2,429 subscribers Sets of 4 IDs, QQ accounts, WeChat accounts, AliPay accounts, and more 茶马古道【查档定位】(Tea Horse Road [Searching and Locating]) @Tea_group5 2,279 subscribers For conducting online searches 茶马古道【技术交流】(Tea Horse Road [Technical Exchange]) @Tea_group6 1,969 subscribers 茶马古道会员群【会员专属】(Tea Horse Road [Members Only]) @Tea_vip 3,055 subscribers A group for alleg"
