original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 78, ""sheet"": ""Others""}",IamtheKing,IamtheKing Powerpool SLOTHFULMEDIA active since 2017 https://us-cert.cisa.gov/ncas/analysis-reports/ar20-275a https://twitter.com/craiu/status/1311920398259367942
APT Groups and Operations.xlsx,"{""row"": 78, ""sheet"": ""Others""}",Powerpool,IamtheKing Powerpool SLOTHFULMEDIA active since 2017 https://us-cert.cisa.gov/ncas/analysis-reports/ar20-275a https://twitter.com/craiu/status/1311920398259367942
Threat_Group_Cards_v2.0.pdf,"{""page"": 262}",PowerPool,"Threat Group Cards: A Threat Actor Encyclopedia 262 PowerPool Names PowerPool (ESET) Country [Unknown] Motivation Information theft and espionage First seen 2018 Description (ESET) On August 27, 2018, a so-called zero-day vulnerability affecting Microsoft Windows was publish"
Threat_Group_Cards_v2.0.pdf,"{""page"": 262}",PowerPool,"Threat Group Cards: A Threat Actor Encyclopedia 262 PowerPool Names PowerPool (ESET) Country [Unknown] Motivation Information theft and espionage First seen 2018 Description (ESET) On August 27, 2018, a so-called zero-day vulnerability affecting Microsoft Windows was published on GitHub and"
Threat_Group_Cards_v2.0.pdf,"{""page"": 262}",PowerPool,"it”, evade detection, or even incorporate it into their code. As one could have predicted, it took only two days before we first identified the use of this exploit in a malicious campaign from a group we have dubbed PowerPool. This group has a small number of victims and according to both our telemetry and uploads to VirusTotal (we only considered manual uploads from the web interface), the targeted countries include Chile, Germany, India"
Threat_Group_Cards_v2.0.pdf,"{""page"": 262}",powerpool,", India, Philippines, Poland, Russia, UK, Ukraine, USA and others. Tools used ALPC Local PrivEsc, FireMaster, PowerDump, PowerSploit, Quarks PwDump and SMBExec. Information <https://www.welivesecurity.com/2018/09/05/powerpool-malware-exploits-zero-day- vulnerability/>"
Threat_Group_Cards_v2.0.pdf,"{""page"": 7}",PowerPool,"Threat Group Cards: A Threat Actor Encyclopedia 7 PowerPool ..................................................................................................................................................................... 262 Promethium, StrongPity ........................."
summary/2022/APT group Intelligence Research handbook-2022.pdf,"{""page"": 22}",IAmTheKing,、Cobalt Strike、Winscp 等）进行内网环境探测和信息 / 凭据收集，利用合法的凭 据甚至可信受害主机的身份进行横向移动。 在命令与控制方面， APT 组织普遍通过 HTTPS 协议 POST 请求实现，采用 XOR 进行 通信加密。水平相对更高的组织通过谷歌、微软、亚马逊、 Dropbox 等云服务下载图片 或加密文本文件进行 C2 指令的下发 ，如 MontysThree、TA402、DRBControl。另外有如 IAmTheKing 组织通过 DNS 的 TXT 记录下发 C2 指令，Tor2Mine 利用 Tor2web 服务隐藏真 实 C2 地址等都加大受控主机异常检测的难度。
summary/2022/APT group Intelligence Research handbook-2022.pdf,"{""page"": 91}",IAmTheKing,83 2021 年 APT 组织情报图鉴 6.1.12 IAmTheKing 组织名 IAmTheKing 中文名 无 组织地理 未知 别名 无 历史目标 俄罗斯 目标行业 政府，国防，公共事业机构、能源，教育，企 业 发现时间 2018-09-05 最近活跃 2020-10-18 动机 间谍活动 描述 IAmTheKing 是一个专注于收集俄罗斯实体情报的 APT 组织，涉及政府机构、国防承包商、公共事业 机构、能源相关的大学和企业。IAmTheKing 组织的工具集合包括 KingOfHearts、Qu
summary/2022/APT group Intelligence Research handbook-2022.pdf,"{""page"": 91}",IAmTheKing,83 2021 年 APT 组织情报图鉴 6.1.12 IAmTheKing 组织名 IAmTheKing 中文名 无 组织地理 未知 别名 无 历史目标 俄罗斯 目标行业 政府，国防，公共事业机构、能源，教育，企 业 发现时间 2018-09-05 最近活跃 2020-10-18 动机 间谍活动 描述 IAmTheKing 是一个专注于收集俄罗斯实体情报的 APT 组织，涉及政府机构、国防承包商、公共事业 机构、能源相关的大学和企业。IAmTheKing 组织的工具集合包括 KingOfHearts、QueenOfHearts、 Qu
summary/2022/APT group Intelligence Research handbook-2022.pdf,"{""page"": 91}",IAmTheKing,83 2021 年 APT 组织情报图鉴 6.1.12 IAmTheKing 组织名 IAmTheKing 中文名 无 组织地理 未知 别名 无 历史目标 俄罗斯 目标行业 政府，国防，公共事业机构、能源，教育，企 业 发现时间 2018-09-05 最近活跃 2020-10-18 动机 间谍活动 描述 IAmTheKing 是一个专注于收集俄罗斯实体情报的 APT 组织，涉及政府机构、国防承包商、公共事业 机构、能源相关的大学和企业。IAmTheKing 组织的工具集合包括 KingOfHearts、QueenOfHearts、 QueenOfClubs、JackOfHearts 等，横向移动则主要使用 Microsoft 的 SysInternals 套件，LaZagne， Mimikatz 以及内置的网络程序如：ipconfig.exe，net.ex
