original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 19, ""sheet"": ""China""}",Dagger Panda,"Ice Fog Dagger Panda IceFog ICEFOG Fucobha, Temp.Trident Dagger Three (C2 software), Fucobha Backdoor, IceFog, RoyalRoad RTF Weaponizer This threat actor targets government institutions, military contractors, maritime and shipbuilding group"
APT Groups and Operations.xlsx,"{""row"": 19, ""sheet"": ""China""}",ICEFOG,"Ice Fog Dagger Panda IceFog ICEFOG Fucobha, Temp.Trident Dagger Three (C2 software), Fucobha Backdoor, IceFog, RoyalRoad RTF Weaponizer This threat actor targets government institutions, military contractors, maritime and shipbuilding groups, telecommuni"
APT Groups and Operations.xlsx,"{""row"": 19, ""sheet"": ""China""}",Ice Fog,"Ice Fog Dagger Panda IceFog ICEFOG Fucobha, Temp.Trident Dagger Three (C2 software), Fucobha Backdoor, IceFog, RoyalRoad RTF Weaponizer This threat actor targets government institutions, military contractors, maritime and shipb"
APT Groups and Operations.xlsx,"{""row"": 19, ""sheet"": ""China""}",IceFog,"Ice Fog Dagger Panda IceFog ICEFOG Fucobha, Temp.Trident Dagger Three (C2 software), Fucobha Backdoor, IceFog, RoyalRoad RTF Weaponizer This threat actor targets government institutions, military contractors, maritime and shipbuilding groups, tele"
APT Groups and Operations.xlsx,"{""row"": 9, ""sheet"": ""China""}",icefog,-hack-the-fsb-your-taxes-didnt-pay-for-this-op/ https://www.recordedfuture.com/china-linked-ta428-threat-group/ https://blog.group-ib.com/task https://sebdraven.medium.com/ta428-behind-operation-lagtime-the-following-of-icefog-30fc1f853b80 https://www.ptsecurity.com/ww-en/analytics/pt-esc-threat-intelligence/space-pirates-tools-and-connections/ https://ics-cert.kaspersky.com/media/Kaspersky-ICS-CERT-Targeted-attack-on-industrial-enterprises-a
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 119}",Dagger Panda,"Threat Group Cards: A Threat Actor Encyclopedia 119 Icefog, Dagger Panda Names Icefog (Kaspersky) Dagger Panda (CrowdStrike) Country China, South Korea and Japan Motivation Information theft and espionage Description (Kaspersky) “Icefog” is an Advanced Persistent Threat that has been ac"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 119}",Icefog,"Threat Group Cards: A Threat Actor Encyclopedia 119 Icefog, Dagger Panda Names Icefog (Kaspersky) Dagger Panda (CrowdStrike) Country China, South Korea and Japan Motivation Information theft and espionage Description (Kaspersky) “Icefog” is an Advanced Persistent Threat th"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 119}",Icefog,"Threat Group Cards: A Threat Actor Encyclopedia 119 Icefog, Dagger Panda Names Icefog (Kaspersky) Dagger Panda (CrowdStrike) Country China, South Korea and Japan Motivation Information theft and espionage Description (Kaspersky) “Icefog” is an Advanced Persistent Threat that has been active since at"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 4}",Dagger Panda,".............................................. 117 Hurricane Panda, Zirconium, APT 31 ....................................................................................................................... 118 Icefog, Dagger Panda .................................................................................................................................................. 119 Inception Framework ..............................................."
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 4}",Icefog,"...................................................... 117 Hurricane Panda, Zirconium, APT 31 ....................................................................................................................... 118 Icefog, Dagger Panda .................................................................................................................................................. 119 Inception Framework ................................."
