original_source_path,original_source_location,matched_name,context_excerpt
parse-daily/review-decisions.json,"{""json_path"": ""$.indigozebra|https://hunt.io/blog/silkparasite-spicerat-central-asia-infrastructure.review_notes""}",IndigoZebra,"原文(Hunt.io, 2026-09-16公開)を確認。記事の主題はBitdefenderがSilkParasiteとして報告したSpiceRAT/NodeEdgeRAT/NomadRATのC2インフラ解析であり、IndigoZebraへの言及は ""The infrastructure examined here shares additional characteristics with IndigoZebra (also referred to as Speccom by ESET)"" というインフラ特性の類似指摘にとどまる。SilkParasiteをIndigoZebraへ帰属させる記述はなく、IndigoZebraを実行主体とする記述でもないため不採用とする。"
parse-daily/review-decisions.json,"{""json_path"": ""$.indigozebra|https://hunt.io/blog/silkparasite-spicerat-central-asia-infrastructure.review_notes""}",IndigoZebra,"原文(Hunt.io, 2026-09-16公開)を確認。記事の主題はBitdefenderがSilkParasiteとして報告したSpiceRAT/NodeEdgeRAT/NomadRATのC2インフラ解析であり、IndigoZebraへの言及は ""The infrastructure examined here shares additional characteristics with IndigoZebra (also referred to as Speccom by ESET)"" というインフラ特性の類似指摘にとどまる。SilkParasiteをIndigoZebraへ帰属させる記述はなく、IndigoZebraを実行主体とする記述でもないため不採用とする。SilkParasiteは未帰属クラスタとしてparse-daily/unknown-clusters.jsonへ記録し、IndigoZebraとの関係は今後の一次資料で帰属が確定"
parse-daily/review-decisions.json,"{""json_path"": ""$.indigozebra|https://hunt.io/blog/silkparasite-spicerat-central-asia-infrastructure.review_notes""}",IndigoZebra,"報告したSpiceRAT/NodeEdgeRAT/NomadRATのC2インフラ解析であり、IndigoZebraへの言及は ""The infrastructure examined here shares additional characteristics with IndigoZebra (also referred to as Speccom by ESET)"" というインフラ特性の類似指摘にとどまる。SilkParasiteをIndigoZebraへ帰属させる記述はなく、IndigoZebraを実行主体とする記述でもないため不採用とする。SilkParasiteは未帰属クラスタとしてparse-daily/unknown-clusters.jsonへ記録し、IndigoZebraとの関係は今後の一次資料で帰属が確定した場合に再検討する。"
parse-daily/review-decisions.json,"{""json_path"": ""$.indigozebra|https://hunt.io/blog/silkparasite-spicerat-central-asia-infrastructure.review_notes""}",IndigoZebra,"T/NomadRATのC2インフラ解析であり、IndigoZebraへの言及は ""The infrastructure examined here shares additional characteristics with IndigoZebra (also referred to as Speccom by ESET)"" というインフラ特性の類似指摘にとどまる。SilkParasiteをIndigoZebraへ帰属させる記述はなく、IndigoZebraを実行主体とする記述でもないため不採用とする。SilkParasiteは未帰属クラスタとしてparse-daily/unknown-clusters.jsonへ記録し、IndigoZebraとの関係は今後の一次資料で帰属が確定した場合に再検討する。"
parse-daily/review-decisions.json,"{""json_path"": ""$.indigozebra|https://hunt.io/blog/silkparasite-spicerat-central-asia-infrastructure.review_notes""}",IndigoZebra,"racteristics with IndigoZebra (also referred to as Speccom by ESET)"" というインフラ特性の類似指摘にとどまる。SilkParasiteをIndigoZebraへ帰属させる記述はなく、IndigoZebraを実行主体とする記述でもないため不採用とする。SilkParasiteは未帰属クラスタとしてparse-daily/unknown-clusters.jsonへ記録し、IndigoZebraとの関係は今後の一次資料で帰属が確定した場合に再検討する。"
parse-daily/state.json,"{""json_path"": ""$.incremental_scans[25].rejected[0].actor""}",indigozebra,indigozebra
parse-daily/state.json,"{""json_path"": ""$.incremental_scans[25].rejected[0].decision""}",IndigoZebra,"不採用(帰属未確定)。原文(Hunt.io, 2026-09-16公開)を確認した。IndigoZebra への言及は ""The infrastructure examined here shares additional characteristics with IndigoZebra (also referred to as Speccom by ESET)"" というインフラ特性の類似指摘にとどまり、SilkParasite を IndigoZebra へ帰属させる記述も IndigoZebra を実行主体とする記述もない。SilkPa"
parse-daily/state.json,"{""json_path"": ""$.incremental_scans[25].rejected[0].decision""}",IndigoZebra,"不採用(帰属未確定)。原文(Hunt.io, 2026-09-16公開)を確認した。IndigoZebra への言及は ""The infrastructure examined here shares additional characteristics with IndigoZebra (also referred to as Speccom by ESET)"" というインフラ特性の類似指摘にとどまり、SilkParasite を IndigoZebra へ帰属させる記述も IndigoZebra を実行主体とする記述もない。SilkParasite は unknown-clusters.json へ新規クラスタとして登録し、IndigoZebra は related_profiles の similarity-on"
parse-daily/state.json,"{""json_path"": ""$.incremental_scans[25].rejected[0].decision""}",IndigoZebra,"不採用(帰属未確定)。原文(Hunt.io, 2026-09-16公開)を確認した。IndigoZebra への言及は ""The infrastructure examined here shares additional characteristics with IndigoZebra (also referred to as Speccom by ESET)"" というインフラ特性の類似指摘にとどまり、SilkParasite を IndigoZebra へ帰属させる記述も IndigoZebra を実行主体とする記述もない。SilkParasite は unknown-clusters.json へ新規クラスタとして登録し、IndigoZebra は related_profiles の similarity-only-not-attributed として記録した。"
parse-daily/state.json,"{""json_path"": ""$.incremental_scans[25].rejected[0].decision""}",IndigoZebra,", 2026-09-16公開)を確認した。IndigoZebra への言及は ""The infrastructure examined here shares additional characteristics with IndigoZebra (also referred to as Speccom by ESET)"" というインフラ特性の類似指摘にとどまり、SilkParasite を IndigoZebra へ帰属させる記述も IndigoZebra を実行主体とする記述もない。SilkParasite は unknown-clusters.json へ新規クラスタとして登録し、IndigoZebra は related_profiles の similarity-only-not-attributed として記録した。"
parse-daily/unknown-clusters.json,"{""json_path"": ""$.clusters[34].unresolved_questions[1]""}",indigozebra,中央アジアを標的とする既存プロファイル（nomadic-octopus、sixlittlemonkeys、indigozebra、nomad-panda、ta459、teamspy-crew、turla 等）との重複有無は未検証。一次資料に言及がないため現時点では関連付けない。
parse-daily/unknown-clusters.json,"{""json_path"": ""$.clusters[45].observations[1].verified_by_analyst""}",IndigoZebra,"原文を確認した。IndigoZebra への言及は ""The infrastructure examined here shares additional characteristics with IndigoZebra (also referred to as Speccom by ESET)"" というインフラ特性の類似指摘のみであり、Hellsing への言及は存在しない。"
parse-daily/unknown-clusters.json,"{""json_path"": ""$.clusters[45].related_profiles[0].note""}",IndigoZebra,"Hunt.io の該当文は ""The infrastructure examined here shares additional characteristics with IndigoZebra (also referred to as Speccom by ESET)"" であり、インフラ特性の類似を述べるにとどまる。SilkParasite を IndigoZebra へ帰属させる記述はない。2026-09-20 の日次レビューで当該レコードは不採用としている。"
parse-daily/unknown-clusters.json,"{""json_path"": ""$.clusters[45].related_profiles[0].slug""}",indigozebra,indigozebra
