original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 51, ""sheet"": ""Others""}",InvisiMole,"InvisiMole Russia, Ukraine https://www.welivesecurity.com/2018/06/07/invisimole-equipped-spyware-undercover/ https://www.welivesecurity.com/2020/06/18/digging-up-invisimole-hidden-arsenal/"
APT Groups and Operations.xlsx,"{""row"": 51, ""sheet"": ""Others""}",invisimole,"InvisiMole Russia, Ukraine https://www.welivesecurity.com/2018/06/07/invisimole-equipped-spyware-undercover/ https://www.welivesecurity.com/2020/06/18/digging-up-invisimole-hidden-arsenal/"
Gamaredon/cyberespionage-gamaredon-way.pdf,"{""page"": 3}",InvisiMole,"y Service of Ukraine (SSU) to the 18 th Center of Information Security of the FSB, operating out of occupied Crimea. We believe this group to be collaborating with another th reat actor that we discovered and named InvisiMole . We analyzed thousands of samples and share details about Gamaredon ’s ever -changing obfuscation tricks and numerous techniques used for bypassing domain -based blocking . These tactics pose a significant challeng"
Gamaredon/gamaredon-in-2025.pdf,"{""page"": 3}",InvisiMole,"e Security Service of Ukraine (SSU) to the 18th Center of Information Security of the FSB, operating out of occupied Crimea. We believe this group to be collaborating with a threat actor that we discovered and named InvisiMole, and since early 2025, we have documented a few acts of collaboration between Gamaredon and Turla. We first publicly described parts of the group’s toolset in detail in ESET Threat Report T2 2021 and significantly"
International Strategic/Russia/Russia’s Cyber Tactics Lessons Learned 2022.pdf,"{""page"": 28}",InvisiMole,"ssaging applications. Our analytics show that typical operations require one month for successful execution. Because of attribution complexity, we don’t have a clear indication of APT28 across our cases. UAC-0035 (InvisiMole) specializes purely in cyber espionage. Their operations were focused on individual diplomats deployed outside Ukraine as well as the Ministry of Foreign Affairs of Ukraine. The complexity and sophistication of th"
International Strategic/Russia/Russia’s Cyber Tactics Lessons Learned 2022.pdf,"{""page"": 28}",InvisiMole,rther known as a team that managed to get access to closed systems with crypto gateways to protected communication networks in H2 2022. One of their tactics inside a compromised network was to distribute UAC-0035 (InvisiMole) SVR (Foreign Intelligence Service)
Threat_Group_Cards_v2.0.pdf,"{""page"": 163}",InvisiMole,Threat Group Cards: A Threat Actor Encyclopedia 163 InvisiMole Names InvisiMole (ESET) Country Russia Motivation Information theft and espionage First seen 2013 Description (ESET) This is the modus operandi of the two malicious components of InvisiMole. They turn the affected
Threat_Group_Cards_v2.0.pdf,"{""page"": 163}",InvisiMole,Threat Group Cards: A Threat Actor Encyclopedia 163 InvisiMole Names InvisiMole (ESET) Country Russia Motivation Information theft and espionage First seen 2013 Description (ESET) This is the modus operandi of the two malicious components of InvisiMole. They turn the affected computer into a v
Threat_Group_Cards_v2.0.pdf,"{""page"": 163}",InvisiMole,"ncyclopedia 163 InvisiMole Names InvisiMole (ESET) Country Russia Motivation Information theft and espionage First seen 2013 Description (ESET) This is the modus operandi of the two malicious components of InvisiMole. They turn the affected computer into a video camera, letting the attackers see a nd hear what’s going on in the victim’s office or wherever their device may be. Uninvited, InvisiMole’s operators access the system, c"
Threat_Group_Cards_v2.0.pdf,"{""page"": 163}",InvisiMole,"the two malicious components of InvisiMole. They turn the affected computer into a video camera, letting the attackers see a nd hear what’s going on in the victim’s office or wherever their device may be. Uninvited, InvisiMole’s operators access the system, closely monitoring the victim’s activities and stealing the victim’s secrets. Our telemetry indicates that the malicious actors behind this malware have been active at least since 2013,"
