original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 30, ""sheet"": ""Russia""}",Karakurt,Karakurt https://www.cisa.gov/uscert/ncas/alerts/aa22-152a
summary/2023/2022_APT_TRENDS_INSIGHT_REPORT.pdf,"{""page"": 18}",Karakurt,生在 2016 年，截至 2022 年 RaaS 模式勒索攻击在所有网络安全攻击中占比已经增长到 11%，每次勒索成功会给受害企业造成平均四百多万美元的损失。根据趋势科技对 2022 年三个季度的勒索软件趋势分析 报告，著名的 RaaS 运营商 LockBit、Conti 和 BlackCat 勒索组织在活跃的 RaaS 和勒索团体中处于领先地位，而 Conti 勒索软件组织在今年 5 月份停止运营后以新的 Black Basta 和 Karakurt 勒索软件品牌重出江湖，其涉及的非法获利十分 丰厚。 其中值得注意的是，LockBit 3.0 勒索软件于 2022 年第四季度推出，与此同时 LockBit 勒索软件团体还首创性地推出了勒 索软件漏洞赏金概念。其运作方式与产品漏洞众测概念类似，对发现 LockBit 组织基础设施网络和勒索工具集中的漏洞的 安全研究人员或黑客提供高达 100 万美元的奖金。今年上半年的 Conti 勒索组织内部数据泄露并被迫停运事件为其他勒索 软件团体
summary/2023/Crypto_Crime_Report_2023.pdf,"{""page"": 32}",Karakurt,"begun to work with and launch other strains, including the ransomware group’s leader, who goes by the alias Stern. The Reactor graph below shows that Stern has transacted with addresses linked to strains like Quantum, Karakurt, Diavol, and Royal in 2022 following Conti’s demise."
summary/2023/Global APT 2023 Mid-Year Report-QIANXIN.pdf,"{""page"": 13}",Karakurt,https://ti.qianxin.com 8 关键词：地质、科研 APT -Q-78 是一个具有全球视野的 APT 组织，其主要针对我国的地质领域进行攻击。通过 WEB 层面的 0day/Nday 漏洞作为攻击入口，拥有自己独特的 Webshell，在横向移动过程中擅于使用 Powershell 作 为下载者等待下发 Payload。后续攻击中释放了 AnyDesk 和一个基于 BAT 的 API 木马。AnyDesk 的使 用与 Karakurt Group 有些相像，攻击者主要通过 API 木马上传数据和执行命令，喜欢使用 Putty 将受 害机器的端口转发到攻击者控制的跳板服务器上。 该团伙在针对境外的活动中会捆绑一些常用软件的安装包，诱导受害者下载，释放的木马非常简单，并 调用 CMD 执行远程服务器下发的命令并创建计划任务进行持久化操作。 关键词：鱼叉邮件、可信签名 摩诃草 APT 组织（Patchwork）在 2023 上半年针对高校、气象、科研、政府等领域投递鱼叉邮
summary/2023/MDDR_FINAL_2023_1004.pdf,"{""page"": 23}",Karakurt,"tput from the distributor or credential marketplace. The infostealer ecosystem has enabled a new group of threat actors that leverage these tools to exfiltrate data and destroy resources. Such threat actors include Karakurt, the now-inactive Strawberry Tempest (DEV-0537, formerly LAPSUS$), Storm-0875 (0ktapus), Storm-0829 (Nwgen Team), Storm-0744, and Storm-0971. Data extortion Ransomware operators have multiple opportunities to mone"
summary/2023/Secureworks_NC3_2022StateoftheThreat.pdf,"{""page"": 16}",Karakurt,"the traditional ransomware-based extortion model. It remains unclear whether this approach provides a viable long-term business model, but some groups such as GOLD TOMAHAWK 24 continue to practice it. Also known as Karakurt Team or Karakurt Lair, GOLD TOMAHAWK has been active since mid-2021. GOLD TOMAHAWK intrusions typically start with access through internet-facing VPN endpoints, likely leveraging vulnerabilities or weak or stolen cre"
summary/2023/Secureworks_NC3_2022StateoftheThreat.pdf,"{""page"": 16}",Karakurt,"ransomware-based extortion model. It remains unclear whether this approach provides a viable long-term business model, but some groups such as GOLD TOMAHAWK 24 continue to practice it. Also known as Karakurt Team or Karakurt Lair, GOLD TOMAHAWK has been active since mid-2021. GOLD TOMAHAWK intrusions typically start with access through internet-facing VPN endpoints, likely leveraging vulnerabilities or weak or stolen credentials. Once in"
summary/2023/Secureworks_NC3_2022StateoftheThreat.pdf,"{""page"": 16}",Karakurt,"the importance of understanding how easy it can be for threat actors with a moderate level of capability and, critically, a means of accessing an organization's network to carry out attacks. Figure 7. GOLD TOMAHAWK (Karakurt) leak site screenshot. (Source: Secureworks)"
summary/2023/group-ib-hi-tech-crime-trends-2022-2023-ru.pdf,"{""page"": 154}",Karakurt,"7 Таиланд 7 Индия 6 Великобритания 6 Швеция 5 Швейцария 5 Другие 62 Название Количество Lockbit 85 Conti 64 BlackCat 16 Hive 16 LV 10 Grief 9 Avos Locker 8 BlackByte 8 Black Basta 6 Axxes 5 Clop 5 PYSA 4 Quantum 4 Karakurt 4 Другие 51 H2 2021 H1 2022 Специалисты Group-IB также проанализировали рынок брокеров доступов в данной индустрии. За отчетный период было обнаружено 136 доступов к промышленным компаниям, выставленных на продажу"
summary/2023/group-ib-hi-tech-crime-trends-2022-2023-ru.pdf,"{""page"": 33}",Karakurt,вание 2021 2022 Quantum Haron Lock_data Hotarus Black Matter BlackByte v.1 Groove Karma Leaks CoomingProject Darkrypt Bonaci group Atom Silo BlackByte v.2 Spook Moses Staff Midas 54bb47h Robinhood Rook Entropy Night Sky Karakurt N4ughtySec Pandora BlackShadow Kelvin Industrial Spa Mindware Ransomhouse Onyx Black Basta Revil2 Axxes Yanlu Avos Locker Babuk v.2 Hive На фоне постоянного роста числа сервисов DLS публикуется все больше данных комп
