original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 10, ""sheet"": ""China""}",Winnti Umbrella,"Axiom APT17 Tailgater Team Group 72 Dogfish (iDefense), Deputy Dog (iDefense), Winnti Umbrella G0001 Winnti, Gh0st RAT, PoisonIvy, HydraQ, Hikit, ZxShell, Deputy Dog, Derusbi, PlugX, HTRAN, HDRoot, Fscan, Timestomper Shell Crew, Hidden Lynx, Axiom Use ""Skeleton Key"" on DCs http://securelist.com/blog/research/5758"
APT Groups and Operations.xlsx,"{""row"": 11, ""sheet"": ""China""}",Winnti Umbrella,"Winnti Group Wicked Panda BRONZE ATLAS APT41 Winnti Umbrella, BARIUM, LEAD, RedEcho, Vanadinite, TAG-22 G0044 Winnti, AceHash, PlugX, Webshells, ZxShell, ShadowPad ThyssenKrupp, Gameforge, Valve, Teamviewer,Siemens, Sumitomo, BASF, Covestro, Shin-Etsu, Bayer, Roche Deep Panda, Wi"
APT Groups and Operations.xlsx,"{""row"": 17, ""sheet"": ""China""}",Ke3Chang,"Mirage Vixen Panda Ke3Chang Playful Dragon GREF APT15 Social Network Team Mirage Team, Lurid, Social Network Team, Royal APT, Metushy, Winnti Umbrella, NICKEL, Playful Taurus, BackdoorDiplomacy G0004 Mirage, (Nvidia program side-loading) PlugX, XS"
APT Groups and Operations.xlsx,"{""row"": 17, ""sheet"": ""China""}",Mirage,"Mirage Vixen Panda Ke3Chang Playful Dragon GREF APT15 Social Network Team Mirage Team, Lurid, Social Network Team, Royal APT, Metushy, Winnti Umbrella, NICKEL, Playful Taurus, BackdoorDiplomacy G0004 Mirage, (Nvidia program si"
APT Groups and Operations.xlsx,"{""row"": 17, ""sheet"": ""China""}",Vixen Panda,"Mirage Vixen Panda Ke3Chang Playful Dragon GREF APT15 Social Network Team Mirage Team, Lurid, Social Network Team, Royal APT, Metushy, Winnti Umbrella, NICKEL, Playful Taurus, BackdoorDiplomacy G0004 Mirage, (Nvidia program side-loading)"
APT-hunting/Automating APT Campaign and Group Attribution.pdf,"{""page"": 16}",APT15,c8092fefee182eb7d285de23340e29e6966f1a7302a76503799a2 Cluster #G6 eae62bb4110bcd00e9d1bcaba9000defcda3d1ab832fa2634d928559d066cb15 Cluster #G7 b3cee881b2f9d115c98d431b70a75709aade2317a82a0792c15dce2ffa892679 Cluster #G7 APT15 12e1b00af73101cb297387b6ee5035c4cae04211d995ddd233fb375deb492b0a Cluster #G8 Kimsuky fa71eee906a7849ba3f4bab74edb577bd1f1f8397ca428591b4a9872ce1f1e9b Cluster #G9 APT10 df5f1b802d553cddd3b99d1901a87d0d1f42431b366cfb0ed25
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 4}",APT 15,"..... 123 Iridium............................................................................................................................................................................. 125 Ke3chang, Vixen Panda, APT 15, GREF, Playful Dragon ..................................................................................... 126 Kimsuky, Velvet Chollima.................................................................................."
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 4}",GREF,"3 Iridium............................................................................................................................................................................. 125 Ke3chang, Vixen Panda, APT 15, GREF, Playful Dragon ..................................................................................... 126 Kimsuky, Velvet Chollima........................................................................................"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 4}",Ke3chang,"............................ 123 Iridium............................................................................................................................................................................. 125 Ke3chang, Vixen Panda, APT 15, GREF, Playful Dragon ..................................................................................... 126 Kimsuky, Velvet Chollima............................................................."
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 4}",Playful Dragon,"dium............................................................................................................................................................................. 125 Ke3chang, Vixen Panda, APT 15, GREF, Playful Dragon ..................................................................................... 126 Kimsuky, Velvet Chollima........................................................................................................"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 4}",Vixen Panda,".................. 123 Iridium............................................................................................................................................................................. 125 Ke3chang, Vixen Panda, APT 15, GREF, Playful Dragon ..................................................................................... 126 Kimsuky, Velvet Chollima.........................................................................."
