original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 14, ""sheet"": ""China""}",Esile,"Lotus Blossom Spring Dragon Lotus Blossom ST Group, Esile G0030 Elise Backdoor, Lstudio, CVE-2017-11882 https://securelist.com/blog/research/70726/the-spring-dragon-apt/ http://researchcenter.paloaltonetworks.com/2015/06/operation-lotus-blossom/ https://securelist.com/blog/res"
APT Groups and Operations.xlsx,"{""row"": 14, ""sheet"": ""China""}",Lotus Blossom,"Lotus Blossom Spring Dragon Lotus Blossom ST Group, Esile G0030 Elise Backdoor, Lstudio, CVE-2017-11882 https://securelist.com/blog/research/70726/the-spring-dragon-apt/ http://researchcenter.paloaltonetworks.com/2015/06/operation-lo"
APT Groups and Operations.xlsx,"{""row"": 14, ""sheet"": ""China""}",Lotus Blossom,"Lotus Blossom Spring Dragon Lotus Blossom ST Group, Esile G0030 Elise Backdoor, Lstudio, CVE-2017-11882 https://securelist.com/blog/research/70726/the-spring-dragon-apt/ http://researchcenter.paloaltonetworks.com/2015/06/operation-lotus-blossom/ https://securel"
APT Groups and Operations.xlsx,"{""row"": 14, ""sheet"": ""China""}",ST Group,"Lotus Blossom Spring Dragon Lotus Blossom ST Group, Esile G0030 Elise Backdoor, Lstudio, CVE-2017-11882 https://securelist.com/blog/research/70726/the-spring-dragon-apt/ http://researchcenter.paloaltonetworks.com/2015/06/operation-lotus-blossom/ https://securelist.com/b"
APT Groups and Operations.xlsx,"{""row"": 14, ""sheet"": ""China""}",Spring Dragon,"Lotus Blossom Spring Dragon Lotus Blossom ST Group, Esile G0030 Elise Backdoor, Lstudio, CVE-2017-11882 https://securelist.com/blog/research/70726/the-spring-dragon-apt/ http://researchcenter.paloaltonetworks.com/2015/06/operation-lotus-blossom/ h"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 142}",Lotus Blossom,"Threat Group Cards: A Threat Actor Encyclopedia 142 Lotus Blossom, Spring Dragon Names Lotus Blossom (Palo Alto) Spring Dragon (Kaspersky) Dragonfish (iDefense) Country China Sponsor State-sponsored Motivation Information theft and espionage Description (Kaspersky) Spring Drago"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 142}",Lotus Blossom,"Threat Group Cards: A Threat Actor Encyclopedia 142 Lotus Blossom, Spring Dragon Names Lotus Blossom (Palo Alto) Spring Dragon (Kaspersky) Dragonfish (iDefense) Country China Sponsor State-sponsored Motivation Information theft and espionage Description (Kaspersky) Spring Dragon is a long running APT actor that o"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 142}",Spring Dragon,"Threat Group Cards: A Threat Actor Encyclopedia 142 Lotus Blossom, Spring Dragon Names Lotus Blossom (Palo Alto) Spring Dragon (Kaspersky) Dragonfish (iDefense) Country China Sponsor State-sponsored Motivation Information theft and espionage Description (Kaspersky) Spring Dragon is a long run"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 4}",Lotus Blossom,"............................................ 139 Longhorn, The Lamberts ............................................................................................................................................. 141 Lotus Blossom, Spring Dragon .................................................................................................................................. 142 Lucky Cat .........................................................."
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 4}",Spring Dragon,"............................. 139 Longhorn, The Lamberts ............................................................................................................................................. 141 Lotus Blossom, Spring Dragon .................................................................................................................................. 142 Lucky Cat ........................................................................."
Threat Group Cards.pdf,"{""page"": 142}",Lotus Blossom,"Threat Group Cards: A Threat Actor Encyclopedia 142 Lotus Blossom, Spring Dragon Names Lotus Blossom (Palo Alto) Spring Dragon (Kaspersky) Dragonfish (iDefense) Country China Sponsor State-sponsored Motivation Information theft and espionage Description (Kaspersky) Spring Drago"
Threat Group Cards.pdf,"{""page"": 142}",Lotus Blossom,"Threat Group Cards: A Threat Actor Encyclopedia 142 Lotus Blossom, Spring Dragon Names Lotus Blossom (Palo Alto) Spring Dragon (Kaspersky) Dragonfish (iDefense) Country China Sponsor State-sponsored Motivation Information theft and espionage Description (Kaspersky) Spring Dragon is a long running APT actor that o"
Threat Group Cards.pdf,"{""page"": 142}",Spring Dragon,"Threat Group Cards: A Threat Actor Encyclopedia 142 Lotus Blossom, Spring Dragon Names Lotus Blossom (Palo Alto) Spring Dragon (Kaspersky) Dragonfish (iDefense) Country China Sponsor State-sponsored Motivation Information theft and espionage Description (Kaspersky) Spring Dragon is a long run"
Threat Group Cards.pdf,"{""page"": 4}",Lotus Blossom,"...................................................................... 139 Longhorn, The Lamberts ................................................................................................................... 141 Lotus Blossom, Spring Dragon ........................................................................................................ 142 Lucky Cat ...................................................................................."
Threat Group Cards.pdf,"{""page"": 4}",Spring Dragon,"....................................................... 139 Longhorn, The Lamberts ................................................................................................................... 141 Lotus Blossom, Spring Dragon ........................................................................................................ 142 Lucky Cat ..................................................................................................."
Threat_Group_Cards_v2.0.pdf,"{""page"": 189}",Lotus Blossom,"Threat Group Cards: A Threat Actor Encyclopedia 189 Lotus Blossom, Spring Dragon, Thrip Names Lotus Blossom (Palo Alto) Spring Dragon (Kaspersky) Dragonfish (iDefense) Billbug (Symantec) Thrip (Symantec) ATK 1 (Thales) ATK 78 (Thales) Country China Sponsor State-sponsored Mo"
Threat_Group_Cards_v2.0.pdf,"{""page"": 189}",Lotus Blossom,"Threat Group Cards: A Threat Actor Encyclopedia 189 Lotus Blossom, Spring Dragon, Thrip Names Lotus Blossom (Palo Alto) Spring Dragon (Kaspersky) Dragonfish (iDefense) Billbug (Symantec) Thrip (Symantec) ATK 1 (Thales) ATK 78 (Thales) Country China Sponsor State-sponsored Motivation Information theft and espionage F"
Threat_Group_Cards_v2.0.pdf,"{""page"": 189}",Spring Dragon,"Threat Group Cards: A Threat Actor Encyclopedia 189 Lotus Blossom, Spring Dragon, Thrip Names Lotus Blossom (Palo Alto) Spring Dragon (Kaspersky) Dragonfish (iDefense) Billbug (Symantec) Thrip (Symantec) ATK 1 (Thales) ATK 78 (Thales) Country China Sponsor State-sponsored Motivation Inform"
Threat_Group_Cards_v2.0.pdf,"{""page"": 5}",Lotus Blossom,"....................................... 187 LookBack, TA410 ......................................................................................................................................................... 188 Lotus Blossom, Spring Dragon, Thrip ....................................................................................................................... 189 Lucky Cat .............................................................."
Threat_Group_Cards_v2.0.pdf,"{""page"": 5}",Spring Dragon,"........................ 187 LookBack, TA410 ......................................................................................................................................................... 188 Lotus Blossom, Spring Dragon, Thrip ....................................................................................................................... 189 Lucky Cat ............................................................................."
microsoft-threat-actor-list.xlsx,"{""row"": 34, ""sheet"": ""alphabetical""}",RADIUM,"RADIUM Raspberry Typhoon China APT30, LotusBlossom"
microsoft-threat-actor-list.xlsx,"{""row"": 34, ""sheet"": ""alphabetical""}",Raspberry Typhoon,"RADIUM Raspberry Typhoon China APT30, LotusBlossom"
parse-daily/.cache/tech-memo/daily-news/news/2026_01-03/20260218.md,"{""line"": 47}",Lotus Blossom,- 背景として2025年6月〜12月2日にかけLotus Blossomが更新要求を悪性サーバへ誘導し、Chrysalisバックドアを配布したとされる。
parse-daily/.cache/tech-memo/daily-news/news/2026_01-03/20260218.md,"{""line"": 55}",Lotus Blossom,- 攻撃者は中国に関連するとされる脅威グループLotus Blossomに帰属され、攻撃チェーンでChrysalisが使われたとされる
summary/2020/APT-blackberry-mobile-malware-report.pdf,"{""page"": 5}",LOTUS BLOSSOM,"T known as REAVER (a .k .a . SUTR), whose previously observed campaigns involve desktop malware and a range of Western economic and government espionage targets . Several other well-known Chinese APT groups, including LOTUS BLOSSOM and SCARLET MIMIC, are also linked to this activity . • Targets of interest are the focus of a cross-platform (mobile and desktop malware) espionage campaign utilizing newly identified malware families for Android and"
summary/2022/APT group Intelligence Research handbook-2022.pdf,"{""page"": 152}",Esile,APT 组织情报研究年鉴 144 6.2.10 Lotus Blossom 组织名 Lotus Blossom 中文名 无 组织地理 大中华地区 别名 Spring Dragon，ST Group，Esile， DRAGONFISH，BRONZE ELGIN 历史目标 日本，菲律宾，中国香港，印尼，中国台湾， 越南 目标行业 国防，政府 发现时间 2015-06-16 最近活跃 2019-09-10 动机 间谍活动 描述 Lotus Blossom 是一个以东南亚政府和军事组织为目标的威胁组织。 知识关联 报告数量 威胁指示器数量 网络基础设施数量 恶意样本数量 利用漏洞数量 5 152 32 119 1 最近发布报告 2019-09-10
