original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 6, ""sheet"": ""Iran""}",Madi,"Madi This threat actor compromises engineering firms, government entities, and financial and academic institutions in the United States, Israel, Iran, and Pakistan Social engineering https://securelist.com/blog/incidents/336"
APT Groups and Operations.xlsx,"{""row"": 6, ""sheet"": ""Iran""}",madi,"hreat actor compromises engineering firms, government entities, and financial and academic institutions in the United States, Israel, Iran, and Pakistan Social engineering https://securelist.com/blog/incidents/33693/the-madi-campaign-part-i-5/ https://securelist.com/blog/incidents/33701/the-madi-campaign-part-ii-53/"
APT Groups and Operations.xlsx,"{""row"": 6, ""sheet"": ""Iran""}",madi,"ncial and academic institutions in the United States, Israel, Iran, and Pakistan Social engineering https://securelist.com/blog/incidents/33693/the-madi-campaign-part-i-5/ https://securelist.com/blog/incidents/33701/the-madi-campaign-part-ii-53/"
APT28/history-report-pdf/New Xagent Mac Malware Linked with the APT28 _ Bitdefender Labs.pdf,"{""page"": 2}",Madi,"Yes, Bitdefender products detect and block this threat. 2. Madi says:February 15, 2017 at 9:19 am Dear authors, Would it be possible for you to share some concrete IOCs in order for us to be able to check if our organizationswere compromised? Thank you very much for your kindness!Ra"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 147}",Madi,Threat Group Cards: A Threat Actor Encyclopedia 147 Madi Names Madi (Kaspersky) Mahdi (Kaspersky) Country Iran Motivation Information theft and espionage Description (Kaspersky) Kaspersky Lab and Seculert worked together to sinkhole the Madi Command & Control (C&C) serv
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 147}",Madi,Threat Group Cards: A Threat Actor Encyclopedia 147 Madi Names Madi (Kaspersky) Mahdi (Kaspersky) Country Iran Motivation Information theft and espionage Description (Kaspersky) Kaspersky Lab and Seculert worked together to sinkhole the Madi Command & Control (C&C) servers to monit
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 147}",Madi,"tor Encyclopedia 147 Madi Names Madi (Kaspersky) Mahdi (Kaspersky) Country Iran Motivation Information theft and espionage Description (Kaspersky) Kaspersky Lab and Seculert worked together to sinkhole the Madi Command & Control (C&C) servers to monitor the campaign. Kaspersky Lab and Seculert identified more than 800 victims located in Iran, Israel and select countries across the globe connecting to the C&Cs over the past"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 147}",Madi,", Engineering, Financial, Government, Oil and gas and Think Tanks. Countries: Australia, Ecuador, Greece, Iran, Iraq, Israel, Mozambique, New Zealand, Pakistan, Saudi Arabia, Switzerland, USA and Vietnam. Tools used Madi. Operations performed Jul 2012 New and Improved Madi Spyware Campaign Continues Madi, the religiously-titled spyware that was discovered last week and thought to be dead, appears to be making a comeback, complete w"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 4}",Madi,"................................................ 145 Mabna Institutem, Silent Librarian ............................................................................................................................. 146 Madi ................................................................................................................................................................................ 147 Magic Hound, APT 35, Cobalt Gypsy, Ro"
Threat Group Cards.pdf,"{""page"": 147}",Madi,Threat Group Cards: A Threat Actor Encyclopedia 147 Madi Names Madi (Kaspersky) Mahdi (Kaspersky) Country Iran Motivation Information theft and espionage Description (Kaspersky) Kaspersky Lab and Seculert worked together to sinkhole the Madi Command & Control (C&C) serv
