original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 24, ""sheet"": ""Others""}",Mummy Spider,"102 Onslow, North Carolina water Dataresolution.net (MSP for multiple US newpapers) Ryuk, Trickbot Criminal / Currently refers to Ryuk deployments following TrickBot infections, Indeterminate overlap with Indrik Spider, Mummy Spider and Wizard Spider https://www.crowdstrike.com/blog/big-game-hunting-with-ryuk-another-lucrative-targeted-ransomware/ https://www.fireeye.com/blog/threat-research/2019/01/a-nasty-trick-from-credential-theft-malware-to-bu"
APT Groups and Operations.xlsx,"{""row"": 26, ""sheet"": ""Others""}",Mummy Spider,"torJ04 Evil Corp GOLD TAHOE G0092 Dridex, FlawedAmmyy, Remote Manipulator System, WastedLocker, Cl0p Financial institutions, Retail Russia Criminal, cooperates with Lazarus group, Indeterminate overlap with Grim Spider, Mummy Spider and Wizard Spider https://www.sig-switzerland.ch/wp-content/uploads/2016/03/SIGS_SOC_Forum_Sep2017_CrowdStrike_On_the_Hunt_for_Pandas_Kittens_and_Bears.pdf see slide 15 https://www.crowdstrike.com/blog/big-game-hunting-"
APT Groups and Operations.xlsx,"{""row"": 31, ""sheet"": ""Others""}",Mealybug,"Mummy Spider TA542 Mealybug Emotet Criminal, Indeterminate overlap with Grim Spider, Indrik Spider and Wizard Spider https://go.crowdstrike.com/rs/281-OBQ-266/images/Report2018GlobalThreatReport.pdf https://www.crowdstrike.com/blog/meet-crowdstr"
APT Groups and Operations.xlsx,"{""row"": 31, ""sheet"": ""Others""}",Mummy Spider,"Mummy Spider TA542 Mealybug Emotet Criminal, Indeterminate overlap with Grim Spider, Indrik Spider and Wizard Spider https://go.crowdstrike.com/rs/281-OBQ-266/images/Report2018GlobalThreatReport.pdf https://www.crowdstrike.com/blo"
APT Groups and Operations.xlsx,"{""row"": 31, ""sheet"": ""Others""}",TA542,"Mummy Spider TA542 Mealybug Emotet Criminal, Indeterminate overlap with Grim Spider, Indrik Spider and Wizard Spider https://go.crowdstrike.com/rs/281-OBQ-266/images/Report2018GlobalThreatReport.pdf https://www.crowdstrike.com/blog/meet"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 263}",Mummy Spider,"Threat Group Cards: A Threat Actor Encyclopedia 263 Mummy Spider, TA542 Names Mummy Spider (CrowdStrike) TA542 (Proofpoint) Country [Unknown] Motivation Financial gain Description (Crowdstrike) Mummy Spider is a criminal entity linked to the core development of the malware most"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 263}",Mummy Spider,"Threat Group Cards: A Threat Actor Encyclopedia 263 Mummy Spider, TA542 Names Mummy Spider (CrowdStrike) TA542 (Proofpoint) Country [Unknown] Motivation Financial gain Description (Crowdstrike) Mummy Spider is a criminal entity linked to the core development of the malware most commonly known as Emotet o"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 263}",TA542,"Threat Group Cards: A Threat Actor Encyclopedia 263 Mummy Spider, TA542 Names Mummy Spider (CrowdStrike) TA542 (Proofpoint) Country [Unknown] Motivation Financial gain Description (Crowdstrike) Mummy Spider is a criminal entity linked to the core development of the malware most common"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 7}",Mummy Spider,"................................. 261 Lunar Spider .................................................................................................................................................................. 262 Mummy Spider, TA542 ................................................................................................................................................ 263 Operation Comando ............................................"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 7}",TA542,"................... 261 Lunar Spider .................................................................................................................................................................. 262 Mummy Spider, TA542 ................................................................................................................................................ 263 Operation Comando ..................................................."
COVID/200407-MWB-COVID-White-Paper_Final.pdf,"{""page"": 19}",Mummy Spider,"19 APTs and COVID-19: How advanced persistent threats use the coronavirus as a lure TA542 TA542 (Mummy Spider) is a Russian-speaking threat actor group behind the distribution of Emotet, which was first seen in the wild in 201412. At first, TA542 used modules from the Feodo banking Trojan, but over time developed their malw"
COVID/200407-MWB-COVID-White-Paper_Final.pdf,"{""page"": 19}",TA542,"19 APTs and COVID-19: How advanced persistent threats use the coronavirus as a lure TA542 TA542 (Mummy Spider) is a Russian-speaking threat actor group behind the distribution of Emotet, which was first seen in the wild in 201412. At first, TA542 used modules from the Feodo banking Trojan, but over time"
COVID/200407-MWB-COVID-White-Paper_Final.pdf,"{""page"": 19}",TA542,"19 APTs and COVID-19: How advanced persistent threats use the coronavirus as a lure TA542 TA542 (Mummy Spider) is a Russian-speaking threat actor group behind the distribution of Emotet, which was first seen in the wild in 201412. At first, TA542 used modules from the Feodo banking Trojan, but over time develo"
COVID/200407-MWB-COVID-White-Paper_Final.pdf,"{""page"": 19}",TA542,"ow advanced persistent threats use the coronavirus as a lure TA542 TA542 (Mummy Spider) is a Russian-speaking threat actor group behind the distribution of Emotet, which was first seen in the wild in 201412. At first, TA542 used modules from the Feodo banking Trojan, but over time developed their malware with modular architecture adding new capabilities. Since the emergence of COVID-19, TA542 has started using coronavirus themes in var"
COVID/200407-MWB-COVID-White-Paper_Final.pdf,"{""page"": 2}",TA542,...................................................................................... 15 TA505 ...................................................................................................................... 17 TA542 ..................................................................................................................... 19 Bitter ..........................................................................................
Threat Group Cards.pdf,"{""page"": 262}",Mummy Spider,"Threat Group Cards: A Threat Actor Encyclopedia 262 Mummy Spider, TA542 Names Mummy Spider (CrowdStrike) TA542 (Proofpoint) Country [Unknown] Motivation Financial gain Description (Crowdstrike) Mummy Spider is a criminal entity linked to the core development of the malware most"
Threat Group Cards.pdf,"{""page"": 262}",Mummy Spider,"Threat Group Cards: A Threat Actor Encyclopedia 262 Mummy Spider, TA542 Names Mummy Spider (CrowdStrike) TA542 (Proofpoint) Country [Unknown] Motivation Financial gain Description (Crowdstrike) Mummy Spider is a criminal entity linked to the core development of the malware most commonly known as Emotet o"
Threat Group Cards.pdf,"{""page"": 262}",TA542,"Threat Group Cards: A Threat Actor Encyclopedia 262 Mummy Spider, TA542 Names Mummy Spider (CrowdStrike) TA542 (Proofpoint) Country [Unknown] Motivation Financial gain Description (Crowdstrike) Mummy Spider is a criminal entity linked to the core development of the malware most common"
Threat Group Cards.pdf,"{""page"": 7}",Mummy Spider,"........................................................... 260 Lunar Spider ........................................................................................................................................ 261 Mummy Spider, TA542 ...................................................................................................................... 262 Operation Comando......................................................................."
Threat Group Cards.pdf,"{""page"": 7}",TA542,"............................................. 260 Lunar Spider ........................................................................................................................................ 261 Mummy Spider, TA542 ...................................................................................................................... 262 Operation Comando.............................................................................."
Threat_Group_Cards_v2.0.pdf,"{""page"": 326}",Mummy Spider,"h a variety of additional malware. Much of the malware from TA505 has been observed to be distributed using Avalanche, Cutwail (operated by Narwhal Spider), Necurs (operated by Monty Spider) and Emotet (operated by Mummy Spider, TA542). TA505 also has some infrastructure overlap with Buhtrap, Ratopak Spider and Group-IB found several relationships with Silence, Contract Crew. Some of the development of TA505 appears to have been done by a s"
Threat_Group_Cards_v2.0.pdf,"{""page"": 326}",TA542,"additional malware. Much of the malware from TA505 has been observed to be distributed using Avalanche, Cutwail (operated by Narwhal Spider), Necurs (operated by Monty Spider) and Emotet (operated by Mummy Spider, TA542). TA505 also has some infrastructure overlap with Buhtrap, Ratopak Spider and Group-IB found several relationships with Silence, Contract Crew. Some of the development of TA505 appears to have been done by a subgroup"
Threat_Group_Cards_v2.0.pdf,"{""page"": 378}",TA542,"s make not only detecting but analyzing the malware difficult. GozNym has been observed to be distributed via the Avalanche botnet. Zeus Panda has been observed to be distributed by Emotet (operated by Mummy Spider, TA542), Smoke Loader (operated by Smoky Spider), Cutwail (operated by Narwhal Spider) and Kelihos (operated by Zombie Spider). Observed Sectors: Financial, Hospitality, IT, Manufacturing, Retail and Technology. Countries:"
Threat_Group_Cards_v2.0.pdf,"{""page"": 9}",Mummy Spider,".................................. 395 Monty Spider ................................................................................................................................................................. 396 Mummy Spider, TA542 ................................................................................................................................................ 398 Narwhal Spider ..............................................."
Threat_Group_Cards_v2.0.pdf,"{""page"": 9}",TA542,".................... 395 Monty Spider ................................................................................................................................................................. 396 Mummy Spider, TA542 ................................................................................................................................................ 398 Narwhal Spider ......................................................"
cybercrime/emotet/Emotet_Exposed_A_Look_Inside_the_Cybercriminal_Supply_Chain.pdf,"{""page"": 42}",Mummy Spider,"42 | Emotet Exposed: A Look Inside the Cybercriminal Supply Chain BIBLIOGRAPHY 1 Malpedia. “Mummy Spider.” July 2022. 2 SecurityWeek. “‘Emotet’ Banking Malware Steals Data Via Network Sniffing.” Eduard Kovacs. June 30, 2014. 3 U.S. Department of Health and Human Services. “The Return of Emotet and the Threat to the Health"
cybercrime/emotet/Emotet_Exposed_A_Look_Inside_the_Cybercriminal_Supply_Chain.pdf,"{""page"": 42}",TA542,"” May 2021. 28 CERT Polska. “Analysis of Emotet v4.” Paweł Srokosz. May 24, 2017. 29 Kryptos Logic. “Emotet Awakens With New Campaign of Mass Email Exfiltration.” October 31, 2018. 30 Proofpoint. “Threat Actor Profile: TA542, From Banker to Malware Distribution Service.” May 15, 2019. 31 Bleeping Computer. “Emotet malware now steals credit cards from Google Chrome users.” Sergiu Gatlan. June 8, 2022. 32 Reversing.fun. “Emotet SMB spreader o"
cybercrime/emotet/Emotet_Exposed_A_Look_Inside_the_Cybercriminal_Supply_Chain.pdf,"{""page"": 5}",MealyBug,"5 | Emotet Exposed: A Look Inside the Cybercriminal Supply Chain Emotet is one of the most notorious and long-lived botnets in existence. It is controlled by a group called Mummy Spider, also known as MealyBug or TA542.1 Emotet first appeared on the threat landscape in 2014 as a banking Trojan.2 Instead of injecting content into the webpages of financial institutions, which was the standard approach to data theft at the"
cybercrime/emotet/Emotet_Exposed_A_Look_Inside_the_Cybercriminal_Supply_Chain.pdf,"{""page"": 5}",TA542,"5 | Emotet Exposed: A Look Inside the Cybercriminal Supply Chain Emotet is one of the most notorious and long-lived botnets in existence. It is controlled by a group called Mummy Spider, also known as MealyBug or TA542.1 Emotet first appeared on the threat landscape in 2014 as a banking Trojan.2 Instead of injecting content into the webpages of financial institutions, which was the standard approach to data theft at the time, it"
summary/2021/The CrowdStrike 2021 Global Threat Report.pdf,"{""page"": 24}",MUMMY SPIDER,"ber of dramatic changes for targeted eCrime actors. CARBON SPIDER shifted away from point-of-sale (POS) campaigns in favor of BGH, ultimately introducing their own ransomware, DarkSide. Established eCrime actors like MUMMY SPIDER, WIZARD SPIDER and CARBON SPIDER continue to drive innovation in the world of malware development. Over the year, CrowdStrike Intelligence noted trends in the use of open-source obfuscation software and the targeting"
summary/2021/The CrowdStrike 2021 Global Threat Report.pdf,"{""page"": 25}",MUMMY SPIDER,"ti to enable string obfuscation. In mid-2020, WIZARD SPIDER also implemented the use of the open-source tool obfuscator-llvm for code obfuscation in samples of BazarLoader. A similar methodology was incorporated into MUMMY SPIDER’s Emotet malware delivery platform. The use of obfuscation techniques in malware is not new, but the inclusion of open- source tools into build processes is an interesting tactic that supports advanced adversaries see"
summary/2021/The CrowdStrike 2021 Global Threat Report.pdf,"{""page"": 27}",MUMMY SPIDER,"Figure 6. eCrime Reporting by Adversary in 2020 WIZARD SPIDER has maintained and forged powerful third-party relationships that bolster the initial access capabilities — for example, their continued relationship with MUMMY SPIDER. They have updated their tooling and processes in 2020, implementing obfuscation tools into their malware build processes and adopting commodity tooling. These changes were almost certainly implemented to circumvent"
summary/2021/The CrowdStrike 2021 Global Threat Report.pdf,"{""page"": 27}",MUMMY SPIDER,PANDA KARMA PANDA Academic Manufacturing Government T elecommunications Computer Gaming T echnology Aviation Defense Financial Services Healthcare WIZARD SPIDER PINCHY SPIDER CARBON SPIDER TWISTED SPIDER GRACEFUL SPIDER MUMMY SPIDER DOPPEL SPIDER VIKING SPIDER SPRITE SPIDER TRAVELING SPIDER
