type,value,artifact_type,campaign_refs,malware_refs,infrastructure_refs,roles,context
md5,2d7c8780e97409770a9d4f31c66c9d63,,activity--daily-b8b3301d837c22e89850,malware--coolclient,,malware-sample,msagent.sys kernel-mode rootkit driver
md5,9460e150e1981d5c165043520c5c12fe,,activity--daily-b8b3301d837c22e89850,malware--coolclient,,malware-sample,msagent.sys kernel-mode rootkit driver
md5,9717f005c5fb98e08d2ad983d88f94ee,,activity--daily-b8b3301d837c22e89850,malware--coolclient,,malware-sample,libngs.dll first-stage loader
md5,f518d8e5fe70d9090f6280c68a95998f,,activity--daily-b8b3301d837c22e89850,malware--coolclient,,malware-sample,libngs.dll first-stage loader
md5,eb79558b037669792652a816e2c669de,,activity--daily-b8b3301d837c22e89850,malware--coolclient,,malware-sample,ctxmui.dll sample listed in the source IOC section
domain,cloudtroe.giize[.]com,,activity--daily-b8b3301d837c22e89850,malware--coolclient,,c2,CoolClient domain listed in the source IOC section
domain,employers.theworkpc[.]com,,activity--daily-b8b3301d837c22e89850,malware--coolclient,,c2,CoolClient domain listed in the source IOC section
domain,freeread.casacam[.]net,,activity--daily-b8b3301d837c22e89850,malware--coolclient,,c2,CoolClient domain listed in the source IOC section
domain,us.lenovoappstore[.]com,,activity--daily-b8b3301d837c22e89850,malware--coolclient,,c2,CoolClient domain listed in the source IOC section
domain,sundanish.freeddns[.]org,,activity--daily-b8b3301d837c22e89850,malware--coolclient,,c2,CoolClient domain listed in the source IOC section
domain,torinarlabs.webredirect[.]org,,activity--daily-b8b3301d837c22e89850,malware--coolclient,,c2,CoolClient domain listed in the source IOC section
domain,news.dursamjbataar[.]org,,activity--daily-b8b3301d837c22e89850,malware--coolclient,,c2,CoolClient domain listed in the source IOC section
domain,video.dursamjbataar[.]org,,activity--daily-b8b3301d837c22e89850,malware--coolclient,,c2,CoolClient domain listed in the source IOC section
domain,black-popular[.]com,,activity--daily-b8b3301d837c22e89850,malware--coolclient,,c2,CoolClient domain listed in the source IOC section
domain,whatismybestthing[.]com,,activity--daily-b8b3301d837c22e89850,malware--coolclient,,c2,CoolClient domain listed in the source IOC section
artifact,msagent.sys,file-name,activity--daily-b8b3301d837c22e89850,malware--coolclient,,malware-sample,Kernel-mode driver deployed by CoolClient
artifact,libngs.dll,file-name,activity--daily-b8b3301d837c22e89850,malware--coolclient,,malware-sample,First-stage loader in the CoolClient execution chain
artifact,ctxmui.dll,file-name,activity--daily-b8b3301d837c22e89850,malware--coolclient,,malware-sample,File listed in the source IOC section
artifact,C:\Program Files\microsoft\windows defender\,file-path,activity--daily-b8b3301d837c22e89850,malware--coolclient,,installation-path,Path listed in the source IOC section
artifact,C:\Program Files\windows media player\mediares\,file-path,activity--daily-b8b3301d837c22e89850,malware--coolclient,,installation-path,Path listed in the source IOC section
artifact,C:\ProgramData\symantecdir\,file-path,activity--daily-b8b3301d837c22e89850,malware--coolclient,,installation-path,Path listed in the source IOC section
artifact,C:\ProgramData\virtualstore\,file-path,activity--daily-b8b3301d837c22e89850,malware--coolclient,,installation-path,Path listed in the source IOC section
artifact,C:\Windows\identitycrl\production\,file-path,activity--daily-b8b3301d837c22e89850,malware--coolclient,,installation-path,Path listed in the source IOC section
artifact,C:\Windows\serviceprofiles\networkservice\,file-path,activity--daily-b8b3301d837c22e89850,malware--coolclient,,installation-path,Path listed in the source IOC section
artifact,C:\Users\<user>\AppData\Local\viber24.8\,file-path,activity--daily-b8b3301d837c22e89850,malware--coolclient,,installation-path,Path listed in the source IOC section
artifact,C:\Users\<user>\AppData\Roaming\dsassistant\,file-path,activity--daily-b8b3301d837c22e89850,malware--coolclient,,installation-path,Path listed in the source IOC section
artifact,C:\Program Files\common files\microsoft shared\office14\,file-path,activity--daily-b8b3301d837c22e89850,malware--coolclient,,installation-path,Path listed in the source IOC section
artifact,C:\programdata\msdn\,file-path,activity--daily-b8b3301d837c22e89850,malware--coolclient,,installation-path,Path listed in the source IOC section
