original_source_path,original_source_location,matched_name,context_excerpt
cybercrime/2024/infoblox-research-report-registered-dgas-the-prolific-new-menace-no-one-is-talking-about.pdf,"{""page"": 7}",TA569,z debtgenepub[.]live poemtrainsurprise[.]top quarterneighbourforward[.]xyz h87e1mbm0u5f85[.]xyz n8j1nau3os4otr[.]xyz xnnxr1jquyupjc[.]xyz xqajkr8fbrdryp0[.]xyz xryqcgcb2upb28k[.]xyz Prototypical DGA used by a SocGholish/TA569 affiliate VexTrio RDGA RDGA for a weight loss pill scam 1 3 2 RDGAs COME IN A VARIETY OF FORMS h87e1mbm0u5f85[.]xyz n8j1nau3os4otr[.]xyz arriveplanetsnow[.]buzz coatthinkverb[.]buzz debtgenepub[.]live lasa
microsoft-threat-actor-list.xlsx,"{""row"": 7, ""sheet"": ""alphabetical""}",DEV-0206,"BISMUTH Canvas Cyclone Vietnam APT32, OceanLotus DEV-0206 Mustard Tempest Financially motivated Purple Vallhund"
microsoft-threat-actor-list.xlsx,"{""row"": 7, ""sheet"": ""alphabetical""}",Mustard Tempest,"BISMUTH Canvas Cyclone Vietnam APT32, OceanLotus DEV-0206 Mustard Tempest Financially motivated Purple Vallhund"
microsoft-threat-actor-list.xlsx,"{""row"": 7, ""sheet"": ""alphabetical""}",Purple Vallhund,"BISMUTH Canvas Cyclone Vietnam APT32, OceanLotus DEV-0206 Mustard Tempest Financially motivated Purple Vallhund"
summary/2022/APT group Intelligence Research handbook-2022.pdf,"{""page"": 137}",TA569,129 2021 年 APT 组织情报图鉴 6.1.58 TA569 组织名 TA569 中文名 无 组织地理 未知 别名 无 历史目标 未知 目标行业 未知 发现时间 2016-06-01 最近活跃 2021-06-16 动机 勒索破坏 描述 TA569 是一个流量和负载销售商，以损害内容管理服务器和注入和重定向网络流量到一个社会工程工 具包而闻名。TA569 利用虚假更新来提示用户更新浏览器并下载恶意脚本。TA569 从 2016 年底就存 在了。TA569 与 2020 年出现的 WastedLo
summary/2022/APT group Intelligence Research handbook-2022.pdf,"{""page"": 137}",TA569,129 2021 年 APT 组织情报图鉴 6.1.58 TA569 组织名 TA569 中文名 无 组织地理 未知 别名 无 历史目标 未知 目标行业 未知 发现时间 2016-06-01 最近活跃 2021-06-16 动机 勒索破坏 描述 TA569 是一个流量和负载销售商，以损害内容管理服务器和注入和重定向网络流量到一个社会工程工 具包而闻名。TA569 利用虚假更新来提示用户更新浏览器并下载恶意脚本。TA569 从 2016 年底就存 在了。TA569 与 2020 年出现的 WastedLocker 勒索软件活
summary/2022/APT group Intelligence Research handbook-2022.pdf,"{""page"": 137}",TA569,129 2021 年 APT 组织情报图鉴 6.1.58 TA569 组织名 TA569 中文名 无 组织地理 未知 别名 无 历史目标 未知 目标行业 未知 发现时间 2016-06-01 最近活跃 2021-06-16 动机 勒索破坏 描述 TA569 是一个流量和负载销售商，以损害内容管理服务器和注入和重定向网络流量到一个社会工程工 具包而闻名。TA569 利用虚假更新来提示用户更新浏览器并下载恶意脚本。TA569 从 2016 年底就存 在了。TA569 与 2020 年出现的 WastedLocker 勒索软件活动有关，该活动利用了 SocGholish 假更新 框架来分发勒索软件。TA569 将这种勒索软件与俄罗斯一个名为 EvilCorp 的网络犯罪组织联系在一起。 知识关
summary/2022/APT group Intelligence Research handbook-2022.pdf,"{""page"": 137}",TA569,129 2021 年 APT 组织情报图鉴 6.1.58 TA569 组织名 TA569 中文名 无 组织地理 未知 别名 无 历史目标 未知 目标行业 未知 发现时间 2016-06-01 最近活跃 2021-06-16 动机 勒索破坏 描述 TA569 是一个流量和负载销售商，以损害内容管理服务器和注入和重定向网络流量到一个社会工程工 具包而闻名。TA569 利用虚假更新来提示用户更新浏览器并下载恶意脚本。TA569 从 2016 年底就存 在了。TA569 与 2020 年出现的 WastedLocker 勒索软件活动有关，该活动利用了 SocGholish 假更新 框架来分发勒索软件。TA569 将这种勒索软件与俄罗斯一个名为 EvilCorp 的网络犯罪组织联系在一起。 知识关联 报告数量 威胁指示器数量 网络基础设施数量 恶意样本数量 利用漏洞数量 1 0 0 0 0 最近发布报告
summary/2022/APT group Intelligence Research handbook-2022.pdf,"{""page"": 14}",TA569,的 APT 组织占比逐渐提高，新发现的 63 个组织中有 14 个以此为活动目标，主要的表现形式为勒索、挖矿，比较新型的获益形式则是出售受 害目标单位的访问权限，如 UNC1945 组织和 TA547 组织，这类组织在获取受害单 位权限前后表现出截然不同的攻击技术手段以及攻击意图的差别。 ● 恶意软件即服务（MaaS）在APT 组织中逐渐流行，除了降低 APT 组织攻击成本之外 还加大了攻击者归因的难度。以 TA 系列组织为例包括： TA569、TA800、TA577、 TA551、TA570 等 ，在初始阶段使用 Trick、Dridex、Qbot、IcedID、ZLoader、
summary/2023/Secureworks_NC3_2022StateoftheThreat.pdf,"{""page"": 24}",GOLD PRELUDE,"as an Alternative Distribution Method 'Drive-by-downloads' continue to be a popular alternative to phishing- based malware distribution. Notable examples include the prolific SocGholish malware framework, operated by GOLD PRELUDE 33, and the Gootloader JavaScript-based loader distributed by the GOLD ZODIAC34 threat group. A user visits a compromised website that triages the visitor and serves up a series of redirects that ultimately deliver"
