original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 13, ""sheet"": ""China""}",Lotus Panda,"Naikon Lotus Panda PLA Unit 78020 Naikon APT30 Thrip, Billbug G0019 Naikon Camera Shy RARSTONE, BACKSPACe, NETEAGLE, XSControl satellite communications operator, Telecoms, and Defense Companies, Hong Kong https://securelist.com/analysis/p"
APT Groups and Operations.xlsx,"{""row"": 13, ""sheet"": ""China""}",Naikon,"Naikon Lotus Panda PLA Unit 78020 Naikon APT30 Thrip, Billbug G0019 Naikon Camera Shy RARSTONE, BACKSPACe, NETEAGLE, XSControl satellite communications operator, Telecoms, and Defense Companies, Hong Kong https://securelist.co"
APT Groups and Operations.xlsx,"{""row"": 13, ""sheet"": ""China""}",Naikon,"Naikon Lotus Panda PLA Unit 78020 Naikon APT30 Thrip, Billbug G0019 Naikon Camera Shy RARSTONE, BACKSPACe, NETEAGLE, XSControl satellite communications operator, Telecoms, and Defense Companies, Hong Kong https://securelist.com/analysis/publications/69953/the-"
APT Groups and Operations.xlsx,"{""row"": 13, ""sheet"": ""China""}",PLA Unit 78020,"Naikon Lotus Panda PLA Unit 78020 Naikon APT30 Thrip, Billbug G0019 Naikon Camera Shy RARSTONE, BACKSPACe, NETEAGLE, XSControl satellite communications operator, Telecoms, and Defense Companies, Hong Kong https://securelist.com/analysis/publications/699"
APT Groups and Operations.xlsx,"{""row"": 13, ""sheet"": ""China""}","Thrip, Billbug","Naikon Lotus Panda PLA Unit 78020 Naikon APT30 Thrip, Billbug G0019 Naikon Camera Shy RARSTONE, BACKSPACe, NETEAGLE, XSControl satellite communications operator, Telecoms, and Defense Companies, Hong Kong https://securelist.com/analysis/publications/69953/the-naikon-apt/ http://bl"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 162}",Lotus Panda,"Threat Group Cards: A Threat Actor Encyclopedia 162 Naikon, Lotus Panda Names Naikon (Kaspersky) Hellsing (Kaspersky) Lotus Panda (CrowdStrike) Country China Sponsor State-sponsored, PLA Unit 78020 Motivation Information theft and espionage Description Naikon is a threat group that h"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 162}",Naikon,"Threat Group Cards: A Threat Actor Encyclopedia 162 Naikon, Lotus Panda Names Naikon (Kaspersky) Hellsing (Kaspersky) Lotus Panda (CrowdStrike) Country China Sponsor State-sponsored, PLA Unit 78020 Motivation Information theft and espionage Description Naikon is a threat"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 27}",Naikon,"iant) Override Panda (CrowdStrik) Country China Sponsor State-sponsored Motivation Information theft and espionage Description APT 30 is a threat group suspected to be associated with the Chinese government. While Naikon shares some characteristics with APT 30, the two groups do not appear to be exact matches. (FireEye) When our Singapore-based FireEye labs team examined malware aimed predominantly at entities in Southeast Asia and"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 5}",Lotus Panda,"............................. 158 Mustang Panda ............................................................................................................................................................. 161 Naikon, Lotus Panda ................................................................................................................................................... 162 Neodymium ........................................................"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 5}",Naikon,"..................................... 158 Mustang Panda ............................................................................................................................................................. 161 Naikon, Lotus Panda ................................................................................................................................................... 162 Neodymium ..........................................."
