original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 18, ""sheet"": ""China""}",APT21,NetTraveler Lanzhou PLA Unit NetTraveler APT21 NetTraveler This threat actor targets computer networks associated with Tibetan and Uyghur activists for espionage purposes. https://securelist.com/blog/research/35936/nettraveler-is-running-red-star-apt-attacks-comprom
APT Groups and Operations.xlsx,"{""row"": 18, ""sheet"": ""China""}",Lanzhou PLA Unit,NetTraveler Lanzhou PLA Unit NetTraveler APT21 NetTraveler This threat actor targets computer networks associated with Tibetan and Uyghur activists for espionage purposes. https://securelist.com/blog/research/35936/nettraveler-is-running-red-star-a
APT Groups and Operations.xlsx,"{""row"": 18, ""sheet"": ""China""}",NetTraveler,NetTraveler Lanzhou PLA Unit NetTraveler APT21 NetTraveler This threat actor targets computer networks associated with Tibetan and Uyghur activists for espionage purposes. https://securelist.com/blog/research/35936/nettraveler-is-r
APT Groups and Operations.xlsx,"{""row"": 18, ""sheet"": ""China""}",NetTraveler,NetTraveler Lanzhou PLA Unit NetTraveler APT21 NetTraveler This threat actor targets computer networks associated with Tibetan and Uyghur activists for espionage purposes. https://securelist.com/blog/research/35936/nettraveler-is-running-red-star-apt-attacks-c
APT Groups and Operations.xlsx,"{""row"": 3, ""sheet"": ""README""}",NetTraveler,"at answers questions like ""I read a report about the 'Tsar Team', is there another name for that group?"" or ""Attackers used 'China Chopper' webshell, which of the APT groups did use that shell too?"" or ""Did he just say 'NetTraveler'? So, does he talk about Chinese or Russian attackers?"" 1. Step Use Ctrl+F / Command+F to bring up the search field, then click on the dotted vectical line next to the ""X"""
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 165}",NetTraveler,"Threat Group Cards: A Threat Actor Encyclopedia 165 NetTraveler, APT 21 Names NetTraveler (Kaspersky) APT 21 (Mandiant) Country China Motivation Information theft and espionage Description (Kaspersky) Over the last few years, we have been monitoring a cyber-espionage campaign"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 165}",NetTraveler,"Threat Group Cards: A Threat Actor Encyclopedia 165 NetTraveler, APT 21 Names NetTraveler (Kaspersky) APT 21 (Mandiant) Country China Motivation Information theft and espionage Description (Kaspersky) Over the last few years, we have been monitoring a cyber-espionage campaign that has successfully compr"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 165}",NetTraveler,"last few years, we have been monitoring a cyber-espionage campaign that has successfully compromised more than 350 high profile victims in 40 countries. The main tool used by the threat actors during these attacks is NetTraveler, a malicious program used for covert computer surveillance. The name NetTraveler comes from an internal string which is present in early versions of the malware: NetTraveler Is Running! This malware is used by APT ac"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 5}",APT 21,"...................... 162 Neodymium ................................................................................................................................................................... 164 NetTraveler, APT 21 .................................................................................................................................................... 165 Night Dragon ...................................................."
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 5}",NetTraveler,"................................... 162 Neodymium ................................................................................................................................................................... 164 NetTraveler, APT 21 .................................................................................................................................................... 165 Night Dragon ............................................"
