original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 15, ""sheet"": ""China""}",Night Dragon,"APT6 APT6 1.php Group Poison Ivy, US Government Organizations Overlaps with Operation Night Dragon https://motherboard.vice.com/read/fbi-flash-alert-hacking-group-has-had-access-to-us-govt-files-for-years https://www.zscaler.com/pdf/technicalbriefs/tb_advanced_persistent_threats.pdf https://www.zscaler.com/blogs/rese"
APT Groups and Operations.xlsx,"{""row"": 61, ""sheet"": ""China""}",Night Dragon,"Night Dragon Night Dragon G0014 A threat actor compromised U.S. oil companies through spear phishing and remote administration tools. Oil, Energy and Petrochemical (OpNightDragon) https://kc.mcafee.com/corporate/index?page=content&i"
APT Groups and Operations.xlsx,"{""row"": 61, ""sheet"": ""China""}",Night Dragon,"Night Dragon Night Dragon G0014 A threat actor compromised U.S. oil companies through spear phishing and remote administration tools. Oil, Energy and Petrochemical (OpNightDragon) https://kc.mcafee.com/corporate/index?page=content&id=KB71150 htt"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 166}",Night Dragon,"Threat Group Cards: A Threat Actor Encyclopedia 166 Night Dragon Names Night Dragon (McAfee) Country China Motivation Information theft and espionage Description (McAfee) Starting in November 2009, coordinated covert and targeted cyberattacks have been conducted against global o"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 166}",Night Dragon,"Threat Group Cards: A Threat Actor Encyclopedia 166 Night Dragon Names Night Dragon (McAfee) Country China Motivation Information theft and espionage Description (McAfee) Starting in November 2009, coordinated covert and targeted cyberattacks have been conducted against global oil, energy, and petr"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 5}",Night Dragon,"........................................ 164 NetTraveler, APT 21 .................................................................................................................................................... 165 Night Dragon ................................................................................................................................................................. 166 Nightshade Panda, APT 9, Group 27 .................."
International Strategic/China/china-cyber-report.pdf,"{""page"": 34}",Night Dragon,"nvolving the MSS-linked392 APT17393 394 and an unspecified PLA group other than APT1.395 396 This 2011–2012 oil and gas operator intrusion and Telvent breach are likely not directly related to the then-long running Night Dragon campaign. From at least 2009 until 2011, a PRC-aligned threat group conducted targeted intrusions against global energy companies. Inconsistent with the honeypot anecdote, these actors sought project-financing infor"
International Strategic/China/china-cyber-report.pdf,"{""page"": 34}",Night Dragon,"energy companies. Inconsistent with the honeypot anecdote, these actors sought project-financing information for oil-and-gas operators, as well as data from field production SCADA systems.397 This behavior suggests Night Dragon had a likely economic espionage objective rather than pre-positioning. In addition, Mandiant assessed that its APT1 group did not relate to Night Dragon.398 For more information, refer to the activity cluster APT1 in"
International Strategic/China/china-cyber-report.pdf,"{""page"": 34}",Night Dragon,"from field production SCADA systems.397 This behavior suggests Night Dragon had a likely economic espionage objective rather than pre-positioning. In addition, Mandiant assessed that its APT1 group did not relate to Night Dragon.398 For more information, refer to the activity cluster APT1 in Appendix A . Case Study # 11 The aircraft carrier USS Ronald Reagan (CVN 76) 30"
International Strategic/China/china-cyber-report.pdf,"{""page"": 65}",Night Dragon,"mber 13, 2011), https://web.archive.org/ web/201111130 6 4 824/ht tp://w w w.zdnet.co.uk/news/securi- ty-threats/2011/10/11/rsa-nation-state-double-teamed-on-securid-at - tack-40094162. 397 “Global Energy Cyberattacks: ‘Night Dragon’,” McAfee, February 10, 2011, accessed March 25, 2022, (archived by Internet Archive on February 18, 2011), https://web.archive.org/web/20110218091458/ http://www.mcafee.com/us/resources/white-papers/wp-global-ener -"
