original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 62, ""sheet"": ""China""}",APT9,"Nightshade Panda Nightshade Panda APT9 FlowerLady Poison Ivy, PlugX, BIGJOLT,FUNRUN,GH0ST,HOMEUNIX,JIM A,PHOTO,POISON IVY,SKINNYGENE,SOGU,VICEROY,VIPSH ELL,WETHEAD,XDOOR,ZXSHELL HK, US, SG, MY, JP, IN, KR, TH, TW - Aerospace, Agriculture, Construction, Energ"
APT Groups and Operations.xlsx,"{""row"": 62, ""sheet"": ""China""}",FlowerLady,"Nightshade Panda Nightshade Panda APT9 FlowerLady Poison Ivy, PlugX, BIGJOLT,FUNRUN,GH0ST,HOMEUNIX,JIM A,PHOTO,POISON IVY,SKINNYGENE,SOGU,VICEROY,VIPSH ELL,WETHEAD,XDOOR,ZXSHELL HK, US, SG, MY, JP, IN, KR, TH, TW - Aerospace, Agriculture, Construction, Energy, Healthca"
APT Groups and Operations.xlsx,"{""row"": 62, ""sheet"": ""China""}",Nightshade Panda,"Nightshade Panda Nightshade Panda APT9 FlowerLady Poison Ivy, PlugX, BIGJOLT,FUNRUN,GH0ST,HOMEUNIX,JIM A,PHOTO,POISON IVY,SKINNYGENE,SOGU,VICEROY,VIPSH ELL,WETHEAD,XDOOR,ZXSHELL HK, US, SG, MY, JP, IN, KR, TH, TW - Aerospace, Agricultur"
APT Groups and Operations.xlsx,"{""row"": 62, ""sheet"": ""China""}",Nightshade Panda,"Nightshade Panda Nightshade Panda APT9 FlowerLady Poison Ivy, PlugX, BIGJOLT,FUNRUN,GH0ST,HOMEUNIX,JIM A,PHOTO,POISON IVY,SKINNYGENE,SOGU,VICEROY,VIPSH ELL,WETHEAD,XDOOR,ZXSHELL HK, US, SG, MY, JP, IN, KR, TH, TW - Aerospace, Agriculture, Construction,"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 167}",APT 9,"Threat Group Cards: A Threat Actor Encyclopedia 167 Nightshade Panda, APT 9, Group 27 Names Nightshade Panda (CrowdStrike) APT 9 (Mandiant) Group 27 (ASERT) Country China Motivation Information theft and espionage Description (Softpedia) Arbor’s ASERT team is now reporting that, after loo"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 167}",Nightshade Panda,"Threat Group Cards: A Threat Actor Encyclopedia 167 Nightshade Panda, APT 9, Group 27 Names Nightshade Panda (CrowdStrike) APT 9 (Mandiant) Group 27 (ASERT) Country China Motivation Information theft and espionage Description (Softpedia) Arbor’s ASERT team is now reporting that, af"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 167}",Nightshade Panda,"Threat Group Cards: A Threat Actor Encyclopedia 167 Nightshade Panda, APT 9, Group 27 Names Nightshade Panda (CrowdStrike) APT 9 (Mandiant) Group 27 (ASERT) Country China Motivation Information theft and espionage Description (Softpedia) Arbor’s ASERT team is now reporting that, after looking deeper at that particular ca"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 5}",APT 9,"................ 165 Night Dragon ................................................................................................................................................................. 166 Nightshade Panda, APT 9, Group 27 ........................................................................................................................ 167 Nitro, Covert Grove ..............................................................."
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 5}",Nightshade Panda,".................................. 165 Night Dragon ................................................................................................................................................................. 166 Nightshade Panda, APT 9, Group 27 ........................................................................................................................ 167 Nitro, Covert Grove ........................................................"
Threat Group Cards.pdf,"{""page"": 167}",APT 9,"Threat Group Cards: A Threat Actor Encyclopedia 167 Nightshade Panda, APT 9, Group 27 Names Nightshade Panda (CrowdStrike) APT 9 (Mandiant) Group 27 (ASERT) Country China Motivation Information theft and espionage Description (Softpedia) Arbor’s ASERT team is now reporting that, after loo"
Threat Group Cards.pdf,"{""page"": 167}",Nightshade Panda,"Threat Group Cards: A Threat Actor Encyclopedia 167 Nightshade Panda, APT 9, Group 27 Names Nightshade Panda (CrowdStrike) APT 9 (Mandiant) Group 27 (ASERT) Country China Motivation Information theft and espionage Description (Softpedia) Arbor’s ASERT team is now reporting that, af"
Threat Group Cards.pdf,"{""page"": 167}",Nightshade Panda,"Threat Group Cards: A Threat Actor Encyclopedia 167 Nightshade Panda, APT 9, Group 27 Names Nightshade Panda (CrowdStrike) APT 9 (Mandiant) Group 27 (ASERT) Country China Motivation Information theft and espionage Description (Softpedia) Arbor’s ASERT team is now reporting that, after looking deeper at that particular ca"
Threat Group Cards.pdf,"{""page"": 5}",APT 9,".......................................... 165 Night Dragon ....................................................................................................................................... 166 Nightshade Panda, APT 9, Group 27.............................................................................................. 167 Nitro, Covert Grove .........................................................................................."
Threat Group Cards.pdf,"{""page"": 5}",Nightshade Panda,"............................................................ 165 Night Dragon ....................................................................................................................................... 166 Nightshade Panda, APT 9, Group 27.............................................................................................. 167 Nitro, Covert Grove ..................................................................................."
Threat_Group_Cards_v2.0.pdf,"{""page"": 218}",FlowerLady,"Threat Group Cards: A Threat Actor Encyclopedia 218 Nightshade Panda, APT 9, Group 27 Names Nightshade Panda (CrowdStrike) APT 9 (Mandiant) Group 27 (ASERT) FlowerLady (Context) FlowerShow (Context) Country China Motivation Information theft and espionage First seen 2013 Description (Softpedia) Arbor’s ASERT team is now reporting that, after looking deeper at that particular cam"
Threat_Group_Cards_v2.0.pdf,"{""page"": 218}",Nightshade Panda,"Threat Group Cards: A Threat Actor Encyclopedia 218 Nightshade Panda, APT 9, Group 27 Names Nightshade Panda (CrowdStrike) APT 9 (Mandiant) Group 27 (ASERT) FlowerLady (Context) FlowerShow (Context) Country China Motivation Information theft and espionage First seen 2013 Descrip"
Threat_Group_Cards_v2.0.pdf,"{""page"": 218}",Nightshade Panda,"Threat Group Cards: A Threat Actor Encyclopedia 218 Nightshade Panda, APT 9, Group 27 Names Nightshade Panda (CrowdStrike) APT 9 (Mandiant) Group 27 (ASERT) FlowerLady (Context) FlowerShow (Context) Country China Motivation Information theft and espionage First seen 2013 Description (Softpedia) Arbor’s ASERT team is no"
Threat_Group_Cards_v2.0.pdf,"{""page"": 6}",APT 9,"cyclopedia 6 Night Dragon ................................................................................................................................................................. 217 Nightshade Panda, APT 9, Group 27 ........................................................................................................................ 218 NineBlog .........................................................................."
Threat_Group_Cards_v2.0.pdf,"{""page"": 6}",Nightshade Panda,"A Threat Actor Encyclopedia 6 Night Dragon ................................................................................................................................................................. 217 Nightshade Panda, APT 9, Group 27 ........................................................................................................................ 218 NineBlog ..................................................................."
summary/2024/threat actor list from cs.csv,"{""row"": 236}",APT9,"APT9, Flowerlady/Flowershow Dec 2013 Retired China 3 2 Targeted State-Sponsored"
summary/2024/threat actor list from cs.csv,"{""row"": 236}",Flowerlady,"APT9, Flowerlady/Flowershow Dec 2013 Retired China 3 2 Targeted State-Sponsored"
