original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 25, ""sheet"": ""Unknown""}",Orangeworm,"Orangeworm Kwampirs backdoor Known victims include healthcare providers, pharmaceuticals, IT solution providers for healthcare and equipment manufacturers that serve the healthcare industry, likely for the purpose of corporate esp"
APT Groups and Operations.xlsx,"{""row"": 25, ""sheet"": ""Unknown""}",orangeworm,"ealthcare and equipment manufacturers that serve the healthcare industry, likely for the purpose of corporate espionage Possibly FIN10 Tracked by Symantec cybercriminal https://www.symantec.com/blogs/threat-intelligence/orangeworm-targets-healthcare-us-europe-asia https://www.databreaches.net/team-orangeworm-claims-to-be-dumping-carepartners-data-from-2018-breach/ https://www.databreaches.net/team_orangeworm-issues-new-threats-to-carepartners/ ht"
APT Groups and Operations.xlsx,"{""row"": 25, ""sheet"": ""Unknown""}",orangeworm,y for the purpose of corporate espionage Possibly FIN10 Tracked by Symantec cybercriminal https://www.symantec.com/blogs/threat-intelligence/orangeworm-targets-healthcare-us-europe-asia https://www.databreaches.net/team-orangeworm-claims-to-be-dumping-carepartners-data-from-2018-breach/ https://www.databreaches.net/team_orangeworm-issues-new-threats-to-carepartners/ https://lab52.io/blog/orangeworm-group-kwampirs-analysis-update/ https://blog.rev
APT Groups and Operations.xlsx,"{""row"": 25, ""sheet"": ""Unknown""}",orangeworm,symantec.com/blogs/threat-intelligence/orangeworm-targets-healthcare-us-europe-asia https://www.databreaches.net/team-orangeworm-claims-to-be-dumping-carepartners-data-from-2018-breach/ https://www.databreaches.net/team_orangeworm-issues-new-threats-to-carepartners/ https://lab52.io/blog/orangeworm-group-kwampirs-analysis-update/ https://blog.reversinglabs.com/blog/unpacking-kwampirs-rat
APT Groups and Operations.xlsx,"{""row"": 25, ""sheet"": ""Unknown""}",orangeworm,us-europe-asia https://www.databreaches.net/team-orangeworm-claims-to-be-dumping-carepartners-data-from-2018-breach/ https://www.databreaches.net/team_orangeworm-issues-new-threats-to-carepartners/ https://lab52.io/blog/orangeworm-group-kwampirs-analysis-update/ https://blog.reversinglabs.com/blog/unpacking-kwampirs-rat
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 179}",Orangeworm,Threat Group Cards: A Threat Actor Encyclopedia 179 Orangeworm Names Orangeworm (Symantec) Country [Unknown] Motivation Information theft and espionage Description (Symantec) Symantec has identified a previously unknown group called Orangeworm that has been observed installing
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 179}",Orangeworm,Threat Group Cards: A Threat Actor Encyclopedia 179 Orangeworm Names Orangeworm (Symantec) Country [Unknown] Motivation Information theft and espionage Description (Symantec) Symantec has identified a previously unknown group called Orangeworm that has been observed installing a custom backdoor
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 179}",Orangeworm,"t Actor Encyclopedia 179 Orangeworm Names Orangeworm (Symantec) Country [Unknown] Motivation Information theft and espionage Description (Symantec) Symantec has identified a previously unknown group called Orangeworm that has been observed installing a custom backdoor called Trojan.Kwampirs within large international corporations that operate within the healthcare sector in the United States, Europe, and Asia. First identified"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 179}",Orangeworm,"served installing a custom backdoor called Trojan.Kwampirs within large international corporations that operate within the healthcare sector in the United States, Europe, and Asia. First identified in January 2015, Orangeworm has also conducted targeted attacks against organizations in related industries as part of a larger supply-chain attack in order to reach their intended victims. Known victims include healthcare providers, pharmaceut"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 5}",Orangeworm,............................................ 177 Operation Potao Express ............................................................................................................................................ 178 Orangeworm ................................................................................................................................................................. 179 PassCV .............................................
