original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 40, ""sheet"": ""China""}",China Cracking Group,"PassCV TG-3279 Winnti Umbrella, China Cracking Group, Sabre, Kitkiot, Conpee, Etso, Runxx, dnsenum, s (custom port scanner), rdp_crk, icmp_shell, Jynxkit, Gh0st RAT, NetCommander, Carberp RAT Gaming Companies Winnti Personas: Laurentiu Moon, Sincoder https://blog.cylance"
APT Groups and Operations.xlsx,"{""row"": 40, ""sheet"": ""China""}",PassCV,"PassCV TG-3279 Winnti Umbrella, China Cracking Group, Sabre, Kitkiot, Conpee, Etso, Runxx, dnsenum, s (custom port scanner), rdp_crk, icmp_shell, Jynxkit, Gh0st RAT, NetCommander, Carberp RAT Gaming Companies Winnti Personas:"
APT Groups and Operations.xlsx,"{""row"": 40, ""sheet"": ""China""}",TG-3279,"PassCV TG-3279 Winnti Umbrella, China Cracking Group, Sabre, Kitkiot, Conpee, Etso, Runxx, dnsenum, s (custom port scanner), rdp_crk, icmp_shell, Jynxkit, Gh0st RAT, NetCommander, Carberp RAT Gaming Companies Winnti Personas: Laurent"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 180}",PassCV,Threat Group Cards: A Threat Actor Encyclopedia 180 PassCV Names PassCV (Blue Coat Systems) Country China Sponsor State-sponsored Motivation Information theft and espionage Description (Cylance) Snorre Fagerland of Blue Coat Systems first coined the term PassCV in a blog
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 180}",PassCV,Threat Group Cards: A Threat Actor Encyclopedia 180 PassCV Names PassCV (Blue Coat Systems) Country China Sponsor State-sponsored Motivation Information theft and espionage Description (Cylance) Snorre Fagerland of Blue Coat Systems first coined the term PassCV in a blog post. His post
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 180}",PassCV,"180 PassCV Names PassCV (Blue Coat Systems) Country China Sponsor State-sponsored Motivation Information theft and espionage Description (Cylance) Snorre Fagerland of Blue Coat Systems first coined the term PassCV in a blog post. His post provides a good introduction to the group and covers some of the older infrastructure, stolen code-signing certificate reuse, and other connections associated with the PassCV malware. There a"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 180}",PassCV,"coined the term PassCV in a blog post. His post provides a good introduction to the group and covers some of the older infrastructure, stolen code-signing certificate reuse, and other connections associated with the PassCV malware. There are several clues alluding to the possibility that multiple groups may be utilizing the same stolen signing certificates, but at this time SPEAR believes the current attacks are more likely being perpe"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 5}",PassCV,".................................... 178 Orangeworm ................................................................................................................................................................. 179 PassCV .......................................................................................................................................................................... 180 Patchwork, Dropping Elephant .............."
International Strategic/China/china-cyber-report.pdf,"{""page"": 47}",PassCV,"and financial crime activity under a single overarching entity, thus tracked by the name “ Winnti Umbrella.”592 Protectwise attributes this activity to China’s intelligence apparatus. This umbrella encompasses Winnti, PassCV, APT17, Axiom, Lead, Barium, Wicked Panda, and GREF. TG-2633 (a.k.a. Threat Group – 2633) SecureWorks 593 SecureWorks tracks Kaspersky’s Winnti Group as TG-2633 . SecureWorks also assessed that TG-2633 may be relate"
International Strategic/China/china-cyber-report.pdf,"{""page"": 47}",PassCV,"ps, software companies, academic institutions, and government agencies worldwide.”604 Novetta found possible associations between Axiom and numer- ous other groups but did not assess any one-to-one interchangeability. PassCV Blue Coat Systems Cylance Blue Coat Systems, a firm later acquired by Symantec and then Broadcom, originated the name PassCV in 2014, referring to a malware strain using code- signing certificates from gaming compani"
International Strategic/China/china-cyber-report.pdf,"{""page"": 47}",PassCV,"een Axiom and numer- ous other groups but did not assess any one-to-one interchangeability. PassCV Blue Coat Systems Cylance Blue Coat Systems, a firm later acquired by Symantec and then Broadcom, originated the name PassCV in 2014, referring to a malware strain using code- signing certificates from gaming companies, mainly in South Korea, and linked it to Winnti Group and Chinese-speaking individuals with activity going back to at least"
International Strategic/China/china-cyber-report.pdf,"{""page"": 47}",PassCV,"cates from gaming companies, mainly in South Korea, and linked it to Winnti Group and Chinese-speaking individuals with activity going back to at least 2007. 605 In 2016, Cylance, now part of BlackBerry, assessed that PassCV was stealing code-signing certificates from gaming companies and had expanded its operations to target entities in the U.S., Russia, China, and Taiwan. 606 43"
