original_source_path,original_source_location,matched_name,context_excerpt
AISecurity/2025/Trends_Artificial_Intelligence.pdf,"{""page"": 296}",Play,"…LLM User Share – Mobile App Downloads + Users = ChatGPT Supporting Strong Momentum… 295 Global Statistics on Apple App Store + Google Play Store – 2/25-4/25, per Sensor Tower Downloads (MM) MAUs (MM) 2/25 3/25 4/25 2/25 3/25 4/25 LLM Apps ChatGPT 56MM 80MM 124MM 378MM 432MM 530MM DeepSeek 34 20 18 43 48 55 Grok 4 14 16 3 16 31 Gemini* 16 17 15 20 21 21 Pe"
AISecurity/2025/Trends_Artificial_Intelligence.pdf,"{""page"": 83}",Play,"82 Minutes per Day that USA Active Users Spend on ChatGPT App – 7/23-4/25, per Sensor Tower Note: Data represents USA App Store & Google Play Store monthly active users. Data for ChatGPT standalone app only. ChatGPT app not available in China, Russia and select other countries as of 5/25. Source: Sensor Tower (5/25) AI Engagement (ChatGPT App as Proxy) = +20"
AISecurity/2025/Trends_Artificial_Intelligence.pdf,"{""page"": 84}",Play,"83 Note: Data represents USA App Store & Google Play Store monthly active users. Data for ChatGPT standalone app only. ChatGPT app not available in China, Russia and select other countries as of 5/25. Source: Sensor Tower (5/25) …AI Engagement (ChatGPT App as Proxy) = +1"
AISecurity/CTI/Searching_for_Diamonds_Cross-Domain_Opportunities_in_Cyber_Threat_Intelligence.pdf,"{""page"": 9}",Play,"3] intro- duce Hark, a modular, end-to-end lifecycle founded on five task-specific T5-11B models designed to extract and structure privacy-related information from unstructured text. When ap- plied to 626 million Google Play reviews, Hark achieves an impressive accuracy rate of 96% in abstractive issue genera- tion and identifies over 300 high-level semantic themes, sup- ported by clustering and emotion-aware annotation modules. Although no"
AISecurity/OWASP Top 10 for LLM Applications 2025.pdf,"{""page"": 19}",Play,"the model with a tampered version that leads the user to scam sites. Users are encouraged to dowload the app directly via social engineering techniques. This is a ""real attack on predictive AI"" that affected 116 Google Play apps including popular security and safety-critical applications used for as cash recognition, parental control, face authentication, and financial service. (Ref. link: real attack on predictive AI) Scenario #12: Datase"
APT28/CSA_RUSSIAN_GRU_TARGET_LOGISTICS.pdf,"{""page"": 14}",Play,"If remote access to IP camera feeds is required, ensure authentication is enabled [D3-AA] and use a VPN to connect remotely [D3-ET]. Use MFA for management accounts if supported [D3-MFA].  Disable Universal Plug and Play (UPnP), Peer-to-Peer (P2P), and Anonymous Visit features on IP cameras and routers [D3-NI].  Turn off other ports/services not in use (e.g., FTP, web interface, etc.) [D3-ACH].  If supported, enable authenticated R"
APT28/CSA_RUSSIAN_GRU_TARGET_LOGISTICS.pdf,"{""page"": 31}",Play,"anies 31 Appendix C: MITRE D3FEND Countermeasures Table 16: MITRE D3FEND countermeasures Countermeasure Title ID Details Network Isolation D3-NI Employ appropriate network segmentation. Disable Universal Plug and Play (UPnP), Peer-to-Peer (P2P), and Anonymous Visit features on IP cameras and routers. Access Mediation D3-AMED Limit access and utilize additional attributes (such as device information, environment, and access path)"
Arid Viper/Technical-threat-report-Arid-Viper-April-2021.pdf,"{""page"": 22}",Play,"e sensitive user data, the Android malware purely relies on a user granting it the required permissions upon installation. In some cases, the Android malware contained functionality that forced targets to disable Google Play Protect and give the app device admin permissions, making it harder to remove."
Arid Viper/Technical-threat-report-Arid-Viper-April-2021.pdf,"{""page"": 6}",Play,"typically hosted on convincing looking attacker- controlled phishing sites. At the time of writing, we discovered 41 such sites. While Arid Viper tooling has previously been discovered in official app channels like the Play Store, this was not found to be the case in this instance. iOS malware was previously found to be distributed from a 3rd party Chinese app development site. After engagement with industry partners which led to the revoc"
Cellebrite/Amnesty-Cellebrite.pdf,"{""page"": 30}",Play,"puter user “spartan” made a series of changes on the device. Some changes were made automatically using ADB, and other manual steps were taken to disable security features such as automatic security updates and Google Play Protect. Time (local time) Event 2024-10-01 10:17 (approx) Police interview begins. Phone left unattended 2024-10-01 10:20:45 Phone turned on 2024-10-01 10:24:03 USB cable connected 2024-10-01 10:24:23 Android d"
