original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 88, ""sheet"": ""China""}",Earth Empusa,"Poison Carp Earth Empusa ActionSpy, ScanBox, BeEF, Evil Eye This threat actor targets smartphones associated with Tibetan and Uyghur activists for espionage purposes. Strategic web compromise (watering hole) https://citizenlab.ca/2019/09/poison"
APT Groups and Operations.xlsx,"{""row"": 88, ""sheet"": ""China""}",Poison Carp,"Poison Carp Earth Empusa ActionSpy, ScanBox, BeEF, Evil Eye This threat actor targets smartphones associated with Tibetan and Uyghur activists for espionage purposes. Strategic web compromise (watering hole) https://citizenlab.ca/2"
Threat_Group_Cards_v2.0.pdf,"{""page"": 259}",Earth Empusa,"Threat Group Cards: A Threat Actor Encyclopedia 259 Poison Carp, Evil Eye Names Poison Carp (Citizen Lab) Evil Eye (Volexity) Earth Empusa (Trend Micro) Country China Motivation Information theft and espionage First seen 2018 Description (Citizen Lab)  Between November 2018 and May 2019, senior members of Tibetan groups received malicious links in i"
Threat_Group_Cards_v2.0.pdf,"{""page"": 259}",POISON CARP,"gned to exploit web browser vulnerabilities to install spyware on iOS and Android devices, and in some cases to OAuth phishing pages. This campaign was carried out by what appears to be a single operator that we call POISON CARP.  We observed POISON CARP employing a total of eight Android browser exploits and one Android spyware kit, as well as one iOS exploit chain and iOS spyware. None of the exploits that we observed were zero days. POIS"
Threat_Group_Cards_v2.0.pdf,"{""page"": 259}",Poison Carp,"Threat Group Cards: A Threat Actor Encyclopedia 259 Poison Carp, Evil Eye Names Poison Carp (Citizen Lab) Evil Eye (Volexity) Earth Empusa (Trend Micro) Country China Motivation Information theft and espionage First seen 2018 Description (Citizen Lab)  Between November 2018"
Threat_Group_Cards_v2.0.pdf,"{""page"": 259}",Poison Carp,"Threat Group Cards: A Threat Actor Encyclopedia 259 Poison Carp, Evil Eye Names Poison Carp (Citizen Lab) Evil Eye (Volexity) Earth Empusa (Trend Micro) Country China Motivation Information theft and espionage First seen 2018 Description (Citizen Lab)  Between November 2018 and May 2019, senior members"
Threat_Group_Cards_v2.0.pdf,"{""page"": 6}",Poison Carp,".............................. 256 Platinum ......................................................................................................................................................................... 257 Poison Carp, Evil Eye .................................................................................................................................................. 259 Poseidon Group .........................................."
cybercrime/2025/Virtual-Routes-Pharos-Report-Series-No.-3.pdf,"{""page"": 23}",Poison Carp,"documents disclose command-and-control infrastructure, offensive tooling, and victimology, which align with suspected Chinese cyber-espionage clusters tracked by the threat intelligence community, including APT41 and Poison Carp.57 The leaked documents indicate that the pricing of i-Soon’s diverse range of services has varied depending on the complexity and scope of the operation, the size or relevance of the target, and the resources requir"
summary/2022/APT group Intelligence Research handbook-2022.pdf,"{""page"": 167}",POISON CARP,159 2021 年 APT 组织情报图鉴 6.2.25 POISON CARP 组织名 POISON CARP 中文名 无 组织地理 未知 别名 Evil Eye 历史目标 中国 目标行业 非政府组织 发现时间 2019-09-24 最近活跃 2021-03-29 动机 间谍活动 描述 POISON CARP 最早活跃于 2018 年。该组织主要针对中国进行监视和攻击。POISON CARP 通过针对性的恶 意链接或网络钓鱼进行诱导，利用 Web 浏览器漏洞在 IOS 和 Android 设备上安装间谍软件，以达
summary/2022/APT group Intelligence Research handbook-2022.pdf,"{""page"": 167}",POISON CARP,159 2021 年 APT 组织情报图鉴 6.2.25 POISON CARP 组织名 POISON CARP 中文名 无 组织地理 未知 别名 Evil Eye 历史目标 中国 目标行业 非政府组织 发现时间 2019-09-24 最近活跃 2021-03-29 动机 间谍活动 描述 POISON CARP 最早活跃于 2018 年。该组织主要针对中国进行监视和攻击。POISON CARP 通过针对性的恶 意链接或网络钓鱼进行诱导，利用 Web 浏览器漏洞在 IOS 和 Android 设备上安装间谍软件，以达到对目标 的监视和信息窃取。PO
