original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 17, ""sheet"": ""Unknown""}",Poseidon,Poseidon https://securelist.com/blog/research/73673/poseidon-group-a-targeted-attack-boutique-specializing-in-global-cyber-espionage/
APT Groups and Operations.xlsx,"{""row"": 17, ""sheet"": ""Unknown""}",poseidon,Poseidon https://securelist.com/blog/research/73673/poseidon-group-a-targeted-attack-boutique-specializing-in-global-cyber-espionage/
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 187}",Poseidon,"2015, Kaspersky researchers from GreAT (Global Research and Analysis Team) got hold of the missing pieces of an intricate puzzle that points to the dawn of the first Portuguese-speaking targeted attack group, named “Poseidon.” The group’s campaigns appear to have been active since at least 2005, while the very first sample found points to 2001. This signals just how long ago the Poseidon threat actor was already working on its offensive"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 187}",Poseidon,"Portuguese-speaking targeted attack group, named “Poseidon.” The group’s campaigns appear to have been active since at least 2005, while the very first sample found points to 2001. This signals just how long ago the Poseidon threat actor was already working on its offensive framework. The Poseidon Group is a long-running team operating on all domains: land, air, and sea. They are dedicated to running targeted attacks campaigns to aggress"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 187}",Poseidon,"e at least 2005. Their tools are consistently designed to function on English and Portuguese systems spanning the gamut of Windows OS, and their exfiltration methods include the use of hijacked satellite connections. Poseidon continues to be active at this time. Observed Sectors: Energy, Financial, Government, Media, Manufacturing, Telecommunications and Utilities. Countries: Brazil, France, India, Kazakhstan, Russia, UAE and USA. Tools"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 187}",poseidon,"Energy, Financial, Government, Media, Manufacturing, Telecommunications and Utilities. Countries: Brazil, France, India, Kazakhstan, Russia, UAE and USA. Tools used IGT supertool. Information <https://securelist.com/poseidon-group-a-targeted-attack-boutique-specializing-in- global-cyber-espionage/73673/> MITRE ATT&CK <https://attack.mitre.org/groups/G0033/>"
Threat Group Cards.pdf,"{""page"": 187}",Poseidon,"2015, Kaspersky researchers from G reAT (Global Research and Analysis Team) got hold of the missing pieces of an intricate puzzle that points to the dawn of the first Portuguese-speaking targeted attack group, named “Poseidon.” The group’s campaigns appear to have been active since at least 2005, while the very first sample found points to 2001. This signals just how long ago the Poseidon threat actor was already working on its offensive"
Threat Group Cards.pdf,"{""page"": 187}",Poseidon,"Portuguese-speaking targeted attack group, named “Poseidon.” The group’s campaigns appear to have been active since at least 2005, while the very first sample found points to 2001. This signals just how long ago the Poseidon threat actor was already working on its offensive framework. The Poseidon Group is a long-running team operating on all domains: land, air, and sea. They are dedicated to running targeted attacks campaigns to aggress"
Threat Group Cards.pdf,"{""page"": 187}",Poseidon,"e at least 2005. Their tools are consistently designed to function on English and Portuguese systems spanning the gamut of Windows OS, and their exfiltration methods include the use of hijacked satellite connections. Poseidon continues to be active at this time. Observed Sectors: Energy, Financial, Government, Media, Manufacturing, Telecommunications and Utilities. Countries: Brazil, France, India, Kazakhstan, Russia, UAE and USA. Tools"
Threat Group Cards.pdf,"{""page"": 187}",poseidon,"Energy, Financial, Government, Media, Manufacturing, Telecommunications and Utilities. Countries: Brazil, France, India, Kazakhstan, Russia, UAE and USA. Tools used IGT supertool. Information <https://securelist.com/poseidon-group-a-targeted-attack-boutique-specializing-in- global-cyber-espionage/73673/> MITRE ATT&CK <https://attack.mitre.org/groups/G0033/>"
Threat_Group_Cards_v2.0.pdf,"{""page"": 261}",Poseidon,"2015, Kaspersky researchers from GreAT (Global Research and Analysis Team) got hold of the missing pieces of an intricate puzzle that points to the dawn of the first Portuguese-speaking targeted attack group, named “Poseidon.” The group’s campaigns appear to have been active since at least 2005, while the very first sample found points to 2001. This signals just how long ago the Poseidon threat actor was already working on its offensive"
Threat_Group_Cards_v2.0.pdf,"{""page"": 261}",Poseidon,"Portuguese-speaking targeted attack group, named “Poseidon.” The group’s campaigns appear to have been active since at least 2005, while the very first sample found points to 2001. This signals just how long ago the Poseidon threat actor was already working on its offensive framework. The Poseidon Group is a long-running team operating on all domains: land, air, and sea. They are dedicated to running targeted attacks campaigns to aggress"
Threat_Group_Cards_v2.0.pdf,"{""page"": 261}",Poseidon,"e at least 2005. Their tools are consistently designed to function on English and Portuguese systems spanning the gamut of Windows OS, and their exfiltration methods include the use of hijacked satellite connections. Poseidon continues to be active at this time. Observed Sectors: Energy, Financial, Government, Media, Manufacturing, Telecommunications and Utilities. Countries: Brazil, France, India, Kazakhstan, Russia, UAE and USA. Tools"
Threat_Group_Cards_v2.0.pdf,"{""page"": 261}",poseidon,"ions and Utilities. Countries: Brazil, France, India, Kazakhstan, Russia, UAE and USA. Tools used IGT supertool. Counter operations Feb 2016 The C2 servers have been sinkholed by Kaspersky. <https://securelist.com/poseidon-group-a-targeted-attack-boutique- specializing-in-global-cyber-espionage/73673/> Information <https://securelist.com/poseidon-group-a-targeted-attack-boutique-specializing-in- global-cyber-espionage/73673/> MITRE ATT&"
Threat_Group_Cards_v2.0.pdf,"{""page"": 261}",poseidon,erations Feb 2016 The C2 servers have been sinkholed by Kaspersky. <https://securelist.com/poseidon-group-a-targeted-attack-boutique- specializing-in-global-cyber-espionage/73673/> Information <https://securelist.com/poseidon-group-a-targeted-attack-boutique-specializing-in- global-cyber-espionage/73673/> MITRE ATT&CK <https://attack.mitre.org/groups/G0033/>
summary/2022/top-10-macos-malware-discoveries-in-2022.pdf,"{""page"": 1}",Poseidon,"e529588502bc08 (Client) c3e48c2a2d43c752121e55b909fc705fe4fdaef6 (Client) 4. CrateDepression Reported on by SentinelLabs in May, CrateDepression was a supply chain attack on the Rust development community which dropped Poseidon payloads on its victims. Threat actors had hosted a malcious crate named ‘rustdecimal’ on crates.io, a typosquat of the genuine crate, rust_decimal. The malware inspects infected machines for the GITLAB_CI environment v"
summary/2022/top-10-macos-malware-discoveries-in-2022.pdf,"{""page"": 1}",Poseidon,"resent on the infected device, the malware retrieves a second- stage payload built on red-teaming post-exploitationt framework, Mythic, and writes it out to /tmp/git-updater.bin. The executable is written in Go and is a Poseidon implant. Both macOS and Linux payloads were available to the attackers, and both contained similar functionality, including screencapture, keylogging, remote le retrieval, ex ltration, and persistence capabilities. Pri"
summary/2024/Cybersecurity Threats 2024 Mid-Year Report.pdf,"{""page"": 37}",Poseidon,"elegram、Discord、Slack 和 Google Drive，最终部署一系列恶意工 具 [36] 。 透明部落还通过 Linux 桌面应用分发恶意载荷 [37] 。活动感染链始于一个 ZIP 压缩文件，攻击者将诱导用 户在 Linux 环境下执行压缩包中的 ""approved_copy.desktop"" 文件。 最后下载的两个恶意载荷功能相同， 均为由 Golang 编写的 ELF 文件，实际上属于 Mythic 框架下的 Poseidon 组件，用于建立持久化，获取 C2 服务器指令并执行。 图 1.38 透明部落相关样本的攻击链和核心功能 [36]"
summary/2025/2024 Malicious Infrastructure Report.pdf,"{""page"": 17}",Poseidon,"top ten infostealer panels based on Insikt Group Malicious Infrastructure Management Validation data were Meduza Stealer, RisePro Stealer, Serpent Stealer, Fletchen Stealer, Poseidon macOS Stealer, Glorysprout Stealer, LummaC2, Atlantida Stealer, Xehook Stealer, and Vidar (see Figure 8 ). In 2024, Meduza Stealer emerged as the leader, followed by Ris"
summary/2025/2024 Malicious Infrastructure Report.pdf,"{""page"": 17}",Poseidon,"ent Stealer. Additionally, while most top infostealers continued to target Windows, Insikt Group observed a rise in malware strains focusing on macOS, exemplified by the Poseidon macOS Stealer, as well as other families like Atomic Stealer, which did not rank in the top ten. 16 CTA20250228 Recorded Future ®"
summary/2025/Cybersecurity Threats 2024 Annual Report_QAX.pdf,"{""page"": 41}",Poseidon,"36 网络安全威胁 2024 年度报告 透明部落还通过 Linux 桌面应用分发恶意载荷 [59] 。活动感染链始于一个 ZIP 压缩文件，攻击者将诱导用 户在 Linux 环境下执行压缩包中的 ""approved_copy.desktop"" 文件。 最后下载的两个恶意载荷功能相同， 均为由 Golang 编写的 ELF 文件，实际上属于 Mythic 框架下的 Poseidon 组件，用于建立持久化，获取 C2 服务器指令并执行。 透明部落在使用 Reverse RAT 时，采取了更加精巧的伪装手段。例如，他们将恶意载荷伪装成与印度政 府相关的合同文件、港口许可等官方文档，以诱使目标受害者下载并执行。攻击者常通过 MSI 安装包或 带有宏的 Word 模板文件隐藏恶意代码并进行传播， 并用看似普通的文件内容伪装， 比如海军项目的报告、 薪资更新通知等。这些伪装手段极大地增强了透明部落攻击活动的隐蔽性，令目"
