original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 9, ""sheet"": ""Iran""}",APT-C-50,"Prince of Persia APT-C-50 Infy This threat actor targets governments and businesses of multiple countries, including the United States, Israel, and Denmark. https://iranthreats.github.io/ http://researchcenter.paloaltonetworks.com/2016/05/prince"
APT Groups and Operations.xlsx,"{""row"": 9, ""sheet"": ""Iran""}",APT-C-50,tps://researchcenter.paloaltonetworks.com/2017/08/unit42-prince-persia-ride-lightning-infy-returns-foudre/ https://researchcenter.paloaltonetworks.com/2016/06/unit42-prince-of-persia-game-over/ https://blogs.360.cn/post/APT-C-50.html https://blogs.360.cn/post/APT-C-50.html https://download.bitdefender.com/resources/files/News/CaseStudies/study/393/Bitdefender-Whitepaper-Iranian-APT-Makes-a-Comeback-with-Thunder-and-Lightning-Backdoor-and-Espion
APT Groups and Operations.xlsx,"{""row"": 9, ""sheet"": ""Iran""}",APT-C-50,m/2017/08/unit42-prince-persia-ride-lightning-infy-returns-foudre/ https://researchcenter.paloaltonetworks.com/2016/06/unit42-prince-of-persia-game-over/ https://blogs.360.cn/post/APT-C-50.html https://blogs.360.cn/post/APT-C-50.html https://download.bitdefender.com/resources/files/News/CaseStudies/study/393/Bitdefender-Whitepaper-Iranian-APT-Makes-a-Comeback-with-Thunder-and-Lightning-Backdoor-and-Espionage-Combo.pdf https://research.checkpoin
APT Groups and Operations.xlsx,"{""row"": 9, ""sheet"": ""Iran""}",Prince of Persia,"Prince of Persia APT-C-50 Infy This threat actor targets governments and businesses of multiple countries, including the United States, Israel, and Denmark. https://iranthreats.github.io/ http://researchcenter.paloaltonetworks.com/2016/"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 123}",Prince of Persia,"Threat Group Cards: A Threat Actor Encyclopedia 123 Infy, Prince of Persia Names Infy (Palo Alto) Prince of Persia (Palo Alto) Operation Mermaid (360) Country Iran Sponsor State-sponsored Motivation Information theft and espionage Description Since early 2013, we have observed activity"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 123}",Prince of Persia,"Threat Group Cards: A Threat Actor Encyclopedia 123 Infy, Prince of Persia Names Infy (Palo Alto) Prince of Persia (Palo Alto) Operation Mermaid (360) Country Iran Sponsor State-sponsored Motivation Information theft and espionage Description Since early 2013, we have observed activity from a unique threat actor group, which w"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 123}",Prince of Persia,anti-takeover techniques in an attempt to avoid their C2 domains being sinkholed as we did in 2016. <https://unit42.paloaltonetworks.com/unit42-prince-persia-ride- lightning-infy-returns-foudre/> Counter operation • Prince of Persia – Game Over (2016) <https://unit42.paloaltonetworks.com/unit42-prince-of-persia-game-over/>
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 4}",Prince of Persia,"................................... 119 Inception Framework ................................................................................................................................................... 121 Infy, Prince of Persia .................................................................................................................................................... 123 Iridium.........................................................."
Threat Group Cards.pdf,"{""page"": 123}",Prince of Persia,"Threat Group Cards: A Threat Actor Encyclopedia 123 Infy, Prince of Persia Names Infy (Palo Alto) Prince of Persia (Palo Alto) Operation Mermaid (360) Country Iran Sponsor State-sponsored Motivation Information theft and espionage Description Since early 2013, we have observed activity"
Threat Group Cards.pdf,"{""page"": 123}",Prince of Persia,"Threat Group Cards: A Threat Actor Encyclopedia 123 Infy, Prince of Persia Names Infy (Palo Alto) Prince of Persia (Palo Alto) Operation Mermaid (360) Country Iran Sponsor State-sponsored Motivation Information theft and espionage Description Since early 2013, we have observed activity from a unique threat actor group, which w"
Threat Group Cards.pdf,"{""page"": 123}",Prince of Persia,anti-takeover techniques in an attempt to avoid their C2 domains being sinkholed as we did in 2016. <https://unit42.paloaltonetworks.com/unit42-prince-persia-ride- lightning-infy-returns-foudre/> Counter operation  Prince of Persia – Game Over (2016) <https://unit42.paloaltonetworks.com/unit42-prince-of-persia-game-over/>
Threat Group Cards.pdf,"{""page"": 4}",Prince of Persia,"............................................................. 119 Inception Framework ......................................................................................................................... 121 Infy, Prince of Persia .......................................................................................................................... 123 Iridium ..................................................................................."
Threat_Group_Cards_v2.0.pdf,"{""page"": 161}",Prince of Persia,"Threat Group Cards: A Threat Actor Encyclopedia 161 Infy, Prince of Persia Names Infy (Palo Alto) Prince of Persia (Palo Alto) Operation Mermaid (Qihoo 360) APT-C-07 (Qihoo 360) Country Iran Sponsor State-sponsored Motivation Information theft and espionage First seen 2013 Description"
Threat_Group_Cards_v2.0.pdf,"{""page"": 161}",Prince of Persia,"Threat Group Cards: A Threat Actor Encyclopedia 161 Infy, Prince of Persia Names Infy (Palo Alto) Prince of Persia (Palo Alto) Operation Mermaid (Qihoo 360) APT-C-07 (Qihoo 360) Country Iran Sponsor State-sponsored Motivation Information theft and espionage First seen 2013 Description Since early 2013, we have observed activi"
Threat_Group_Cards_v2.0.pdf,"{""page"": 162}",Prince of Persia,Threat Group Cards: A Threat Actor Encyclopedia 162 Counter operations Jun 2016 Prince of Persia – Game Over <https://unit42.paloaltonetworks.com/unit42-prince-of-persia- game-over/> Information <https://www.blackhat.com/docs/us-16/materials/us-16-Guarnieri-Iran-And-The- Soft-War-For-Internet-Dominance-wp.pdf>
Threat_Group_Cards_v2.0.pdf,"{""page"": 5}",Prince of Persia,"............................................ 157 Inception Framework, Cloud Atlas ............................................................................................................................. 159 Infy, Prince of Persia .................................................................................................................................................... 161 InvisiMole ......................................................"
summary/2023/2022cyberComprehensiveSituationObservationManual.pdf,"{""page"": 19}",APT-C-50,·伊朗Phosphorus组织攻击以色列和美国前高级官员 ·游走于中东的魅影--APT组织AridViper近期攻击活动分析 ·Lyceum组织以军事热点事件为诱饵针对中东地区的定向攻击 ·Cunning Kitten针对中东相关人士的威胁组织 ·Bahamut Android恶意软件新变体分析 2022.06 ·MERCURY组织利用Log4j 2漏洞攻击以色列组织2022.08 ·DeftTorero：来自中东的APT组织披露 ·APT-C-50 组织通过“Domestic Kitten”活动监视伊朗公民 2022.10 ·长达十年的持续攻击—针对利比亚的政治主题攻击活动2022.11 社工、钓鱼针对多国地区公民 今年6月份，安恒中央研究院猎影实验室追踪到一系列针对中东相关政治活动人士的攻击活动。经研究，这些 活动来自于一个新的威胁组织，这一攻击者至少自2021年9月便开始活跃，为方便追踪，我们将其命名为 Cunning Kitten（安恒信息内部追踪代号为“APT-LY-10
