original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 4, ""sheet"": ""China""}",APT2,APT2 Putter Panda PLA Unit 61486 TG-6952 APT2 Group 36 SearchFire G0024 Their activities are commonly known to be exploiting CVE-2012-0158 (MSOffice vulnerability in MSCOMCTL.OCX) in SpearPhising operations. Related malware:
APT Groups and Operations.xlsx,"{""row"": 4, ""sheet"": ""China""}",APT2,"APT2 Putter Panda PLA Unit 61486 TG-6952 APT2 Group 36 SearchFire G0024 Their activities are commonly known to be exploiting CVE-2012-0158 (MSOffice vulnerability in MSCOMCTL.OCX) in SpearPhising operations. Related malware: Moose, Warp, MSUpdater This threat actor"
APT Groups and Operations.xlsx,"{""row"": 4, ""sheet"": ""China""}",PLA Unit 61486,"APT2 Putter Panda PLA Unit 61486 TG-6952 APT2 Group 36 SearchFire G0024 Their activities are commonly known to be exploiting CVE-2012-0158 (MSOffice vulnerability in MSCOMCTL.OCX) in SpearPhising operations. Related malware: Moose, Warp, MSUpdater This"
APT Groups and Operations.xlsx,"{""row"": 4, ""sheet"": ""China""}",Putter Panda,"APT2 Putter Panda PLA Unit 61486 TG-6952 APT2 Group 36 SearchFire G0024 Their activities are commonly known to be exploiting CVE-2012-0158 (MSOffice vulnerability in MSCOMCTL.OCX) in SpearPhising operations. Related malware: Moose, Warp,"
APT Groups and Operations.xlsx,"{""row"": 4, ""sheet"": ""China""}",TG-6952,"APT2 Putter Panda PLA Unit 61486 TG-6952 APT2 Group 36 SearchFire G0024 Their activities are commonly known to be exploiting CVE-2012-0158 (MSOffice vulnerability in MSCOMCTL.OCX) in SpearPhising operations. Related malware: Moose, Warp, MSUpdater This threat"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 189}",Putter Panda,"Threat Group Cards: A Threat Actor Encyclopedia 189 Putter Panda, APT 2 Names Putter Panda (CrowdStrike) TG-6952 (SecureWorks) APT 2 (Mandiant) Group 36 (Talos) Sulphur (Microsoft) Country China Sponsor State-sponsored, Unit 61486 of the 12th Bureau of the PLA’s 3rd General St"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 189}",Putter Panda,"Threat Group Cards: A Threat Actor Encyclopedia 189 Putter Panda, APT 2 Names Putter Panda (CrowdStrike) TG-6952 (SecureWorks) APT 2 (Mandiant) Group 36 (Talos) Sulphur (Microsoft) Country China Sponsor State-sponsored, Unit 61486 of the 12th Bureau of the PLA’s 3rd General Staff Department (GSD). Mot"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 189}",TG-6952,"Threat Group Cards: A Threat Actor Encyclopedia 189 Putter Panda, APT 2 Names Putter Panda (CrowdStrike) TG-6952 (SecureWorks) APT 2 (Mandiant) Group 36 (Talos) Sulphur (Microsoft) Country China Sponsor State-sponsored, Unit 61486 of the 12th Bureau of the PLA’s 3rd General Staff Department (GSD). Motivation Information the"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 5}",APT 2,".................... 187 Promethium ................................................................................................................................................................... 188 Putter Panda, APT 2 .................................................................................................................................................... 189 Rancor .........................................................."
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 5}",Putter Panda,".................................. 187 Promethium ................................................................................................................................................................... 188 Putter Panda, APT 2 .................................................................................................................................................... 189 Rancor ..................................................."
International Strategic/China/china-cyber-report.pdf,"{""page"": 50}",Putter Panda,"t Crew to be synonymous with APT1 .661 Comment Panda CrowdStrike CrowdStrike assessed that Comment Panda was the same as Unit 61398 .662 In 2014, Crowd- Strike assessed that Comment Panda is organizationally related to Putter Panda , a group the firm attributed to Unit 61486, PLA Third Department, 12th Bureau .663 The two shared infrastructure, and an identified member of Putter Panda was observed speaking online with a member of Unit 61398."
International Strategic/China/china-cyber-report.pdf,"{""page"": 50}",Putter Panda,"assessed that Comment Panda is organizationally related to Putter Panda , a group the firm attributed to Unit 61486, PLA Third Department, 12th Bureau .663 The two shared infrastructure, and an identified member of Putter Panda was observed speaking online with a member of Unit 61398. Shanghai Group SecureWorks SecureWorks tracked Comment Crew activity as the Shanghai Group , a reference to their assessed location. 664 Operation Oceansal"
International Strategic/China/china-cyber-report.pdf,"{""page"": 74}",PLA Unit 61486,"ntecenterprise/communities/ community-home/librarydocuments/viewdocument?Document - Key=f1265df5-6e5e-4fcc-9828-d4ddbbafd3d7&CommunityKey=1ecf5f 55-9545-44d6-b0f4-4e4a7f5f5e68&tab=librarydocuments. 662 “Hat-tribution to PLA Unit 61486,” CrowdStrike, June 9, 2014, (archived by Internet Archive on March 20, 2016), https://web.archive. org/web/20160320035717/https://www.crowdstrike.com/blog/ hat-tribution-pla-unit-61486. 663 “Hat-tribution to PLA Unit"
International Strategic/China/china-cyber-report.pdf,"{""page"": 74}",PLA Unit 61486,"nit 61486,” CrowdStrike, June 9, 2014, (archived by Internet Archive on March 20, 2016), https://web.archive. org/web/20160320035717/https://www.crowdstrike.com/blog/ hat-tribution-pla-unit-61486. 663 “Hat-tribution to PLA Unit 61486,” CrowdStrike, June 9, 2014, (archived by Internet Archive on March 20, 2016), https://web.archive. org/web/20160320035717/https://www.crowdstrike.com/blog/ hat-tribution-pla-unit-61486. 664 Mark Clayton, “Stealing US"
Threat Group Cards.pdf,"{""page"": 189}",Putter Panda,"Threat Group Cards: A Threat Actor Encyclopedia 189 Putter Panda, APT 2 Names Putter Panda (CrowdStrike) TG-6952 (SecureWorks) APT 2 (Mandiant) Group 36 (Talos) Sulphur (Microsoft) Country China Sponsor State-sponsored, Unit 61486 of the 12th Bureau of the PLA’s 3rd General St"
Threat Group Cards.pdf,"{""page"": 189}",Putter Panda,"Threat Group Cards: A Threat Actor Encyclopedia 189 Putter Panda, APT 2 Names Putter Panda (CrowdStrike) TG-6952 (SecureWorks) APT 2 (Mandiant) Group 36 (Talos) Sulphur (Microsoft) Country China Sponsor State-sponsored, Unit 61486 of the 12th Bureau of the PLA’s 3rd General Staff Department (GSD). Mot"
Threat Group Cards.pdf,"{""page"": 189}",TG-6952,"Threat Group Cards: A Threat Actor Encyclopedia 189 Putter Panda, APT 2 Names Putter Panda (CrowdStrike) TG-6952 (SecureWorks) APT 2 (Mandiant) Group 36 (Talos) Sulphur (Microsoft) Country China Sponsor State-sponsored, Unit 61486 of the 12th Bureau of the PLA’s 3rd General Staff Department (GSD). Motivation Information the"
Threat Group Cards.pdf,"{""page"": 5}",APT 2,".............................................. 187 Promethium ......................................................................................................................................... 188 Putter Panda, APT 2 .......................................................................................................................... 189 Rancor ...................................................................................."
Threat Group Cards.pdf,"{""page"": 5}",Putter Panda,"............................................................ 187 Promethium ......................................................................................................................................... 188 Putter Panda, APT 2 .......................................................................................................................... 189 Rancor ............................................................................."
Threat_Group_Cards_v2.0.pdf,"{""page"": 266}",Putter Panda,"Threat Group Cards: A Threat Actor Encyclopedia 266 Putter Panda, APT 2 Names Putter Panda (CrowdStrike) TG-6952 (SecureWorks) APT 2 (Mandiant) Group 36 (Talos) Sulphur (Microsoft) Country China Sponsor State-sponsored, Unit 61486 of the 12th Bureau of the PLA’s 3rd General St"
Threat_Group_Cards_v2.0.pdf,"{""page"": 266}",Putter Panda,"Threat Group Cards: A Threat Actor Encyclopedia 266 Putter Panda, APT 2 Names Putter Panda (CrowdStrike) TG-6952 (SecureWorks) APT 2 (Mandiant) Group 36 (Talos) Sulphur (Microsoft) Country China Sponsor State-sponsored, Unit 61486 of the 12th Bureau of the PLA’s 3rd General Staff Department (GSD) Moti"
Threat_Group_Cards_v2.0.pdf,"{""page"": 266}",TG-6952,"Threat Group Cards: A Threat Actor Encyclopedia 266 Putter Panda, APT 2 Names Putter Panda (CrowdStrike) TG-6952 (SecureWorks) APT 2 (Mandiant) Group 36 (Talos) Sulphur (Microsoft) Country China Sponsor State-sponsored, Unit 61486 of the 12th Bureau of the PLA’s 3rd General Staff Department (GSD) Motivation Information thef"
Threat_Group_Cards_v2.0.pdf,"{""page"": 7}",APT 2,"................. 263 Pusikurac ....................................................................................................................................................................... 265 Putter Panda, APT 2 .................................................................................................................................................... 266 Rancor .........................................................."
Threat_Group_Cards_v2.0.pdf,"{""page"": 7}",Putter Panda,"............................... 263 Pusikurac ....................................................................................................................................................................... 265 Putter Panda, APT 2 .................................................................................................................................................... 266 Rancor ..................................................."
summary/2024/threat actor list from cs.csv,"{""row"": 213}",APT-2,"APT-2, MSUpdater, 4H Crew, SULPHUR Jan 2016 Inactive China 4 3 Targeted State-Sponsored"
summary/2024/threat actor list from cs.csv,"{""row"": 213}",MSUpdater,"APT-2, MSUpdater, 4H Crew, SULPHUR Jan 2016 Inactive China 4 3 Targeted State-Sponsored"
