original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 32, ""sheet"": ""Unknown""}",Roaming Mantis,"Roaming Mantis Shaoye malicious APK, MITRE: S0509, Wroba.o Russia, Japan, India, Bangladesh, Kazakhstan, Azerbaijan, Iran and Vietnam July 2020 Cybereason assessed it is a Chinese TA https://securelist.com/it-threat-evolution-q2-2019/"
APT Groups and Operations.xlsx,"{""row"": 32, ""sheet"": ""Unknown""}",Shaoye,"Roaming Mantis Shaoye malicious APK, MITRE: S0509, Wroba.o Russia, Japan, India, Bangladesh, Kazakhstan, Azerbaijan, Iran and Vietnam July 2020 Cybereason assessed it is a Chinese TA https://securelist.com/it-threat-evolution-q2-2019/91994/"
Threat_Group_Cards_v2.0.pdf,"{""page"": 413}",Roaming Mantis,"Threat Group Cards: A Threat Actor Encyclopedia 413 Roaming Mantis Names Roaming Mantis (Kaspersky) Roaming Mantis Group (Kaspersky) Country [Unknown] Motivation Financial crime First seen 2017 Description (Kaspersky) In March 2018, Japanese media reported the hijacking of DNS se"
Threat_Group_Cards_v2.0.pdf,"{""page"": 413}",Roaming Mantis,"Threat Group Cards: A Threat Actor Encyclopedia 413 Roaming Mantis Names Roaming Mantis (Kaspersky) Roaming Mantis Group (Kaspersky) Country [Unknown] Motivation Financial crime First seen 2017 Description (Kaspersky) In March 2018, Japanese media reported the hijacking of DNS settings on routers loc"
Threat_Group_Cards_v2.0.pdf,"{""page"": 413}",Roaming Mantis,"Threat Group Cards: A Threat Actor Encyclopedia 413 Roaming Mantis Names Roaming Mantis (Kaspersky) Roaming Mantis Group (Kaspersky) Country [Unknown] Motivation Financial crime First seen 2017 Description (Kaspersky) In March 2018, Japanese media reported the hijacking of DNS settings on routers located in Japan, redirecting u"
Threat_Group_Cards_v2.0.pdf,"{""page"": 413}",Roaming Mantis,"alware operation, we decided to assign a new one for future reference. Based on its propagation via smartphones roaming between Wi-Fi networks, potentially carrying and spreading the infection, we decided to call it ‘Roaming Mantis’. Observed Countries: Azerbaijan, Bangladesh, Brazil, Cambodia, Canada, China, Denmark, Finland, France, Germany, India, Indonesia, Iran, Ireland, Italy, Japan, Kazakhstan, Netherlands, Russia, Saudi Arabia, South Ko"
Threat_Group_Cards_v2.0.pdf,"{""page"": 9}",Roaming Mantis,"...................................... 410 Rocke, Iron Group ........................................................................................................................................................ 411 Roaming Mantis ............................................................................................................................................................ 413"
summary/2021/Adversary Infrastructure Report 2020.pdf,"{""page"": 3}",Roaming Mantis,"ry Top Family Total C2s Amazon.com, Inc. AS16509 United States Cobalt Strike 471 Digital Ocean AS14061 United States Metasploit 421 Choopa, LLC AS20473 United States Cobalt Strike 368 Zenlayer Inc AS21859 United States Roaming Mantis 358 Hangzhou Alibaba Advertising AS37963 China Cobalt Strike 335 ICIDC Network AS136800 China Cobalt Strike 277 OVH SAS AS16276 France PupyRAT 273 Shenzhen Tencent Computer Systems AS45090 China Cobalt Strike 262 Goog"
summary/2022/2022 Adversary Infrastructure Report.pdf,"{""page"": 12}",Roaming Mantis,642 Lithuania Cobalt Strike 3.91% SteamVPS SRL AS50578 Romania IcedID 2.73% KURUN CLOUD INC AS395886 United States Cobalt Strike 2.34% Flyservers S.A. AS48721 Panama Cobalt Strike 1.56% HDTIDC LIMITED AS136038 Hong Kong Roaming Mantis 1.20% International Hosting Solutions LLP AS213354 United Kingdom YerLoader 1.17% Flyservers S.A. AS209588 Panama Cobalt Strike 0.95% Chang Way Technologies Co. Limited AS57523 Hong Kong Cobalt Strike 0.91% BL Networks
summary/2022/APT group Intelligence Research handbook-2022.pdf,"{""page"": 198}",Roaming Mantis,APT 组织情报研究年鉴 190 6.2.55 Roaming Mantis 组织名 Roaming Mantis 中文名 无 组织地理 未知 别名 无 历史目标 阿塞拜疆， 孟加拉国， 巴西， 柬埔寨， 加拿大， 中国， 丹麦， 芬兰， 法国， 德国， 印度， 印度尼西亚， 伊朗， 爱尔兰， 意大利， 日本， 哈萨克斯坦， 荷兰， 俄罗斯， 沙特阿拉伯，韩国，斯里兰卡，瑞典，瑞士，泰国， 英国，美国，越南 目标行业 运输，金融 发现时间 2018-10-01 最近活跃 2021-08-12 动机 经济利益 描
summary/2022/APT group Intelligence Research handbook-2022.pdf,"{""page"": 198}",Roaming Mantis,APT 组织情报研究年鉴 190 6.2.55 Roaming Mantis 组织名 Roaming Mantis 中文名 无 组织地理 未知 别名 无 历史目标 阿塞拜疆， 孟加拉国， 巴西， 柬埔寨， 加拿大， 中国， 丹麦， 芬兰， 法国， 德国， 印度， 印度尼西亚， 伊朗， 爱尔兰， 意大利， 日本， 哈萨克斯坦， 荷兰， 俄罗斯， 沙特阿拉伯，韩国，斯里兰卡，瑞典，瑞士，泰国， 英国，美国，越南 目标行业 运输，金融 发现时间 2018-10-01 最近活跃 2021-08-12 动机 经济利益 描述 Roaming Mantis 组织
