original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 7, ""sheet"": ""Unknown""}",Roaming Tiger,"Roaming Tiger Roaming Tiger TOPNEWS SOGU, GHOST, TEMPFUN, FIRSTBLOOD, PI Gov, Oil and Gas, Aerospace, Defense in UZ, MN, MY, RU, BY, KZ, US, Tibet, UA http://researchcenter.paloaltonetworks.com/2015/12/bbsrat-attacks-targeting-russia"
APT Groups and Operations.xlsx,"{""row"": 7, ""sheet"": ""Unknown""}",Roaming Tiger,"Roaming Tiger Roaming Tiger TOPNEWS SOGU, GHOST, TEMPFUN, FIRSTBLOOD, PI Gov, Oil and Gas, Aerospace, Defense in UZ, MN, MY, RU, BY, KZ, US, Tibet, UA http://researchcenter.paloaltonetworks.com/2015/12/bbsrat-attacks-targeting-russian-organization"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 194}",Roaming Tiger,"Threat Group Cards: A Threat Actor Encyclopedia 194 Roaming Tiger Names Roaming Tiger (ESET) Country Russia Motivation Information theft and espionage Description (Palo Alto) In late 2014, ESET presented an attack campaign that had been observed over a period of time targeting Ru"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 194}",Roaming Tiger,"Threat Group Cards: A Threat Actor Encyclopedia 194 Roaming Tiger Names Roaming Tiger (ESET) Country Russia Motivation Information theft and espionage Description (Palo Alto) In late 2014, ESET presented an attack campaign that had been observed over a period of time targeting Russia and other Russia"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 194}",Roaming Tiger,"vation Information theft and espionage Description (Palo Alto) In late 2014, ESET presented an attack campaign that had been observed over a period of time targeting Russia and other Russian speaking nations, dubbed “Roaming Tiger”. The attack was found to heavily rely on RTF exploits and at the time, thought to make use of the PlugX malware family. Observed Countries: Belarus, Kazakhstan, Kyrgyzstan, Tajikistan, Ukraine and Uzbekistan. Tools"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 5}",Roaming Tiger,".................................................... 190 Reaper, APT 37, Ricochet Chollima .......................................................................................................................... 191 Roaming Tiger .............................................................................................................................................................. 194 RTM ..................................................."
Threat Group Cards.pdf,"{""page"": 194}",Roaming Tiger,"Threat Group Cards: A Threat Actor Encyclopedia 194 Roaming Tiger Names Roaming Tiger (ESET) Country Russia Motivation Information theft and espionage Description (Palo Alto) In late 2014, ESET presented an attack campaign that had been observed over a period of time targeting Ru"
Threat Group Cards.pdf,"{""page"": 194}",Roaming Tiger,"Threat Group Cards: A Threat Actor Encyclopedia 194 Roaming Tiger Names Roaming Tiger (ESET) Country Russia Motivation Information theft and espionage Description (Palo Alto) In late 2014, ESET presented an attack campaign that had been observed over a period of time targeting Russia and other Russia"
Threat Group Cards.pdf,"{""page"": 194}",Roaming Tiger,"vation Information theft and espionage Description (Palo Alto) In late 2014, ESET presented an attack campaign that had been observed over a period of time targeting Russia and other Russian speaking nations, dubbed “Roaming Tiger”. The attack was found to heavily rely on RTF exploits and at the time, thought to make use of the PlugX malware family. Observed Countries: Belarus, Kazakhstan, Kyrgyzstan, Tajikistan, Ukraine and Uzbekistan. Too"
Threat Group Cards.pdf,"{""page"": 6}",Roaming Tiger,Threat Group Cards: A Threat Actor Encyclopedia 6 Roaming Tiger .................................................................................................................................... 194 RTM .............................................................................
Threat_Group_Cards_v2.0.pdf,"{""page"": 275}",Roaming Tiger,"Threat Group Cards: A Threat Actor Encyclopedia 275 Roaming Tiger Names Roaming Tiger (ESET) Country China Motivation Information theft and espionage First seen 2014 Description (Palo Alto) In late 2014, ESET presented an attack campaign that had been observed over a period of t"
Threat_Group_Cards_v2.0.pdf,"{""page"": 275}",Roaming Tiger,"Threat Group Cards: A Threat Actor Encyclopedia 275 Roaming Tiger Names Roaming Tiger (ESET) Country China Motivation Information theft and espionage First seen 2014 Description (Palo Alto) In late 2014, ESET presented an attack campaign that had been observed over a period of time targeting Russia"
Threat_Group_Cards_v2.0.pdf,"{""page"": 275}",Roaming Tiger,"n theft and espionage First seen 2014 Description (Palo Alto) In late 2014, ESET presented an attack campaign that had been observed over a period of time targeting Russia and other Russian speaking nations, dubbed “Roaming Tiger”. The attack was found to heavily rely on RTF exploits and at the time, thought to make use of the PlugX malware family. Observed Countries: Belarus, Kazakhstan, Kyrgyzstan, Russia, Tajikistan, Ukraine and Uzbekista"
Threat_Group_Cards_v2.0.pdf,"{""page"": 79}",Roaming Tiger,"d Malaysia, the latter especially prevalent during 2018. The hackers use a custom malware featuring some interesting anti-detection and anti-emulation techniques. The infrastructure used also shows some overlaps with Roaming Tiger and previous PlugX campaigns, but this could just be due to infrastructure reuse under the Chinese-speaking umbrella. Observed Countries: Malaysia, Mongolia, Philippines and Russia. Tools used PlugX. Information <h"
Threat_Group_Cards_v2.0.pdf,"{""page"": 7}",Roaming Tiger,"..................................... 273 RevengeHotels ............................................................................................................................................................. 274 Roaming Tiger .............................................................................................................................................................. 275 Rocket Kitten, Newscaster, NewsBeef ..................."
