original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 7, ""sheet"": ""NATO""}",Slingshot,"Slingshot Mikrotik Router Compromise Slingshot, Cahnadr, GollumApp, SsCB, ffproxy, NeedleWatch, Sfc2, Minisling, Spork downloader Kenya, Yemen, Libya, Afghanistan, Iraq, Tanzania, Jordan, Mauritius, Somalia, Democratic Republic o"
APT Groups and Operations.xlsx,"{""row"": 7, ""sheet"": ""NATO""}",Slingshot,"Slingshot Mikrotik Router Compromise Slingshot, Cahnadr, GollumApp, SsCB, ffproxy, NeedleWatch, Sfc2, Minisling, Spork downloader Kenya, Yemen, Libya, Afghanistan, Iraq, Tanzania, Jordan, Mauritius, Somalia, Democratic Republic of the Congo, Turkey, Sudan and United"
APT Groups and Operations.xlsx,"{""row"": 7, ""sheet"": ""NATO""}",slingshot,"oader Kenya, Yemen, Libya, Afghanistan, Iraq, Tanzania, Jordan, Mauritius, Somalia, Democratic Republic of the Congo, Turkey, Sudan and United Arab Emirates US Joint Special Operations Command https://securelist.com/apt-slingshot/84312/ https://www.cyberscoop.com/kaspersky-slingshot-isis-operation-socom-five-eyes/"
APT Groups and Operations.xlsx,"{""row"": 7, ""sheet"": ""NATO""}",slingshot,", Jordan, Mauritius, Somalia, Democratic Republic of the Congo, Turkey, Sudan and United Arab Emirates US Joint Special Operations Command https://securelist.com/apt-slingshot/84312/ https://www.cyberscoop.com/kaspersky-slingshot-isis-operation-socom-five-eyes/"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 205}",Slingshot,"Threat Group Cards: A Threat Actor Encyclopedia 205 Slingshot Names Slingshot (Kaspersky) Country [Unknown] Motivation Information theft and espionage Description (Kaspersky) While analysing an incident which involved a suspected keylogger, we identified a malicious library a"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 205}",Slingshot,"Threat Group Cards: A Threat Actor Encyclopedia 205 Slingshot Names Slingshot (Kaspersky) Country [Unknown] Motivation Information theft and espionage Description (Kaspersky) While analysing an incident which involved a suspected keylogger, we identified a malicious library able to interact w"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 205}",Slingshot,"ved a suspected keylogger, we identified a malicious library able to interact with a virtual file system, which is usually the sign of an advanced APT actor. This turned out to be a malicious loader internally named ‘Slingshot’, part of a new, and highly sophisticated attack platform that rivals Project Sauron and Regin in complexity. While for most victims the infection vector for Slingshot remains unknown, we were able to find several ca"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 205}",Slingshot,"d out to be a malicious loader internally named ‘Slingshot’, part of a new, and highly sophisticated attack platform that rivals Project Sauron and Regin in complexity. While for most victims the infection vector for Slingshot remains unknown, we were able to find several cases where the attackers got access to MikroTik routers and placed a component downloaded by Winbox Loader, a management suite for MikroTik routers. In turn, this infect"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 6}",Slingshot,............................ 203 Sima ............................................................................................................................................................................... 204 Slingshot ........................................................................................................................................................................ 205 Snake Wine ..................................
Threat Group Cards.pdf,"{""page"": 205}",Slingshot,"Threat Group Cards: A Threat Actor Encyclopedia 205 Slingshot Names Slingshot (Kaspersky) Country [Unknown] Motivation Information theft and espionage Description (Kaspersky) While analysing an incident which involved a suspected keylogger, we identified a malicious library a"
Threat Group Cards.pdf,"{""page"": 205}",Slingshot,"Threat Group Cards: A Threat Actor Encyclopedia 205 Slingshot Names Slingshot (Kaspersky) Country [Unknown] Motivation Information theft and espionage Description (Kaspersky) While analysing an incident which involved a suspected keylogger, we identified a malicious library able to interact w"
Threat Group Cards.pdf,"{""page"": 205}",Slingshot,"ved a suspected keylogger, we identified a malicious library able to interact with a virtual file system, which is usually the sign of an advanced APT actor. This turned out to be a malicious loader internally named ‘Slingshot’, part of a new, and highly sophisticated attack platform that rivals Project Sauron and Regin in complexity. While for most victims the infection vector for Slingshot remains unknown, we were able to find several ca"
Threat Group Cards.pdf,"{""page"": 205}",Slingshot,"d out to be a malicious loader internally named ‘Slingshot’, part of a new, and highly sophisticated attack platform that rivals Project Sauron and Regin in complexity. While for most victims the infection vector for Slingshot remains unknown, we were able to find several cases where the attackers got access to MikroTik routers and placed a component downloaded by Winbox Loader, a management suite for MikroTik routers. In turn, this infect"
Threat Group Cards.pdf,"{""page"": 6}",Slingshot,...................................................... 203 Sima ..................................................................................................................................................... 204 Slingshot .............................................................................................................................................. 205 Snake Wine ............................................................
Threat_Group_Cards_v2.0.pdf,"{""page"": 293}",Slingshot,"Threat Group Cards: A Threat Actor Encyclopedia 293 Slingshot Names Slingshot (Kaspersky) Country [Unknown] Motivation Information theft and espionage First seen 2012 Description (Kaspersky) While 293nalyzing an incident which involved a suspected keylogger, we identified a"
