original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 20, ""sheet"": ""Unknown""}",Snake Wine,"Snake Wine Ham Backdoor, Tofu Backdoor Japanese Targets Tracked by Cylance https://www.cylance.com/en_us/blog/the-deception-project-a-new-japanese-centric-threat.html"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 206}",Snake Wine,"Threat Group Cards: A Threat Actor Encyclopedia 206 Snake Wine Names Snake Wine (Cylance) Country China Motivation Information theft and espionage Description (Cylance) While investigating some of the smaller name servers that Sofacy, APT 28, Fancy Bear, Sednit routinely use t"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 206}",Snake Wine,"Threat Group Cards: A Threat Actor Encyclopedia 206 Snake Wine Names Snake Wine (Cylance) Country China Motivation Information theft and espionage Description (Cylance) While investigating some of the smaller name servers that Sofacy, APT 28, Fancy Bear, Sednit routinely use to host their infra"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 206}",Snake Wine,"the malware used in the attacks did not seem to line up at all. During the course of our investigation, JPCERT published this analysis of one of the group’s backdoors. Cylance tracks this threat group internally as ‘Snake Wine’. The Snake Wine group has proven to be highly adaptable and has continued to adopt new tactics in order to establish footholds inside victim environments. The exclusive interest in Japanese government, education, an"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 206}",Snake Wine,"in the attacks did not seem to line up at all. During the course of our investigation, JPCERT published this analysis of one of the group’s backdoors. Cylance tracks this threat group internally as ‘Snake Wine’. The Snake Wine group has proven to be highly adaptable and has continued to adopt new tactics in order to establish footholds inside victim environments. The exclusive interest in Japanese government, education, and commerce will li"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 6}",Snake Wine,".............................. 204 Slingshot ........................................................................................................................................................................ 205 Snake Wine ................................................................................................................................................................... 206 Snowglobe, Animal Farm ..........................."
Threat Group Cards.pdf,"{""page"": 206}",Snake Wine,"Threat Group Cards: A Threat Actor Encyclopedia 206 Snake Wine Names Snake Wine (Cylance) Country China Motivation Information theft and espionage Description (Cylance) While investigating some of the smaller name servers that Sofacy, APT 28, Fancy Bear, Sednit routinely use t"
Threat Group Cards.pdf,"{""page"": 206}",Snake Wine,"Threat Group Cards: A Threat Actor Encyclopedia 206 Snake Wine Names Snake Wine (Cylance) Country China Motivation Information theft and espionage Description (Cylance) While investigating some of the smaller name servers that Sofacy, APT 28, Fancy Bear, Sednit routinely use to host their infra"
Threat Group Cards.pdf,"{""page"": 206}",Snake Wine,"the malware used in the attacks did not seem to line up at all. During the course of our investigation, JPCERT published this analysis of one of the group’s backdoors. Cylance tracks this threat group internally as ‘Snake Wine’. The Snake Wine group has proven to be highly adaptable and has continued to adopt new tactics in order to establish footholds inside victim environments. The exclusive interest in Japanese government, education, an"
Threat Group Cards.pdf,"{""page"": 206}",Snake Wine,"in the attacks did not seem to line up at all. During the course of our investigation, JPCERT published this analysis of one of the group’s backdoors. Cylance tracks this threat group internally as ‘Snake Wine’. The Snake Wine group has proven to be highly adaptable and has continued to adopt new tactics in order to establish footholds inside victim environments. The exclusive interest in Japanese government, education, and commerce will li"
Threat Group Cards.pdf,"{""page"": 6}",Snake Wine,"........................................................ 204 Slingshot .............................................................................................................................................. 205 Snake Wine ......................................................................................................................................... 206 Snowglobe, Animal Farm ....................................................."
Threat_Group_Cards_v2.0.pdf,"{""page"": 294}",Snake Wine,"Threat Group Cards: A Threat Actor Encyclopedia 294 Snake Wine Names Snake Wine (Cylance) Country China Motivation Information theft and espionage First seen 2016 Description (Cylance) While investigating some of the smaller name servers that Sofacy, APT 28, Fancy Bear, Sedni"
Threat_Group_Cards_v2.0.pdf,"{""page"": 294}",Snake Wine,"Threat Group Cards: A Threat Actor Encyclopedia 294 Snake Wine Names Snake Wine (Cylance) Country China Motivation Information theft and espionage First seen 2016 Description (Cylance) While investigating some of the smaller name servers that Sofacy, APT 28, Fancy Bear, Sednit routinely use to"
Threat_Group_Cards_v2.0.pdf,"{""page"": 294}",Snake Wine,"the malware used in the attacks did not seem to line up at all. During the course of our investigation, JPCERT published this analysis of one of the group’s backd oors. Cylance tracks this threat group internally as ‘Snake Wine’. The Snake Wine group has proven to be highly adaptable and has continued to adopt new tactics in order to establish footholds inside victim environments. The exclusive interest in Japanese government, education, an"
Threat_Group_Cards_v2.0.pdf,"{""page"": 294}",Snake Wine,"in the attacks did not seem to line up at all. During the course of our investigation, JPCERT published this analysis of one of the group’s backd oors. Cylance tracks this threat group internally as ‘Snake Wine’. The Snake Wine group has proven to be highly adaptable and has continued to adopt new tactics in order to establish footholds inside victim environments. The exclusive interest in Japanese government, education, and commerce will li"
Threat_Group_Cards_v2.0.pdf,"{""page"": 7}",Snake Wine,".............................. 292 Slingshot ........................................................................................................................................................................ 293 Snake Wine ................................................................................................................................................................... 294 Snowglobe, Animal Farm ..........................."
