original_source_path,original_source_location,matched_name,context_excerpt
0day _In the Wild_.xlsx,"{""row"": 108, ""sheet"": ""All""}",Animal Farm,CVE-2014-0546 Adobe Reader Logic/Design Flaw Unspecified sandbox escape vulnerability ??? 2014-08-12 00:00:00 https://helpx.adobe.com/security/products/acrobat/apsb14-19.html ??? Animal Farm https://securelist.com/the-mysterious-case-of-cve-2016-0034-the-hunt-for-a-microsoft-silverlight-0-day/73255/
0day _In the Wild_.xlsx,"{""row"": 2, ""sheet"": ""2014""}",Animal Farm,CVE-2014-0546 Adobe Reader Logic/Design Flaw Unspecified sandbox escape vulnerability ??? 2014-08-12 00:00:00 https://helpx.adobe.com/security/products/acrobat/apsb14-19.html ??? Animal Farm https://securelist.com/the-mysterious-case-of-cve-2016-0034-the-hunt-for-a-microsoft-silverlight-0-day/73255/
APT Groups and Operations.xlsx,"{""row"": 6, ""sheet"": ""NATO""}",Animal Farm,"Snowglobe Animal Farm Babar, Bunny, Dino, Casper, Tafacalou, NBot, Chocopop Probably French origins https://securelist.com/blog/research/69114/animals-in-the-apt-farm/ https://motherboard.vice.com/read/meet-babar-a-new-malware-almost-certain"
APT Groups and Operations.xlsx,"{""row"": 6, ""sheet"": ""NATO""}",Snowglobe,"Snowglobe Animal Farm Babar, Bunny, Dino, Casper, Tafacalou, NBot, Chocopop Probably French origins https://securelist.com/blog/research/69114/animals-in-the-apt-farm/ https://motherboard.vice.com/read/meet-babar-a-new-malware-al"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 207}",Animal Farm,"Threat Group Cards: A Threat Actor Encyclopedia 207 Snowglobe, Animal Farm Names Snowglobe (CSEC) Animal Farm (Kaspersky) Country France Sponsor State-sponsored Motivation Information theft and espionage Description (GData) The revelation about the existence of yet another potentially na"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 207}",Snowglobe,"Threat Group Cards: A Threat Actor Encyclopedia 207 Snowglobe, Animal Farm Names Snowglobe (CSEC) Animal Farm (Kaspersky) Country France Sponsor State-sponsored Motivation Information theft and espionage Description (GData) The revelation about the existence of yet another p"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 207}",Snowglobe,"Threat Group Cards: A Threat Actor Encyclopedia 207 Snowglobe, Animal Farm Names Snowglobe (CSEC) Animal Farm (Kaspersky) Country France Sponsor State-sponsored Motivation Information theft and espionage Description (GData) The revelation about the existence of yet another potentially nation-state drive"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 6}",Animal Farm,"....................... 205 Snake Wine ................................................................................................................................................................... 206 Snowglobe, Animal Farm ............................................................................................................................................ 207 Sofacy, APT 28, Fancy Bear, Sednit ......................................"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 6}",Snowglobe,".................................. 205 Snake Wine ................................................................................................................................................................... 206 Snowglobe, Animal Farm ............................................................................................................................................ 207 Sofacy, APT 28, Fancy Bear, Sednit ........................."
International Strategic/European/README.MD,"{""line"": 21}",Animal Farm,"ThaiCERT: APT group: Snowglobe, Animal Farm"
