original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 22, ""sheet"": ""Unknown""}",Sowbug,Sowbug Felismus South American and Southeast Asian governments Tracked by Symantec https://www.symantec.com/connect/blogs/sowbug-cyber-espionage-group-targets-south-american-and-southeast-asian-governments
APT Groups and Operations.xlsx,"{""row"": 22, ""sheet"": ""Unknown""}",sowbug,Sowbug Felismus South American and Southeast Asian governments Tracked by Symantec https://www.symantec.com/connect/blogs/sowbug-cyber-espionage-group-targets-south-american-and-southeast-asian-governments
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 216}",Sowbug,Threat Group Cards: A Threat Actor Encyclopedia 216 Sowbug Names Sowbug (Symantec) Country [Unknown] Motivation Information theft and espionage Description (Symantec) Symantec has identified a previously unknown group called Sowbug that has been conducting highly targeted
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 216}",Sowbug,Threat Group Cards: A Threat Actor Encyclopedia 216 Sowbug Names Sowbug (Symantec) Country [Unknown] Motivation Information theft and espionage Description (Symantec) Symantec has identified a previously unknown group called Sowbug that has been conducting highly targeted cyberattacks a
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 216}",Sowbug,: A Threat Actor Encyclopedia 216 Sowbug Names Sowbug (Symantec) Country [Unknown] Motivation Information theft and espionage Description (Symantec) Symantec has identified a previously unknown group called Sowbug that has been conducting highly targeted cyberattacks against organizations in South America and Southeast Asia and appears to be heavily focused on foreign policy institutions and diplomatic targets. Sowbug has been
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 216}",Sowbug,p called Sowbug that has been conducting highly targeted cyberattacks against organizations in South America and Southeast Asia and appears to be heavily focused on foreign policy institutions and diplomatic targets. Sowbug has been seen mounting classic espionage attacks by stealing documents from the organizations it infiltrates. Symantec saw the first evidence of Sowbug-related activity with the discovery in March 2017 of an entirel
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 6}",Sowbug,".................................................... 207 Sofacy, APT 28, Fancy Bear, Sednit ......................................................................................................................... 208 Sowbug .......................................................................................................................................................................... 216 Stalker Panda ............................."
Threat Group Cards.pdf,"{""page"": 216}",Sowbug,Threat Group Cards: A Threat Actor Encyclopedia 216 Sowbug Names Sowbug (Symantec) Country [Unknown] Motivation Information theft and espionage Description (Symantec) Symantec has identified a previously unknown group called Sowbug that has been conducting highly targeted
Threat Group Cards.pdf,"{""page"": 216}",Sowbug,Threat Group Cards: A Threat Actor Encyclopedia 216 Sowbug Names Sowbug (Symantec) Country [Unknown] Motivation Information theft and espionage Description (Symantec) Symantec has identified a previously unknown group called Sowbug that has been conducting highly targeted cyberattacks a
Threat Group Cards.pdf,"{""page"": 216}",Sowbug,Cards: A Threat Actor Encyclopedia 216 Sowbug Names Sowbug (Symantec) Country [Unknown] Motivation Information theft and espionage Description (Symantec) Symantec has identified a previously unknown group called Sowbug that has been conducting highly targeted cyberattacks against organizations in South America and Southeast Asia and appears to be heavily focused on foreign policy institutions and diplomatic targets. Sowbug has been
Threat Group Cards.pdf,"{""page"": 216}",Sowbug,p called Sowbug that has been conducting highly targeted cyberattacks against organizations in South America and Southeast Asia and appears to be heavily focused on foreign policy institutions and diplomatic targets. Sowbug has been seen mounting classic espionage attacks by stealing documents from the organizations it infiltrates. Symantec saw the first evidence of Sowbug-related activity with the discovery in March 2017 of an entirel
Threat Group Cards.pdf,"{""page"": 6}",Sowbug,".............................................................................. 207 Sofacy, APT 28, Fancy Bear, Sednit ............................................................................................... 208 Sowbug ................................................................................................................................................ 216 Stalker Panda ......................................................."
Threat_Group_Cards_v2.0.pdf,"{""page"": 306}",Sowbug,Threat Group Cards: A Threat Actor Encyclopedia 306 Sowbug Names Sowbug (Symantec) Country [Unknown] Motivation Information theft and espionage First seen 2015 Description (Symantec) Symantec has identified a previously unknown group called Sowbug that has been conducting
Threat_Group_Cards_v2.0.pdf,"{""page"": 306}",Sowbug,Threat Group Cards: A Threat Actor Encyclopedia 306 Sowbug Names Sowbug (Symantec) Country [Unknown] Motivation Information theft and espionage First seen 2015 Description (Symantec) Symantec has identified a previously unknown group called Sowbug that has been conducting highly target
Threat_Group_Cards_v2.0.pdf,"{""page"": 306}",Sowbug,Encyclopedia 306 Sowbug Names Sowbug (Symantec) Country [Unknown] Motivation Information theft and espionage First seen 2015 Description (Symantec) Symantec has identified a previously unknown group called Sowbug that has been conducting highly targeted cyberattacks against organizations in South America and Southeast Asia and appears to be heavily focused on foreign policy institutions and diplomatic targets. Sowbug has been
Threat_Group_Cards_v2.0.pdf,"{""page"": 306}",Sowbug,p called Sowbug that has been conducting highly targeted cyberattacks against organizations in South America and Southeast Asia and appears to be heavily focused on foreign policy institutions and diplomatic targets. Sowbug has been seen mounting classic espionage attacks by stealing documents from the organizations it infiltrates. Symantec saw the first evidence of Sowbug-related activity with the discovery in March 2017 of an entirely
Threat_Group_Cards_v2.0.pdf,"{""page"": 7}",Sowbug,".................................................... 295 Sofacy, APT 28, Fancy Bear, Sednit ......................................................................................................................... 296 Sowbug .......................................................................................................................................................................... 306 Sphinx ...................................."
