original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 22, ""sheet"": ""China""}",Suckfly,"Suckfly G0039 Nidiran, Korplug, PlugX Indian organisations and Republic of Korea http://www.symantec.com/connect/blogs/suckfly-revealing-secret-life-your-code-signing-certificates"
APT Groups and Operations.xlsx,"{""row"": 22, ""sheet"": ""China""}",suckfly,"Suckfly G0039 Nidiran, Korplug, PlugX Indian organisations and Republic of Korea http://www.symantec.com/connect/blogs/suckfly-revealing-secret-life-your-code-signing-certificates"
APT Groups and Operations.xlsx,"{""row"": 9, ""sheet"": ""Unknown""}",Suckfly,"Suckfly tcpscan, smbscan, wce, gsecdump, credentialdumper South Korea, India Alleged to be China based http://www.symantec.com/connect/blogs/suckfly-revealing-secret-life-your-code-signing-certificates http://www.symantec.com/c"
APT Groups and Operations.xlsx,"{""row"": 9, ""sheet"": ""Unknown""}",suckfly,"Suckfly tcpscan, smbscan, wce, gsecdump, credentialdumper South Korea, India Alleged to be China based http://www.symantec.com/connect/blogs/suckfly-revealing-secret-life-your-code-signing-certificates http://www.symantec.com/connect/blogs/indian-organizations-targeted-suckfly-attacks"
APT Groups and Operations.xlsx,"{""row"": 9, ""sheet"": ""Unknown""}",suckfly,"ldumper South Korea, India Alleged to be China based http://www.symantec.com/connect/blogs/suckfly-revealing-secret-life-your-code-signing-certificates http://www.symantec.com/connect/blogs/indian-organizations-targeted-suckfly-attacks"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 224}",Suckfly,"Threat Group Cards: A Threat Actor Encyclopedia 224 Suckfly Names Suckfly (Symantec) Country China Motivation Information theft and espionage Description (Symantec) In March 2016, Symantec published a blog on Suckfly, an advanced cyberespionage group that conducted attacks"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 224}",Suckfly,"Threat Group Cards: A Threat Actor Encyclopedia 224 Suckfly Names Suckfly (Symantec) Country China Motivation Information theft and espionage Description (Symantec) In March 2016, Symantec published a blog on Suckfly, an advanced cyberespionage group that conducted attacks against a numbe"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 224}",Suckfly,"reat Group Cards: A Threat Actor Encyclopedia 224 Suckfly Names Suckfly (Symantec) Country China Motivation Information theft and espionage Description (Symantec) In March 2016, Symantec published a blog on Suckfly, an advanced cyberespionage group that conducted attacks against a number of South Korean organizations to steal digital certificates. Since then we have identified a number of attacks over a two-year period, beginni"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 224}",Suckfly,"conducted attacks against a number of South Korean organizations to steal digital certificates. Since then we have identified a number of attacks over a two-year period, beginning in April 2014, which we attribute to Suckfly. The attacks targeted high-profile targets, including government and commercial organizations. These attacks occurred in several different countries, but our investigation revealed that the primary targets were indivi"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 6}",Suckfly,"........................................ 220 Strider, ProjectSauron ................................................................................................................................................. 223 Suckfly ............................................................................................................................................................................ 224 TA459 ..................................."
International Strategic/China/china-cyber-report.pdf,"{""page"": 46}",Suckfly,"considers APT41 interchangeable with Wicked Spider, Wicked Panda, and Barium.571 Venafi considers APT41 to be synonymous with the Chengdu-based individuals, Winnti, Wicked Panda, Wicked Spider, Barium, Blackfly, and Suckfly .572 Note: FireEye previously, but no longer associates the “GREF” threat group it identified in 2014 with APT41,573 but rather now as a group with which APT41 shares tools and digital certificates. 574 Some publicati"
Threat Group Cards.pdf,"{""page"": 223}",Suckfly,"Threat Group Cards: A Threat Actor Encyclopedia 223 Suckfly Names Suckfly (Symantec) Country China Motivation Information theft and espionage Description (Symantec) In March 2016, Symantec published a blog on Suckfly, an advanced cyberespionage group that conducted attacks"
Threat Group Cards.pdf,"{""page"": 223}",Suckfly,"Threat Group Cards: A Threat Actor Encyclopedia 223 Suckfly Names Suckfly (Symantec) Country China Motivation Information theft and espionage Description (Symantec) In March 2016, Symantec published a blog on Suckfly, an advanced cyberespionage group that conducted attacks against a numbe"
Threat Group Cards.pdf,"{""page"": 223}",Suckfly,"Threat Group Cards: A Threat Actor Encyclopedia 223 Suckfly Names Suckfly (Symantec) Country China Motivation Information theft and espionage Description (Symantec) In March 2016, Symantec published a blog on Suckfly, an advanced cyberespionage group that conducted attacks against a number of South Korean organizations to steal digital certificates. Since then we have identified a number of attacks over a two-year period, beginni"
Threat Group Cards.pdf,"{""page"": 223}",Suckfly,"conducted attacks against a number of South Korean organizations to steal digital certificates. Since then we have identified a number of attacks over a two-year period, beginning in April 2014, which we attribute to Suckfly. The attacks targeted high-profile targets, including government and commercial organizations. These attacks occurred in several different countries, but our investigation revealed that the primary targets were indivi"
Threat Group Cards.pdf,"{""page"": 6}",Suckfly,".................................................................. 220 Strider, ProjectSauron ....................................................................................................................... 222 Suckfly .................................................................................................................................................. 223 TA459 ............................................................."
Threat_Group_Cards_v2.0.pdf,"{""page"": 314}",Suckfly,"Threat Group Cards: A Threat Actor Encyclopedia 314 Suckfly Names Suckfly (Symantec) Country China Motivation Information theft and espionage First seen 2014 Description (Symantec) In March 2016, Symantec published a blog on Suckfly, an advanced cyberespionage group that c"
Threat_Group_Cards_v2.0.pdf,"{""page"": 314}",Suckfly,"Threat Group Cards: A Threat Actor Encyclopedia 314 Suckfly Names Suckfly (Symantec) Country China Motivation Information theft and espionage First seen 2014 Description (Symantec) In March 2016, Symantec published a blog on Suckfly, an advanced cyberespionage group that conducted attack"
Threat_Group_Cards_v2.0.pdf,"{""page"": 314}",Suckfly,"A Threat Actor Encyclopedia 314 Suckfly Names Suckfly (Symantec) Country China Motivation Information theft and espionage First seen 2014 Description (Symantec) In March 2016, Symantec published a blog on Suckfly, an advanced cyberespionage group that conducted attacks against a number of South Korean organizations to steal digital certificates. Since then we have identified a number of attacks over a two-year period, beginni"
Threat_Group_Cards_v2.0.pdf,"{""page"": 314}",Suckfly,"conducted attacks against a number of South Korean organizations to steal digital certificates. Since then we have identified a number of attacks over a two-year period, beginning in April 2014, which we attribute to Suckfly. The attacks targeted high-profile targets, including government and commercial organizations. These attacks occurred in several different countries, but our investigation revealed that the primary targets were indivi"
Threat_Group_Cards_v2.0.pdf,"{""page"": 7}",Suckfly,"........................................ 310 Strider, ProjectSauron ................................................................................................................................................. 313 Suckfly ............................................................................................................................................................................ 314"
