original_source_path,original_source_location,matched_name,context_excerpt
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 228}",Taidoor,"Threat Group Cards: A Threat Actor Encyclopedia 228 Taidoor Names Taidoor (Trend Micro) Country China Motivation Information theft and espionage Description (Trend Micro) The Taidoor attackers have been actively engaging in targeted attacks since at least March 4, 2009. Des"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 228}",Taidoor,"Threat Group Cards: A Threat Actor Encyclopedia 228 Taidoor Names Taidoor (Trend Micro) Country China Motivation Information theft and espionage Description (Trend Micro) The Taidoor attackers have been actively engaging in targeted attacks since at least March 4, 2009. Despite some excep"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 228}",Taidoor,"Threat Group Cards: A Threat Actor Encyclopedia 228 Taidoor Names Taidoor (Trend Micro) Country China Motivation Information theft and espionage Description (Trend Micro) The Taidoor attackers have been actively engaging in targeted attacks since at least March 4, 2009. Despite some exceptions, the Taidoor campaign often used Taiwanese IP addresses as C&C servers and email addresses to send out s"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 228}",Taidoor,"ro) Country China Motivation Information theft and espionage Description (Trend Micro) The Taidoor attackers have been actively engaging in targeted attacks since at least March 4, 2009. Despite some exceptions, the Taidoor campaign often used Taiwanese IP addresses as C&C servers and email addresses to send out socially engineered emails with malware as attachments. One of the primary targets of the Taidoor campaign appeared to be the"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 6}",Taidoor,............................. 225 TA505 ............................................................................................................................................................................. 226 Taidoor ........................................................................................................................................................................... 228 TeamSpy Crew .............................
Threat Group Cards.pdf,"{""page"": 227}",Taidoor,"Threat Group Cards: A Threat Actor Encyclopedia 227 Taidoor Names Taidoor (Trend Micro) Country China Motivation Information theft and espionage Description (Trend Micro) The Taidoor attackers have been actively engaging in targeted attacks since at least March 4, 2009. Des"
Threat Group Cards.pdf,"{""page"": 227}",Taidoor,"Threat Group Cards: A Threat Actor Encyclopedia 227 Taidoor Names Taidoor (Trend Micro) Country China Motivation Information theft and espionage Description (Trend Micro) The Taidoor attackers have been actively engaging in targeted attacks since at least March 4, 2009. Despite some excep"
Threat Group Cards.pdf,"{""page"": 227}",Taidoor,"Threat Group Cards: A Threat Actor Encyclopedia 227 Taidoor Names Taidoor (Trend Micro) Country China Motivation Information theft and espionage Description (Trend Micro) The Taidoor attackers have been actively engaging in targeted attacks since at least March 4, 2009. Despite some exceptions, the Taidoor campaign often used Taiwanese IP addresses as C&C servers and email addresses to send out s"
Threat Group Cards.pdf,"{""page"": 227}",Taidoor,"ro) Country China Motivation Information theft and espionage Description (Trend Micro) The Taidoor attackers have been actively engaging in targeted attacks since at least March 4, 2009. Despite some exceptions, the Taidoor campaign often used Taiwanese IP addresses as C&C servers and email addresses to send out socially engineered emails with malware as attachments. One of the primary targets of the Taidoor campaign appeared to be the"
Threat Group Cards.pdf,"{""page"": 6}",Taidoor,....................................................... 224 TA505 ................................................................................................................................................... 225 Taidoor ................................................................................................................................................. 227 TeamSpy Crew .......................................................
Threat_Group_Cards_v2.0.pdf,"{""page"": 333}",Taidoor,Threat Group Cards: A Threat Actor Encyclopedia 333 Taidoor Names Taidoor (Trend Micro) Country China Motivation Information theft and espionage First seen 2009 Description (Trend Micro) The Taidoor attackers have been actively engaging in targeted attacks since at least M
Threat_Group_Cards_v2.0.pdf,"{""page"": 333}",Taidoor,"Threat Group Cards: A Threat Actor Encyclopedia 333 Taidoor Names Taidoor (Trend Micro) Country China Motivation Information theft and espionage First seen 2009 Description (Trend Micro) The Taidoor attackers have been actively engaging in targeted attacks since at least March 4, 2009. D"
Threat_Group_Cards_v2.0.pdf,"{""page"": 333}",Taidoor,"Threat Group Cards: A Threat Actor Encyclopedia 333 Taidoor Names Taidoor (Trend Micro) Country China Motivation Information theft and espionage First seen 2009 Description (Trend Micro) The Taidoor attackers have been actively engaging in targeted attacks since at least March 4, 2009. Despite some exceptions, the Taidoor campaign often used Taiwanese IP addresses as C&C servers and email addresses to send out s"
Threat_Group_Cards_v2.0.pdf,"{""page"": 333}",Taidoor,"a Motivation Information theft and espionage First seen 2009 Description (Trend Micro) The Taidoor attackers have been actively engaging in targeted attacks since at least March 4, 2009. Despite some exceptions, the Taidoor campaign often used Taiwanese IP addresses as C&C servers and email addresses to send out socially engineered emails with malware as attachments. One of the primary targets of the Taidoor campaign appeared to be the"
Threat_Group_Cards_v2.0.pdf,"{""page"": 8}",Taidoor,............................. 331 TA555 ............................................................................................................................................................................. 332 Taidoor ........................................................................................................................................................................... 333 TaskMasters ..............................
summary/2024/threat actor list from cs.csv,"{""row"": 185}",Taidoor,Taidoor Jan 2019 Inactive China 4 3 Targeted State-Sponsored
