value,type,artifact_type,observed_at,campaign_refs,malware_refs,infrastructure_refs,roles,context_excerpt
masscan.cloud,domain,,,activity--teampcp-oligo-lineage-2020-2026,,infra--masscan-cloud,infrastructure,Certificate-transparency first-seen 2025-05-11 for the base domain; certificate-transparency-first-seen-not-activity-time
masscan.cloud,domain,,2025-07-26,activity--teampcp-oligo-lineage-2020-2026,,infra--masscan-cloud,c2|delivery,Oligo payload-evolution table identifies masscan.cloud/ep9TS2/ndt.sh on 2025-07-26
matrix.masscan.cloud,domain,,,activity--teampcp-oligo-lineage-2020-2026,,infra--masscan-cloud,infrastructure,Certificate-transparency first-seen 2025-05-11 for the exact subdomain; certificate-transparency-first-seen-not-activity-time
matrix.masscan.cloud,domain,,2025-07-26,activity--teampcp-oligo-lineage-2020-2026,,infra--masscan-cloud,c2|delivery,Exact host in the wget command recorded from a compromised Ray cluster on 2025-07-26
natalstatus.org,domain,,,activity--teampcp-oligo-lineage-2020-2026,,infra--masscan-cloud,c2,Oligo identifies natalstatus.org as historical primary backend but gives no exact observation date for this domain row
auth.masscan.cloud,domain,,2025-10-31,activity--teampcp-oligo-lineage-2020-2026,,infra--masscan-cloud,phishing,Exact malicious subdomain first observed 2025-10-31; authentication and credential phishing
checkout.masscan.cloud,domain,,2025-11-19,activity--teampcp-oligo-lineage-2020-2026,,infra--masscan-cloud,phishing,Exact malicious subdomain first observed 2025-11-19; checkout-page phishing
pay.masscan.cloud,domain,,2025-11-19,activity--teampcp-oligo-lineage-2020-2026,,infra--masscan-cloud,phishing,Exact malicious subdomain first observed 2025-11-19; payment phishing
mail.masscan.cloud,domain,,2025-12-29,activity--teampcp-oligo-lineage-2020-2026,,infra--masscan-cloud,email-infrastructure,Exact malicious subdomain first observed 2025-12-29; email infrastructure
test.masscan.cloud,domain,,2026-01-02,activity--teampcp-oligo-lineage-2020-2026,,infra--masscan-cloud,testing-infrastructure,Exact malicious subdomain first observed 2026-01-02; infrastructure testing
pcp.masscan.cloud,domain,,2026-04,activity--teampcp-oligo-lineage-2020-2026,,infra--masscan-cloud,redirect,Oligo observed this exact subdomain redirecting to the TeamPCP Telegram channel during April 2026
scan.aquasecurity.org,domain,,,activity--teampcp-oligo-lineage-2020-2026|activity--teampcp-oss-supply-chain-2026,,infra--teampcp-oss-staging-2026,staging,Certificate-transparency first-seen 2026-03-17 for this exact staging domain; certificate-transparency-first-seen-not-activity-time
checkmarx.zone,domain,,,activity--teampcp-oligo-lineage-2020-2026|activity--teampcp-oss-supply-chain-2026,,infra--teampcp-oss-staging-2026,staging,Certificate-transparency first-seen 2026-03-22 for this exact staging domain; certificate-transparency-first-seen-not-activity-time
103.79.77.16,ipv4,,2025-06,activity--teampcp-oligo-lineage-2020-2026,,infra--masscan-cloud,delivery,Host documented in the wild during June 2025 serving the distinctive /ep9TS2/ndt.sh path
104.164.55.217,ipv4,,2025-08-01,activity--teampcp-oligo-lineage-2020-2026,,infra--masscan-cloud,delivery,URLhaus-associated address for malware distribution from matrix.masscan.cloud beginning 2025-08-01
