original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 11, ""sheet"": ""Russia""}",SIG39,"TeamSpy Crew SIG39 TeamSpy Malicious TeamViewer versions, JAVA RATs This threat actor primarily compromises government entities and human rights activists in Eastern Europe and Central Asia for espionage purposes. It has also compromised"
APT Groups and Operations.xlsx,"{""row"": 11, ""sheet"": ""Russia""}",TeamSpy Crew,"TeamSpy Crew SIG39 TeamSpy Malicious TeamViewer versions, JAVA RATs This threat actor primarily compromises government entities and human rights activists in Eastern Europe and Central Asia for espionage purposes. It has also compro"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 229}",SIG39,Threat Group Cards: A Threat Actor Encyclopedia 229 TeamSpy Crew Names TeamSpy Crew (Kaspersky) SIG39 (NSA) Country Russia Motivation Information theft and espionage Description (Kaspersky) Researchers have uncovered a long-term cyber-espionage campaign that used a combination of legitimate software packages and com
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 229}",TeamSpy Crew,Threat Group Cards: A Threat Actor Encyclopedia 229 TeamSpy Crew Names TeamSpy Crew (Kaspersky) SIG39 (NSA) Country Russia Motivation Information theft and espionage Description (Kaspersky) Researchers have uncovered a long-term cyber-espionage campaign that used a combination
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 229}",TeamSpy Crew,Threat Group Cards: A Threat Actor Encyclopedia 229 TeamSpy Crew Names TeamSpy Crew (Kaspersky) SIG39 (NSA) Country Russia Motivation Information theft and espionage Description (Kaspersky) Researchers have uncovered a long-term cyber-espionage campaign that used a combination of legitimate softwa
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 229}",TeamSpy crew,"ber-espionage campaign that used a combination of legitimate software packages and commodity malware tools to target a variety of heavy industry, government intelligence agencies and political activists. Known as the TeamSpy crew because of its affinity for using the legitimate TeamViewer application as part of its toolset, the attackers may have been active for as long as 10 years, researchers say. The attack appears to be a years-long espio"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 6}",TeamSpy Crew,............................. 226 Taidoor ........................................................................................................................................................................... 228 TeamSpy Crew ............................................................................................................................................................. 229 TeleBots ...............................................
Threat Group Cards.pdf,"{""page"": 228}",SIG39,Threat Group Cards: A Threat Actor Encyclopedia 228 TeamSpy Crew Names TeamSpy Crew (Kaspersky) SIG39 (NSA) Country Russia Motivation Information theft and espionage Description (Kaspersky) Researchers have uncovered a long-term cyber-espionage campaign that used a combination of legitimate software packages and com
Threat Group Cards.pdf,"{""page"": 228}",TeamSpy Crew,Threat Group Cards: A Threat Actor Encyclopedia 228 TeamSpy Crew Names TeamSpy Crew (Kaspersky) SIG39 (NSA) Country Russia Motivation Information theft and espionage Description (Kaspersky) Researchers have uncovered a long-term cyber-espionage campaign that used a combination
Threat Group Cards.pdf,"{""page"": 228}",TeamSpy Crew,Threat Group Cards: A Threat Actor Encyclopedia 228 TeamSpy Crew Names TeamSpy Crew (Kaspersky) SIG39 (NSA) Country Russia Motivation Information theft and espionage Description (Kaspersky) Researchers have uncovered a long-term cyber-espionage campaign that used a combination of legitimate softwa
Threat Group Cards.pdf,"{""page"": 228}",TeamSpy crew,"ber-espionage campaign that used a combination of legitimate software packages and commodity malware tools to target a variety of heavy industry, government intelligence agencies and political activists. Known as the TeamSpy crew because of its affinity for using the legitimate TeamViewer application as part of its toolset, the attackers may have been active for as long as 10 years, researchers say. The attack appears to be a years-long espio"
