original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 9, ""sheet"": ""North Korea""}",TEMP.Hermit,"TEMP.Hermit APT38 G0082 VOLGMER, PEACHPIT Korean Peninsula, US Aerospace, SWIFT-fraud operations in East Asia Media, government, but mainly financial institutions in order to raise money for the North Korean regime: Russia, Turkey,"
APT43/APT43 Report.pdf,"{""page"": 10}",TEMP.Hermit,"DEC JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC JAN FEB MAR APR MAY JUN JULY AUG SEP OCT MONKEYCHERRY / UNC786 LOGCABIN / UNC1873 WORRYWART / UNC2226 HANGMAN / UNC785 TEMP.Hermit Other assorted North Korean groups FIGURE 7. Convergence between APT43, TEMP.Hermit, and other tracked North Korean clusters based on malware deployment"
APT43/APT43 Report.pdf,"{""page"": 10}",TEMP.Hermit,"SEP OCT NOV DEC JAN FEB MAR APR MAY JUN JULY AUG SEP OCT MONKEYCHERRY / UNC786 LOGCABIN / UNC1873 WORRYWART / UNC2226 HANGMAN / UNC785 TEMP.Hermit Other assorted North Korean groups FIGURE 7. Convergence between APT43, TEMP.Hermit, and other tracked North Korean clusters based on malware deployment"
CyberMerceNary/ITWorker/DTEX-Exposing+DPRK+Cyber+Syndicate+and+Hidden+IT+Workforce.pdf,"{""page"": 10}",TEMP.Hermit,"thefts, right? Not quite. Actors likely associated with TraderTraitor have been mobilized for ad hoc cyber espionage efforts targeting the defense industrial base. Therefore, comparing TraderTraitor to groups such as TEMP.Hermit may not be entirely productive. 2. The second assumption, that roles within the DPRK cyber program are as rigid as the regime that sponsors it, and we would never see people changing jobs the way they do in the West"
CyberMerceNary/ITWorker/DTEX-Exposing+DPRK+Cyber+Syndicate+and+Hidden+IT+Workforce.pdf,"{""page"": 14}",TEMP.Hermit,"sions, suggesting that we may see more North Koreans experimenting with cybercriminal operations to meet their quotas. According to a blog on Moonstone Sleet actors— whose malware bears some similarities to historic TEMP.Hermit malware—using the Qilin ransomware gang’s payload to compromise several targets. This is one of the first reported instances of a North Korean threat group working with another cybercriminal outfit to conduct operat"
CyberMerceNary/ITWorker/DTEX-Exposing+DPRK+Cyber+Syndicate+and+Hidden+IT+Workforce.pdf,"{""page"": 15}",TEMP.Hermit,"y allow such communication. We specifically noticed this with APT45, where APT managers seemed to have communication or oversight of IT teams. Figure 6. DPRK APT groups over the years. 2009-10 Lazarus Group 2020-21 • TEMP.Hermit • APT37 • APT43 • APT45 • Konni • ITW • Ruby Sleet • CryptoCore • TraderTraitor • AppleJeus • Front Companies Program Development 2025 • TEMP.Hermit • APT37 • APT43 • APT45 • Konni • ITW • Ruby Sleet • Gwisin Gang • Mal"
CyberMerceNary/ITWorker/DTEX-Exposing+DPRK+Cyber+Syndicate+and+Hidden+IT+Workforce.pdf,"{""page"": 8}",TEMP.Hermit,-ITW = Malicious IT Workers GSD = General Staff Department RGB = Reconnaissance General Bureau MSS = Ministry of State Security R-ITW CHINYONG M-ITW M-ITW M-ITW 227 RESEARCH CENTER (AI) Gwisin Gang Moonstone Sleet TEMP.Hermit + AppleJeus Poss ITW CryptoCore TraderTraitor Workers’ Party of Korea R-ITW MID MND APT37 Poss Legacy Lab 110 GSD Espionage + Legacy 970th Espionage DPRK Cyber to Physical Organization Assessment Groups with Unknown
CyberMerceNary/ITWorker/DTEX-Exposing+DPRK+Cyber+Syndicate+and+Hidden+IT+Workforce.pdf,"{""page"": 8}",TEMP.Hermit,-ITW = Malicious IT Workers GSD = General Staff Department RGB = Reconnaissance General Bureau MSS = Ministry of State Security R-ITW CHINYONG M-ITW M-ITW M-ITW 227 RESEARCH CENTER (AI) Gwisin Gang Moonstone Sleet TEMP.Hermit + AppleJeus Poss ITW CryptoCore TraderTraitor Workers’ Party of Korea R-ITW
International Strategic/Korea/DTEX-Exposing+DPRK+Cyber+Syndicate+and+Hidden+IT+Workforce.pdf,"{""page"": 10}",TEMP.Hermit,"thefts, right? Not quite. Actors likely associated with TraderTraitor have been mobilized for ad hoc cyber espionage efforts targeting the defense industrial base. Therefore, comparing TraderTraitor to groups such as TEMP.Hermit may not be entirely productive. 2. The second assumption, that roles within the DPRK cyber program are as rigid as the regime that sponsors it, and we would never see people changing jobs the way they do in the West"
International Strategic/Korea/DTEX-Exposing+DPRK+Cyber+Syndicate+and+Hidden+IT+Workforce.pdf,"{""page"": 14}",TEMP.Hermit,"sions, suggesting that we may see more North Koreans experimenting with cybercriminal operations to meet their quotas. According to a blog on Moonstone Sleet actors— whose malware bears some similarities to historic TEMP.Hermit malware—using the Qilin ransomware gang’s payload to compromise several targets. This is one of the first reported instances of a North Korean threat group working with another cybercriminal outfit to conduct operat"
