original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 13, ""sheet"": ""China""}",thrip,rarstone-found-in-targeted-attacks/ https://www.threatconnect.com/camerashy/ http://www.crowdstrike.com/blog/rhetoric-foreshadows-cyber-activity-in-the-south-china-sea/ https://www.symantec.com/blogs/threat-intelligence/thrip-hits-satellite-telecoms-defense-targets https://www.crowdstrike.com/resources/reports/2019-crowdstrike-global-threat-report/ https://www.symantec.com/blogs/threat-intelligence/thrip-apt-south-east-asia https://research.
APT Groups and Operations.xlsx,"{""row"": 13, ""sheet"": ""China""}",thrip,ymantec.com/blogs/threat-intelligence/thrip-hits-satellite-telecoms-defense-targets https://www.crowdstrike.com/resources/reports/2019-crowdstrike-global-threat-report/ https://www.symantec.com/blogs/threat-intelligence/thrip-apt-south-east-asia https://research.checkpoint.com/2020/naikon-apt-cyber-espionage-reloaded/ https://cluster25.io/2022/04/29/lotus-panda-awake-last-strike/ https://symantec-enterprise-blogs.security.com/blogs/threat-in
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 235}",Thrip,"Threat Group Cards: A Threat Actor Encyclopedia 235 Thrip Names Thrip (Symantec) Country China Motivation Information theft, espionage and sabotage Description (Symantec) Perhaps the most worrying discovery we made was that Thrip had targeted a satellite communications op"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 235}",Thrip,"Threat Group Cards: A Threat Actor Encyclopedia 235 Thrip Names Thrip (Symantec) Country China Motivation Information theft, espionage and sabotage Description (Symantec) Perhaps the most worrying discovery we made was that Thrip had targeted a satellite communications operator. The a"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 235}",Thrip,"s: A Threat Actor Encyclopedia 235 Thrip Names Thrip (Symantec) Country China Motivation Information theft, espionage and sabotage Description (Symantec) Perhaps the most worrying discovery we made was that Thrip had targeted a satellite communications operator. The attack group seemed to be particularly interested in the operational side of the company, looking for and infecting computers running software that monitors and c"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 235}",Thrip,"ator. The attack group seemed to be particularly interested in the operational side of the company, looking for and infecting computers running software that monitors and controls satellites. This suggests to us that Thrip’s motives go beyond spying and may also include disruption. Another target was an organization involved in geospatial imaging and mapping. Again, Thrip seemed to be mainly interested in the operational side of the co"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 6}",Thrip,".............................. 233 Terbium .......................................................................................................................................................................... 234 Thrip ............................................................................................................................................................................... 235 Transparent Tribe, APT 36 ............"
Threat Group Cards.pdf,"{""page"": 234}",Thrip,"Threat Group Cards: A Threat Actor Encyclopedia 234 Thrip Names Thrip (Symantec) Country China Motivation Information theft, espionage and sabotage Description (Symantec) Perhaps the most worrying discovery we made was that Thrip had targeted a satellite communications op"
Threat Group Cards.pdf,"{""page"": 234}",Thrip,"Threat Group Cards: A Threat Actor Encyclopedia 234 Thrip Names Thrip (Symantec) Country China Motivation Information theft, espionage and sabotage Description (Symantec) Perhaps the most worrying discovery we made was that Thrip had targeted a satellite communications operator. The a"
Threat Group Cards.pdf,"{""page"": 234}",Thrip,"Cards: A Threat Actor Encyclopedia 234 Thrip Names Thrip (Symantec) Country China Motivation Information theft, espionage and sabotage Description (Symantec) Perhaps the most worrying discovery we made was that Thrip had targeted a satellite communications operator. The attack group seemed to be particularly interested in the operational side of the company, looking for and infecting computers running software that monitors and c"
Threat Group Cards.pdf,"{""page"": 234}",Thrip,"ator. The attack group seemed to be particularly interested in the operational side of the company, looking for and infecting computers running software that monitors and controls satellites. This suggests to us that Thrip’s motives go beyond spying and may also include disruption. Another target was an organization involved in geospatial imaging and mapping. Again, Thrip seemed to be mainly interested in the operational side of the co"
Threat Group Cards.pdf,"{""page"": 6}",Thrip,"........................................................ 232 Terbium ................................................................................................................................................ 233 Thrip ..................................................................................................................................................... 234 Transparent Tribe, APT 36 ......................................"
Threat_Group_Cards_v2.0.pdf,"{""page"": 189}",Thrip,"Threat Group Cards: A Threat Actor Encyclopedia 189 Lotus Blossom, Spring Dragon, Thrip Names Lotus Blossom (Palo Alto) Spring Dragon (Kaspersky) Dragonfish (iDefense) Billbug (Symantec) Thrip (Symantec) ATK 1 (Thales) ATK 78 (Thales) Country China Sponsor State-sponsored Motivation Information t"
Threat_Group_Cards_v2.0.pdf,"{""page"": 189}",Thrip,"Threat Group Cards: A Threat Actor Encyclopedia 189 Lotus Blossom, Spring Dragon, Thrip Names Lotus Blossom (Palo Alto) Spring Dragon (Kaspersky) Dragonfish (iDefense) Billbug (Symantec) Thrip (Symantec) ATK 1 (Thales) ATK 78 (Thales) Country China Sponsor State-sponsored Motivation Information theft and espionage First seen 2012 Description (Kaspersky) Spring Dragon is a long running APT actor that op"
Threat_Group_Cards_v2.0.pdf,"{""page"": 190}",Thrip,"18, TAA triggered an alert at a large telecoms operator in Southeast Asia. <https://www.symantec.com/blogs/threat-intelligence/thrip-hits- satellite-telecoms-defense-targets> Jun 2018 Since Symantec first exposed the Thrip group in 2018, the stealthy China-based espionage group has continued to mount attacks in South East Asia, hitting military organizations, satellite communications operators, and a diverse range of other targets in t"
Threat_Group_Cards_v2.0.pdf,"{""page"": 190}",thrip,"dia/PDF-46/Accenture-Security-Dragonfish-Threat- Analysis.pdf> Jan 2018 Back in January 2018, TAA triggered an alert at a large telecoms operator in Southeast Asia. <https://www.symantec.com/blogs/threat-intelligence/thrip-hits- satellite-telecoms-defense-targets> Jun 2018 Since Symantec first exposed the Thrip group in 2018, the stealthy China-based espionage group has continued to mount attacks in South East Asia, hitting military or"
Threat_Group_Cards_v2.0.pdf,"{""page"": 5}",Thrip,"......... 187 LookBack, TA410 ......................................................................................................................................................... 188 Lotus Blossom, Spring Dragon, Thrip ....................................................................................................................... 189 Lucky Cat ...................................................................................."
summary/2022/APT group Intelligence Research handbook-2022.pdf,"{""page"": 106}",Thrip,APT 组织情报研究年鉴 98 6.1.27 Thrip 组织名 Thrip 中文名 无 组织地理 未知 别名 无 历史目标 美国，东南亚 目标行业 航空航天，国防，教育，政府，高科技，卫星， 电信 发现时间 2019-09-12 最近活跃 2019-09-12 动机 间谍活动，信息窃取 描述 Thrip 组织主要针对美国和东南亚的卫星通信，电信，地理空间成像和国防部门进行间谍活动。该组织 使用大量合法软件如：PsExec、Powershell、Mimikatz、WinSCP 和 LogM
summary/2022/APT group Intelligence Research handbook-2022.pdf,"{""page"": 106}",Thrip,APT 组织情报研究年鉴 98 6.1.27 Thrip 组织名 Thrip 中文名 无 组织地理 未知 别名 无 历史目标 美国，东南亚 目标行业 航空航天，国防，教育，政府，高科技，卫星， 电信 发现时间 2019-09-12 最近活跃 2019-09-12 动机 间谍活动，信息窃取 描述 Thrip 组织主要针对美国和东南亚的卫星通信，电信，地理空间成像和国防部门进行间谍活动。该组织 使用大量合法软件如：PsExec、Powershell、Mimikatz、WinSCP 和 LogMeln，同时具备自主
summary/2022/APT group Intelligence Research handbook-2022.pdf,"{""page"": 106}",Thrip,APT 组织情报研究年鉴 98 6.1.27 Thrip 组织名 Thrip 中文名 无 组织地理 未知 别名 无 历史目标 美国，东南亚 目标行业 航空航天，国防，教育，政府，高科技，卫星， 电信 发现时间 2019-09-12 最近活跃 2019-09-12 动机 间谍活动，信息窃取 描述 Thrip 组织主要针对美国和东南亚的卫星通信，电信，地理空间成像和国防部门进行间谍活动。该组织 使用大量合法软件如：PsExec、Powershell、Mimikatz、WinSCP 和 LogMeln，同时具备自主研发的 Catchamas 木马，具有信息窃取，规避检测等功能。 知识关联 报告数量 威胁指示器数量 网络基础设施数量 恶意样本数量 利用漏洞数量 2 0 0 0 0 最近发布报告 2018-06-19 Thrip: Espiona
summary/2022/APT group Intelligence Research handbook-2022.pdf,"{""page"": 106}",Thrip,"，信息窃取 描述 Thrip 组织主要针对美国和东南亚的卫星通信，电信，地理空间成像和国防部门进行间谍活动。该组织 使用大量合法软件如：PsExec、Powershell、Mimikatz、WinSCP 和 LogMeln，同时具备自主研发的 Catchamas 木马，具有信息窃取，规避检测等功能。 知识关联 报告数量 威胁指示器数量 网络基础设施数量 恶意样本数量 利用漏洞数量 2 0 0 0 0 最近发布报告 2018-06-19 Thrip: Espionage Group Hits Satellite, Telecoms, and Defense Companies alienvault 2018-06-19 Thrip mitre att&ck MITRE APT 组织画像"
summary/2022/APT group Intelligence Research handbook-2022.pdf,"{""page"": 106}",Thrip,"、WinSCP 和 LogMeln，同时具备自主研发的 Catchamas 木马，具有信息窃取，规避检测等功能。 知识关联 报告数量 威胁指示器数量 网络基础设施数量 恶意样本数量 利用漏洞数量 2 0 0 0 0 最近发布报告 2018-06-19 Thrip: Espionage Group Hits Satellite, Telecoms, and Defense Companies alienvault 2018-06-19 Thrip mitre att&ck MITRE APT 组织画像"
summary/2023/group-ib-hi-tech-crime-trends-2022-2023-ru.pdf,"{""page"": 129}",THRIP,которых спонсируются Китаем. Название 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 APT10 ЯНВ. ИЮНЬ BACKDOORDIPLOMACY ЯНВ. ИЮНЬ OILRIG АПР. МАЙ APT41 ЯНВ. ИЮНЬ REGIN APT5 ЯНВ. МАРТ APT28 MUDDYWATER СЕНТ. ДЕК. THRIP APT33 ИЮНЬ НОЯБ. CHAFER ИЮЛЬ ЯНВ. LAZARUS МАРТ НОЯБ. HEXANE АПР. ОКТ. MOLERATS MIKROCEEN MUSTANG PANDA DARK HALO IRONTIGER АПР. АВГ . LEBANESE CEDAR PATCHWORK ОКТ. ДЕК. NAIKON OWL TRAITOR WOROK Red Menshen Aoqin Dragon
ui/api/v1/search.json,"{""json_path"": ""$.entities[245].aliases[5]""}",Thrip,Thrip
ui/api/v1/search.json,"{""json_path"": ""$.entities[245].refs[2].target""}",thrip,actor:thrip
ui/api/v1/search.json,"{""json_path"": ""$.entities[517].detail""}",thrip,thrip
ui/api/v1/search.json,"{""json_path"": ""$.entities[517].id""}",thrip,actor:thrip
ui/api/v1/search.json,"{""json_path"": ""$.entities[517].label""}",Thrip,Thrip
