type,value,artifact_type,malware_refs,infrastructure_refs,roles,context
md5,A239E655709A2518DD0B7BDBED163679,,malware--nightledger,,malware-sample,NightLedger検体
md5,5FA15EF96808EA82F0A6176F0BB4B386,,malware--arcbridge,,malware-sample,ArcBridge検体
md5,42F847597109DA2A220391BB09D00676,,malware--arcbridge,,malware-sample,ArcBridge検体
md5,AFB1C1583606599C7272CFB33CC6F498,,malware--arcbridge,,malware-sample,ArcBridge検体
md5,6038D42AF0AFFD1FB263F470C0956F6B,,malware--bridgehead,,malware-sample,BridgeHead検体
md5,AE628EFA305387B633DCE82F9364875B,,malware--bridgehead,,malware-sample,BridgeHead検体
md5,F7D36CC5904A53252D2BB3D21615134F,,malware--bridgehead,,malware-sample,BridgeHead検体
md5,C90F0EFADBF322E5EB1C4103A38C30E6,,malware--bridgehead,,malware-sample,BridgeHead検体
md5,D09B14A2FE01C7363ECC56F5D046162C,,malware--bridgehead,,malware-sample,BridgeHead検体
md5,C832ECD135781B11F59E3FFFB3D2B6AC,,malware--bridgehead,,malware-sample,本文で示されたBridgeHead亜種
domain,smartconnect.azurewebsites.net,,,infrastructure--mirage-kitten-cloud-c2,c2,BridgeHead WebSocket C2
domain,businessmixture.com,,,infrastructure--mirage-kitten-cloud-c2,c2,BridgeHead WSS C2
domain,global-reds.com,,,infrastructure--mirage-kitten-cloud-c2,c2,公開IOC一覧のインフラ
domain,maadinglobal.com,,,infrastructure--mirage-kitten-cloud-c2,c2,公開IOC一覧のインフラ
domain,business-deegital.com,,,infrastructure--mirage-kitten-cloud-c2,c2,公開IOC一覧のインフラ
domain,business-deegital.azurewebsites.net,,,infrastructure--mirage-kitten-cloud-c2,c2,公開IOC一覧のインフラ
domain,businessdeegital.azurewebsites.net,,,infrastructure--mirage-kitten-cloud-c2,c2,公開IOC一覧のインフラ
domain,neexportfolio.azurewebsites.net,,,infrastructure--mirage-kitten-cloud-c2,c2,公開IOC一覧のインフラ
domain,neexportfolio.com,,,infrastructure--mirage-kitten-cloud-c2,c2,公開IOC一覧のインフラ
domain,neexportfolio.eastus.cloudapp.azure.com,,,infrastructure--mirage-kitten-cloud-c2,c2,公開IOC一覧のインフラ
ipv4,172.86.98.113,,,infrastructure--mirage-kitten-cloud-c2,c2,公開IOC一覧のインフラ
domain,aecert.org,,malware--arcbridge,infrastructure--mirage-kitten-cloud-c2,c2,ArcBridge設定内C2
domain,realhealthshop.com,,malware--nightledger,infrastructure--mirage-kitten-cloud-c2,c2,NightLedger主要C2
domain,tjconsultingservices.com,,malware--nightledger,infrastructure--mirage-kitten-cloud-c2,fallback-c2,NightLedger予備C2
domain,thehealth-life.com,,,infrastructure--mirage-kitten-cloud-c2,c2,公開IOC一覧のインフラ
domain,buisness-centeral-transportation.com,,,infrastructure--mirage-kitten-cloud-c2,c2,公開IOC一覧のインフラ
domain,healthcarezoom-centeral.azurewebsites.net,,,infrastructure--mirage-kitten-cloud-c2,c2,公開IOC一覧のインフラ
domain,healthcarezoomcenteral.azurewebsites.net,,,infrastructure--mirage-kitten-cloud-c2,c2,公開IOC一覧のインフラ
domain,healthcarezoomcenteral.org,,,infrastructure--mirage-kitten-cloud-c2,c2,公開IOC一覧のインフラ
domain,toadreport.azurewebsites.net,,,infrastructure--mirage-kitten-cloud-c2,c2,公開IOC一覧のインフラ
domain,business-startup.azurewebsites.net,,,infrastructure--mirage-kitten-cloud-c2,c2,公開IOC一覧のインフラ
domain,businessstartup.azurewebsites.net,,,infrastructure--mirage-kitten-cloud-c2,c2,公開IOC一覧のインフラ
artifact,SspiCli.dll,file-name,malware--nightledger,,payload-file,NightLedgerが偽装するDLL名
artifact,AppVShNotify.exe,file-name,malware--nightledger,,loader,サイドロードに使う正規実行ファイル
artifact,unbcl.dll,file-name,malware--bridgehead,,payload-file,Egypt環境での配置名
artifact,libwinpthread-1.dll,file-name,malware--bridgehead,,payload-file,Pakistan環境での配置名
artifact,IPHLPAPI.dll,file-name,malware--bridgehead,,payload-file,BridgeHead検体名
artifact,NetSetup.log,file-name,malware--nightledger,,collection-target,NightLedgerの収集対象ログ
artifact,%LocalAppData%\Microsoft\VisualStudio,file-path,malware--bridgehead,,installation-path,Egypt環境での配置先
artifact,C:\program files (x86)\univpn\promote\libwinpthread-1.dll,file-path,malware--bridgehead,,installation-path,Pakistan環境での配置先
artifact,C:\Windows\debug\NetSetup.log,file-path,malware--nightledger,,collection-target,NightLedgerの収集対象
artifact,A8215357-F99A-44FE-BC65-D8F0434B0C03,mutex,malware--nightledger,,single-instance,単一起動用mutex
artifact,F56E68DA-4A89-46B4-9AC8-7290A7651000,mutex,malware--arcbridge,,single-instance,単一起動用mutex
artifact,/edfcvfgbhnjmkqwasderfgg,uri-path,malware--nightledger,infrastructure--mirage-kitten-cloud-c2,c2-get,NightLedger GETパス
artifact,/qasxcdfvgbhnmyuioplkhnj,uri-path,malware--nightledger,infrastructure--mirage-kitten-cloud-c2,c2-upload,NightLedgerアップロードパス
artifact,/wsdefvvbnhyuijkplmbgfrtt,uri-path,malware--nightledger,infrastructure--mirage-kitten-cloud-c2,c2-post,NightLedger結果送信パス
artifact,/connect,uri-path,malware--bridgehead,infrastructure--mirage-kitten-cloud-c2,websocket-upgrade,BridgeHead接続パス
artifact,/blog,uri-path,malware--bridgehead,infrastructure--mirage-kitten-cloud-c2,wss-c2,BridgeHead亜種接続パス
artifact,#%%#,sample-string,malware--nightledger,,protocol-delimiter,NightLedger応答区切り文字
artifact,token,sample-string,malware--bridgehead,,authentication-token,WebSocket認証リテラル
artifact,<<STARTXX>>,sample-string,malware--arcbridge,,config-marker,ArcBridge設定開始マーカー
artifact,<<ENDXX>>,sample-string,malware--arcbridge,,config-marker,ArcBridge設定終了マーカー
artifact,OPEN:,sample-string,malware--arcbridge,,command-marker,ArcBridgeトンネル開始コマンド
artifact,DNS:,sample-string,malware--arcbridge,,command-marker,ArcBridge名前解決コマンド
artifact,4B8CC395-A26F-41F1-A1DC-8B993D9D41D2,sample-string,malware--arcbridge,,implant-id,ArcBridge設定内識別子
artifact,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Safari/537.36 Edg/86.0.622.38",user-agent,malware--bridgehead,,http-user-agent,BridgeHead固定User-Agent
artifact,recruitment-themed content,lure-name,,,delivery,採用テーマの標的型誘導
artifact,lookalike videoconferencing pages,lure-name,,,delivery,ビデオ会議サービス類似ページ
