original_source_path,original_source_location,matched_name,context_excerpt
0day _In the Wild_.xlsx,"{""row"": 11, ""sheet"": ""2015""}",Unit 8200,6-09 00:00:00 https://docs.microsoft.com/en-us/security-updates/securitybulletins/2015/ms15-061 https://blog.trendmicro.com/trendlabs-security-intelligence/analysis-of-cve-2015-2360-duqu-2-0-zero-day-vulnerability/ Duqu/Unit 8200 https://securelist.com/the-mystery-of-duqu-2-0-a-sophisticated-cyberespionage-actor-returns/70504/
0day _In the Wild_.xlsx,"{""row"": 89, ""sheet"": ""All""}",Unit 8200,6-09 00:00:00 https://docs.microsoft.com/en-us/security-updates/securitybulletins/2015/ms15-061 https://blog.trendmicro.com/trendlabs-security-intelligence/analysis-of-cve-2015-2360-duqu-2-0-zero-day-vulnerability/ Duqu/Unit 8200 https://securelist.com/the-mystery-of-duqu-2-0-a-sophisticated-cyberespionage-actor-returns/70504/
APT Groups and Operations.xlsx,"{""row"": 3, ""sheet"": ""Israel""}",Unit 8200,Unit 8200 Olympic Games / Stuxnet Stuxnet Directed at Iranian nuclear facilities Stuxnet is typically introduced to the target environment via an infected USB flash drive. http://www.langner.com/en/wp-content/uploads/2013/11/To-k
APT Groups and Operations.xlsx,"{""row"": 4, ""sheet"": ""Israel""}",Duqu Group,"Unit 8200 Duqu Group SIG35 Duqu 2.0 Duqu A threat actor, using a tool dubbed Duqu 2.0, targeted individuals and companies linked to the P5+1 (the five permanent member states of the UN Security Council, plus Germany), which was conducting n"
APT Groups and Operations.xlsx,"{""row"": 4, ""sheet"": ""Israel""}",SIG35,"Unit 8200 Duqu Group SIG35 Duqu 2.0 Duqu A threat actor, using a tool dubbed Duqu 2.0, targeted individuals and companies linked to the P5+1 (the five permanent member states of the UN Security Council, plus Germany), which was conducting negotia"
APT Groups and Operations.xlsx,"{""row"": 4, ""sheet"": ""Israel""}",Unit 8200,"Unit 8200 Duqu Group SIG35 Duqu 2.0 Duqu A threat actor, using a tool dubbed Duqu 2.0, targeted individuals and companies linked to the P5+1 (the five permanent member states of the UN Security Council, plus Germany), which was c"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 93}",Unit 8200,"uclear reactors in Iran in 2010, and/or the “follow-up” threats Duqu, Flame or Gauss. Although neither country has openly admitted responsibility, Stuxnet is believed to be a jointly built American/Israeli (allegedly, Unit 8200) cyber weapon. <https://en.wikipedia.org/wiki/Stuxnet> Observed Sectors: Aerospace, Defense, Energy, Government, Media, Nanotechnology, Nuclear research, Oil and gas, Telecommunications, Transportation, Islamic act"
Threat Group Cards.pdf,"{""page"": 93}",Unit 8200,"uclear reactors in Iran in 2010, and/or the “follow-up” threats Duqu, Flame or Gauss. Although neither country has openly admitted responsibility, Stuxnet is believed to be a jointly built American/Israeli (allegedly, Unit 8200) cyber weapon. <https://en.wikipedia.org/wiki/Stuxnet> Observed Sectors: Aerospace, Defense, Energy, Government, Media, Nanotechnology, Nuclear research, Oil and gas, Telecommunications, Transportation, Islamic act"
Threat_Group_Cards_v2.0.pdf,"{""page"": 124}",Unit 8200,"uclear reactors in Iran in 2010, and/or the “follow-up” threats Duqu, Flame or Gauss. Although neither country has openly admitted responsibility, Stuxnet is believed to be a jointly built American/Israeli (allegedly, Unit 8200) cyber weapon. <https://en.wikipedia.org/wiki/Stuxnet> Observed Sectors: Aerospace, Defense, Energy, Government, Media, Nanotechnology, Nuclear research, Oil and gas, Telecommunications, Transportation, Islamic act"
Threat_Group_Cards_v2.0.pdf,"{""page"": 237}",Unit 8200,"hreat Group Cards: A Threat Actor Encyclopedia 237 Operation Olympic Games Names Operation Olympic Games (self given) GOSSIPGIRL Country USA and Israel Sponsor State-sponsored, Equation Group (NSA), CIA and Unit 8200 Motivation Sabotage and destruction First seen 2010 Description (The New York Times) From his first months in office, President Obama secretly ordered increasingly sophisticated attacks on the computer systems that"
