original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 100, ""sheet"": ""China""}",Vicious Panda,"SixLittleMonkeys Microcin Microcin, BYEBY, Mikroceen Central Asia, Russian military, Belarussia, Mongolia, Link to Vicious Panda https://securelist.com/steganography-in-contemporary-cyberattacks/79276/ https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2018/03/07170759/Microcin_Technical_4PDF_eng_final_s.pdf https://www.welivesecur"
APT Groups and Operations.xlsx,"{""row"": 107, ""sheet"": ""China""}",Vicious Panda,"IronHusky MysterySnail, CVE-2021-40449 Vicious Panda https://securelist.com/apt-trends-report-q1-2018/85280/https://securelist.com/apt-trends-report-q1-2018/85280/ https://securelist.com/apt-trends-report-q2-2020/97937/ https://securelist.com/mysterysnail-attacks-with-win"
APT Groups and Operations.xlsx,"{""row"": 77, ""sheet"": ""China""}",Vicious Panda,Vicious Panda https://research.checkpoint.com/2020/vicious-panda-the-covid-campaign/ https://securelist.com/apt-trends-report-q2-2020/97937/
Threat_Group_Cards_v2.0.pdf,"{""page"": 199}",Vicious Panda,"nect the dots between the latest campaign and three previously published reports: Kaspersky’s Microcin against Russian military personnel, Palo Alto Networks’ BYEBY against the Belarussian government and Checkpoint’s Vicious Panda against the Mongolian public sector. Also, we discuss other malware that was typically a part of the attacker’s toolset together with the RAT. We chose the name Mikroceen to cover all instances of the RAT, in acknowle"
Threat_Group_Cards_v2.0.pdf,"{""page"": 358}",Vicious Panda,Threat Group Cards: A Threat Actor Encyclopedia 358 Vicious Panda Names Vicious Panda (Check Point) Country China Motivation Information theft and espionage First seen 2015 Description (Check Point) Check Point Research discovered a new campaign against the Mongolian public sect
Threat_Group_Cards_v2.0.pdf,"{""page"": 358}",Vicious Panda,"Threat Group Cards: A Threat Actor Encyclopedia 358 Vicious Panda Names Vicious Panda (Check Point) Country China Motivation Information theft and espionage First seen 2015 Description (Check Point) Check Point Research discovered a new campaign against the Mongolian public sector, which takes advan"
Threat_Group_Cards_v2.0.pdf,"{""page"": 358}",Vicious Panda,"t-the-mongolian-government/> Jun 2017 Threat Actors Target Government of Belarus Using CMSTAR Trojan <https://unit42.paloaltonetworks.com/unit42-threat-actors-target- government-belarus-using-cmstar-trojan/> Mar 2020 Vicious Panda: The COVID Campaign Check Point Research discovered a new campaign against the Mongolian public sector, which takes advantage of the current Coronavirus scare, in order to deliver a previously unknown malware implan"
Threat_Group_Cards_v2.0.pdf,"{""page"": 8}",Vicious Panda,............................... 356 Vendetta......................................................................................................................................................................... 357 Vicious Panda ............................................................................................................................................................... 358 Volatile Cedar .......................................
summary/2021/eset_threat_report_t12021.pdf,"{""page"": 5}",Vicious Panda,"luster, ESET re- searchers observed IIS backdoors installed via webshells used in these compromises on four email servers in Asia and South Ameri- ca. One of these backdoors is publicly known as Owlproxy. Mikroceen aka Vicious Panda – compromised the Exchange server of a utility company in Central Asia, which is the region this group typically targets. DLTMiner – ESET detected the deployment of PowerShell down- loaders on multiple email servers t"
summary/2022/APT group Intelligence Research handbook-2022.pdf,"{""page"": 126}",Vicious Panda,APT 组织情报研究年鉴 118 6.1.47 Vicious Panda 组织名 Vicious Panda 中文名 无 组织地理 未知 别名 无 历史目标 Mongolia 目标行业 未知 发现时间 2015-08-01 最近活跃 2020-03-15 动机 数据窃取 描述 Vicious Panda 可能为中文使用地区，但相关证据依然不够充分 知识关联 报告数量 威胁指示器数量 网络基础设施数量 恶意样本数量 利用漏洞数量 2 80 1 79 0 最近发布报告 2020-03-15 COVID Camp
summary/2022/APT group Intelligence Research handbook-2022.pdf,"{""page"": 126}",Vicious Panda,APT 组织情报研究年鉴 118 6.1.47 Vicious Panda 组织名 Vicious Panda 中文名 无 组织地理 未知 别名 无 历史目标 Mongolia 目标行业 未知 发现时间 2015-08-01 最近活跃 2020-03-15 动机 数据窃取 描述 Vicious Panda 可能为中文使用地区，但相关证据依然不够充分 知识关联 报告数量 威胁指示器数量 网络基础设施数量 恶意样本数量 利用漏洞数量 2 80 1 79 0 最近发布报告 2020-03-15 COVID Campaign alienvault 20
summary/2022/APT group Intelligence Research handbook-2022.pdf,"{""page"": 126}",Vicious Panda,APT 组织情报研究年鉴 118 6.1.47 Vicious Panda 组织名 Vicious Panda 中文名 无 组织地理 未知 别名 无 历史目标 Mongolia 目标行业 未知 发现时间 2015-08-01 最近活跃 2020-03-15 动机 数据窃取 描述 Vicious Panda 可能为中文使用地区，但相关证据依然不够充分 知识关联 报告数量 威胁指示器数量 网络基础设施数量 恶意样本数量 利用漏洞数量 2 80 1 79 0 最近发布报告 2020-03-15 COVID Campaign alienvault 2020-03-12 Vicious Panda: The COVID Campaign alienvault APT 组织画像
summary/2022/APT group Intelligence Research handbook-2022.pdf,"{""page"": 126}",Vicious Panda,地理 未知 别名 无 历史目标 Mongolia 目标行业 未知 发现时间 2015-08-01 最近活跃 2020-03-15 动机 数据窃取 描述 Vicious Panda 可能为中文使用地区，但相关证据依然不够充分 知识关联 报告数量 威胁指示器数量 网络基础设施数量 恶意样本数量 利用漏洞数量 2 80 1 79 0 最近发布报告 2020-03-15 COVID Campaign alienvault 2020-03-12 Vicious Panda: The COVID Campaign alienvault APT 组织画像
summary/2023/Modern-Asian-APT-groups-TTPs_report_eng.pdf,"{""page"": 310}",Vicious Panda,or’s victims among the victims of all groups APT41 Aliases: • Blackfly (Symantec) • Wicked Panda (CrowdStrike) • Winnti Group (Kaspersky) • Barium (Microsoft) Egypt Russia Iran India US 16% 12% 11% 7% 4% 13% Vicious Panda Aliases: • Microcin • SixLittleMonkeys • Bronze Dudley (SecureWorks) Russia Kazakhstan China Kyrgyzstan Tajikistan 38% 16% 14% 4% 3% 12% Lotus Panda Aliases: • Naikon (Kaspersky) • Hellsing (Kaspersky) • ITG06 (
summary/2023/Modern-Asian-APT-groups-TTPs_report_eng.pdf,"{""page"": 312}",Vicious Panda,ims (organizations) Stone Panda Healthcare Government Industrial sector 70% 27% 3% Emissary Panda Healthcare Government Industrial sector 68% 28% 4% APT 41 Healthcare Government Industrial sector 70% 26% 4% Vicious Panda Construction Government Industrial sector 56% 29% 15% Lotus Panda Government Industrial sector Healthcare 70% 20% 10% Override Panda Finance Government Industrial sector 35% 34% 31% Karma Panda Agriculture
